Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,session,player,gamelog_url
1,1,1993-11-06,23-275,CHI,,MIA,L (-24),0,9:00,1,3,.333,1,2,.500,0,0,,0,0,0,0,0,0,2,1,3,-1.1,1994,englijo01,https://www.basketball-reference.com/players/e/englijo01/gamelog/1994
2,2,1993-11-08,23-277,CHI,,ATL,W (+26),0,5:00,1,1,1.000,0,0,,1,2,.500,0,0,0,0,0,0,0,1,3,1.9,1994,englijo01,https://www.basketball-reference.com/players/e/englijo01/gamelog/1994
3,3,1993-11-10,23-279,CHI,@,MIL,W (+1),0,24:00,4,11,.364,0,0,,1,2,.500,1,2,3,3,0,1,0,4,9,5.0,1994,englijo01,https://www.basketball-reference.com/players/e/englijo01/gamelog/1994
4,4,1993-11-13,23-282,CHI,,BOS,L (-1),0,18:00,2,3,.667,0,0,,1,2,.500,0,0,0,1,0,2,0,1,5,5.0,1994,englijo01,https://www.basketball-reference.com/players/e/englijo01/gamelog/1994
5,5,1993-11-16,23-285,CHI,@,SEA,L (-1),0,14:00,1,4,.250,0,1,.000,0,0,,0,0,0,2,0,0,2,0,2,-1.0,1994,englijo01,https://www.basketball-reference.com/players/e/englijo01/gamelog/1994
6,6,1993-11-18,23-287,CHI,@,POR,L (-22),0,17:00,1,5,.200,0,2,.000,0,0,,0,1,1,1,1,0,2,0,2,-1.1,1994,englijo01,https://www.basketball-reference.com/players/e/englijo01/gamelog/1994
7,7,1993-11-19,23-288,CHI,@,LAL,W (+2),0,2:00,0,2,.000,0,0,,0,0,,0,0,0,0,0,0,1,0,0,-2.4,1994,englijo01,https://www.basketball-reference.com/players/e/englijo01/gamelog/1994
8,8,1993-11-21,23-290,CHI,@,SAC,L (-2),0,13:00,1,5,.200,0,1,.000,1,2,.500,0,1,1,1,1,0,2,4,3,-2.1,1994,englijo01,https://www.basketball-reference.com/players/e/englijo01/gamelog/1994
9,9,1993-11-23,23-292,CHI,@,HOU,L (-7),0,11:00,3,7,.429,0,0,,0,0,,1,1,2,1,0,0,0,0,6,4.0,1994,englijo01,https://www.basketball-reference.com/players/e/englijo01/gamelog/1994
10,10,1993-11-24,23-293,CHI,@,SAS,L (-25),0,21:00,3,9,.333,0,2,.000,0,0,,0,0,0,1,0,0,1,2,6,-0.2,1994,englijo01,https://www.basketball-reference.com/players/e/englijo01/gamelog/1994
11,11,1993-11-26,23-295,CHI,@,DAL,W (+23),0,18:00,4,6,.667,0,0,,0,0,,2,3,5,2,0,1,3,2,8,6.0,1994,englijo01,https://www.basketball-reference.com/players/e/englijo01/gamelog/1994
12,12,1993-11-30,23-299,CHI,,PHO,W (+19),0,15:00,4,6,.667,1,1,1.000,0,1,.000,0,2,2,1,1,0,1,3,9,6.1,1994,englijo01,https://www.basketball-reference.com/players/e/englijo01/gamelog/1994
13,13,1993-12-03,23-302,CHI,@,MIA,W (+5),0,6:00,0,1,.000,0,0,,0,0,,0,0,0,1,0,0,2,1,0,-2.4,1994,englijo01,https://www.basketball-reference.com/players/e/englijo01/gamelog/1994
14,14,1993-12-07,23-306,CHI,,LAC,W (+4),0,8:00,2,5,.400,0,0,,0,0,,0,0,0,0,0,0,1,3,4,-0.9,1994,englijo01,https://www.basketball-reference.com/players/e/englijo01/gamelog/1994
15,15,1993-12-08,23-307,CHI,@,PHI,L (-7),0,10:00,0,1,.000,0,0,,0,2,.000,0,0,0,1,0,0,0,2,0,-1.6,1994,englijo01,https://www.basketball-reference.com/players/e/englijo01/gamelog/1994
16,16,1993-12-11,23-310,CHI,,CLE,W (+9),0,12:00,1,1,1.000,1,1,1.000,0,0,,0,1,1,1,0,1,1,2,3,2.6,1994,englijo01,https://www.basketball-reference.com/players/e/englijo01/gamelog/1994
17,17,1993-12-15,23-314,CHI,@,BOS,W (+10),0,7:00,1,2,.500,0,0,,0,0,,0,0,0,0,0,0,1,1,2,-0.4,1994,englijo01,https://www.basketball-reference.com/players/e/englijo01/gamelog/1994
18,18,1993-12-18,23-317,CHI,,SAS,W (+12),0,16:00,2,5,.400,0,0,,0,0,,0,3,3,3,0,0,2,0,4,2.3,1994,englijo01,https://www.basketball-reference.com/players/e/englijo01/gamelog/1994
19,19,1993-12-20,23-319,CHI,,CHH,W (+12),0,4:00,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,1,0,0,-1.7,1994,englijo01,https://www.basketball-reference.com/players/e/englijo01/gamelog/1994
20,20,1993-12-22,23-321,CHI,,MIN,W (+8),0,5:00,2,2,1.000,0,0,,0,0,,0,1,1,0,0,0,2,3,4,0.5,1994,englijo01,https://www.basketball-reference.com/players/e/englijo01/gamelog/1994
21,21,1993-12-25,23-324,CHI,,ORL,W (+2),0,9:00,2,3,.667,0,0,,0,0,,0,0,0,0,0,1,1,1,4,2.0,1994,englijo01,https://www.basketball-reference.com/players/e/englijo01/gamelog/1994
22,22,1993-12-29,23-328,CHI,,NJN,W (+8),0,3:00,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,1994,englijo01,https://www.basketball-reference.com/players/e/englijo01/gamelog/1994
23,23,1993-12-30,23-329,CHI,@,CHH,L (-20),0,10:00,2,4,.500,0,0,,3,4,.750,0,1,1,0,0,0,1,4,7,2.3,1994,englijo01,https://www.basketball-reference.com/players/e/englijo01/gamelog/1994
24,24,1994-03-08,24-032,CHI,,ATL,W (+21),0,9:00,1,3,.333,0,0,,1,2,.500,1,1,2,2,1,1,2,2,3,2.2,1994,englijo01,https://www.basketball-reference.com/players/e/englijo01/gamelog/1994
25,25,1994-03-11,24-035,CHI,@,ATL,L (-31),0,21:00,2,8,.250,0,0,,0,0,,1,2,3,0,0,0,1,3,4,-1.7,1994,englijo01,https://www.basketball-reference.com/players/e/englijo01/gamelog/1994
26,26,1994-03-12,24-036,CHI,,SAC,W (+17),0,18:00,2,4,.500,2,2,1.000,1,2,.500,1,1,2,2,1,0,2,2,7,5.2,1994,englijo01,https://www.basketball-reference.com/players/e/englijo01/gamelog/1994
27,27,1994-03-16,24-040,CHI,@,BOS,W (+1),0,7:00,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,1,0,-0.1,1994,englijo01,https://www.basketball-reference.com/players/e/englijo01/gamelog/1994
28,28,1994-03-20,24-044,CHI,@,MIN,W (+10),0,14:00,3,5,.600,0,0,,0,0,,0,2,2,0,0,0,1,5,6,1.3,1994,englijo01,https://www.basketball-reference.com/players/e/englijo01/gamelog/1994
29,29,1994-03-22,24-046,CHI,@,NYK,L (-9),0,10:00,1,1,1.000,1,1,1.000,0,0,,0,2,2,1,0,0,0,0,3,4.0,1994,englijo01,https://www.basketball-reference.com/players/e/englijo01/gamelog/1994
30,30,1994-03-23,24-047,CHI,@,PHI,W (+12),0,18:00,2,5,.400,0,0,,0,0,,0,3,3,3,1,0,1,1,4,3.9,1994,englijo01,https://www.basketball-reference.com/players/e/englijo01/gamelog/1994
31,31,1994-03-25,24-049,CHI,@,NJN,L (-23),0,18:00,1,3,.333,0,0,,0,0,,1,4,5,4,1,1,0,3,2,5.5,1994,englijo01,https://www.basketball-reference.com/players/e/englijo01/gamelog/1994
32,32,1994-03-26,24-050,CHI,,IND,W (+2),0,6:00,1,2,.500,0,1,.000,0,0,,0,0,0,1,0,0,0,1,2,1.3,1994,englijo01,https://www.basketball-reference.com/players/e/englijo01/gamelog/1994
33,33,1994-03-29,24-053,CHI,,PHI,W (+3),0,14:00,2,4,.500,1,1,1.000,0,0,,0,1,1,4,0,1,0,2,5,6.0,1994,englijo01,https://www.basketball-reference.com/players/e/englijo01/gamelog/1994
34,34,1994-04-01,24-056,CHI,,DET,W (+7),0,5:00,0,0,,0,0,,0,0,,0,2,2,1,1,0,1,2,0,0.5,1994,englijo01,https://www.basketball-reference.com/players/e/englijo01/gamelog/1994
35,35,1994-04-03,24-058,CHI,@,DET,W (+3),0,12:00,1,3,.333,0,1,.000,1,2,.500,1,1,2,1,0,0,1,0,3,1.6,1994,englijo01,https://www.basketball-reference.com/players/e/englijo01/gamelog/1994
36,36,1994-04-05,24-060,CHI,,WSB,W (+26),0,10:00,3,4,.750,1,1,1.000,0,0,,0,0,0,0,0,1,1,4,7,3.5,1994,englijo01,https://www.basketball-reference.com/players/e/englijo01/gamelog/1994
