Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,FT,FTA,FT%,TRB,AST,PF,PTS,session,player,gamelog_url
1,1,1972-01-25,27-281,LAL,,PHO,W (+10),0.0,16:00,2,5,0.4,2,2,1.0,1,0,2,6,1972,erickke01,https://www.basketball-reference.com/players/e/erickke01/gamelog/1972
2,2,1972-01-28,27-284,LAL,,HOU,W (+13),,17:00,5,10,0.5,0,0,,5,2,1,10,1972,erickke01,https://www.basketball-reference.com/players/e/erickke01/gamelog/1972
3,3,1972-01-30,27-286,LAL,,POR,W (+22),0.0,20:00,3,7,0.429,0,0,,2,3,3,6,1972,erickke01,https://www.basketball-reference.com/players/e/erickke01/gamelog/1972
4,4,1972-02-04,27-291,LAL,,MIL,W (+13),0.0,14:00,0,3,0.0,0,0,,3,2,0,0,1972,erickke01,https://www.basketball-reference.com/players/e/erickke01/gamelog/1972
5,5,1972-02-05,27-292,LAL,@,GSW,W (+12),0.0,16:00,2,6,0.333,0,0,,1,2,3,4,1972,erickke01,https://www.basketball-reference.com/players/e/erickke01/gamelog/1972
6,6,1972-02-08,27-295,LAL,@,NYK,W (+5),,18:00,2,5,0.4,0,0,,2,0,2,4,1972,erickke01,https://www.basketball-reference.com/players/e/erickke01/gamelog/1972
7,7,1972-02-09,27-296,LAL,@,ATL,W (+4),0.0,8:00,0,1,0.0,0,0,,1,0,0,0,1972,erickke01,https://www.basketball-reference.com/players/e/erickke01/gamelog/1972
8,8,1972-03-07,27-323,LAL,,PHI,W (+17),,17:00,1,3,0.333,0,0,,2,5,1,2,1972,erickke01,https://www.basketball-reference.com/players/e/erickke01/gamelog/1972
9,9,1972-03-10,27-326,LAL,,CLE,W (+34),,23:00,3,7,0.429,1,2,0.5,4,4,0,7,1972,erickke01,https://www.basketball-reference.com/players/e/erickke01/gamelog/1972
10,10,1972-03-12,27-328,LAL,,BUF,W (+39),0.0,18:00,4,7,0.571,0,0,,6,8,0,8,1972,erickke01,https://www.basketball-reference.com/players/e/erickke01/gamelog/1972
11,11,1972-03-14,27-330,LAL,@,DET,W (+13),0.0,21:00,2,3,0.667,0,0,,4,1,3,4,1972,erickke01,https://www.basketball-reference.com/players/e/erickke01/gamelog/1972
12,12,1972-03-15,27-331,LAL,@,CIN,W (+5),,18:00,5,8,0.625,0,0,,3,1,5,10,1972,erickke01,https://www.basketball-reference.com/players/e/erickke01/gamelog/1972
13,13,1972-03-17,27-333,LAL,,MIL,W (+16),0.0,21:00,6,6,1.0,0,0,,2,1,3,12,1972,erickke01,https://www.basketball-reference.com/players/e/erickke01/gamelog/1972
14,14,1972-03-19,27-335,LAL,,GSW,W (+63),0.0,22:00,3,6,0.5,3,3,1.0,3,4,2,9,1972,erickke01,https://www.basketball-reference.com/players/e/erickke01/gamelog/1972
15,15,1972-03-21,27-337,LAL,@,CHI,W (+5),0.0,13:00,2,6,0.333,0,0,,0,2,1,4,1972,erickke01,https://www.basketball-reference.com/players/e/erickke01/gamelog/1972
