Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,session,player,gamelog_url
1,1,2011-12-26,22-098,SAC,,LAL,W (+9),1,35:16,6,13,.462,1,3,.333,7,12,.583,0,2,2,3,0,1,0,1,20,14.3,+4,2012,evansty01,https://www.basketball-reference.com/players/e/evansty01/gamelog/2012
2,2,2011-12-27,22-099,SAC,@,POR,L (-22),1,29:13,2,8,.250,0,2,.000,0,0,,0,2,2,3,0,1,5,3,4,-3.6,-20,2012,evansty01,https://www.basketball-reference.com/players/e/evansty01/gamelog/2012
3,3,2011-12-29,22-101,SAC,,CHI,L (-10),1,38:22,7,14,.500,0,2,.000,5,12,.417,0,2,2,2,3,0,1,2,19,12.4,-9,2012,evansty01,https://www.basketball-reference.com/players/e/evansty01/gamelog/2012
4,4,2011-12-31,22-103,SAC,,NYK,L (-22),1,33:21,6,14,.429,0,1,.000,1,3,.333,0,5,5,3,0,0,0,2,13,7.6,-12,2012,evansty01,https://www.basketball-reference.com/players/e/evansty01/gamelog/2012
5,5,2012-01-01,22-104,SAC,,NOH,W (+16),1,37:29,9,18,.500,2,3,.667,7,8,.875,0,4,4,3,1,1,4,2,27,17.8,+8,2012,evansty01,https://www.basketball-reference.com/players/e/evansty01/gamelog/2012
6,6,2012-01-03,22-106,SAC,@,MEM,L (-17),1,26:21,4,11,.364,0,1,.000,1,2,.500,0,3,3,4,1,1,4,2,9,3.1,-6,2012,evansty01,https://www.basketball-reference.com/players/e/evansty01/gamelog/2012
7,7,2012-01-04,22-107,SAC,@,DEN,L (-27),1,23:17,3,10,.300,0,0,,2,2,1.000,1,4,5,3,1,1,2,1,8,5.5,-14,2012,evansty01,https://www.basketball-reference.com/players/e/evansty01/gamelog/2012
8,8,2012-01-05,22-108,SAC,,MIL,W (+3),1,41:23,8,18,.444,1,5,.200,9,9,1.000,3,7,10,5,2,1,5,2,26,21.2,+12,2012,evansty01,https://www.basketball-reference.com/players/e/evansty01/gamelog/2012
9,9,2012-01-08,22-111,SAC,,ORL,L (-7),1,41:22,10,16,.625,0,1,.000,8,10,.800,0,3,3,8,2,1,4,3,28,24.0,+2,2012,evansty01,https://www.basketball-reference.com/players/e/evansty01/gamelog/2012
10,10,2012-01-10,22-113,SAC,@,PHI,L (-27),1,25:24,6,13,.462,0,1,.000,3,4,.750,1,4,5,2,2,0,2,0,15,11.2,-18,2012,evansty01,https://www.basketball-reference.com/players/e/evansty01/gamelog/2012
11,11,2012-01-11,22-114,SAC,@,TOR,W (+7),1,45:25,7,22,.318,1,4,.250,14,14,1.000,1,6,7,3,2,0,1,1,29,21.6,+8,2012,evansty01,https://www.basketball-reference.com/players/e/evansty01/gamelog/2012
12,12,2012-01-13,22-116,SAC,@,HOU,L (-14),1,42:14,11,21,.524,1,3,.333,4,4,1.000,1,5,6,5,3,0,4,1,27,21.0,-15,2012,evansty01,https://www.basketball-reference.com/players/e/evansty01/gamelog/2012
13,13,2012-01-14,22-117,SAC,@,DAL,L (-39),1,31:07,1,8,.125,0,0,,1,3,.333,2,1,3,3,2,0,4,2,3,-2.0,-27,2012,evansty01,https://www.basketball-reference.com/players/e/evansty01/gamelog/2012
14,14,2012-01-16,22-119,SAC,@,MIN,L (-13),1,39:15,3,11,.273,0,2,.000,3,4,.750,1,7,8,10,1,0,5,4,9,6.3,-13,2012,evansty01,https://www.basketball-reference.com/players/e/evansty01/gamelog/2012
15,15,2012-01-18,22-121,SAC,,IND,W (+4),1,38:56,3,14,.214,0,2,.000,2,3,.667,4,3,7,6,1,0,1,1,8,6.5,-7,2012,evansty01,https://www.basketball-reference.com/players/e/evansty01/gamelog/2012
