Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,FT,FTA,FT%,TRB,AST,PF,PTS,session,player,gamelog_url
1,1,1970-10-13,28-176,BOS,@,NYK,L (-7),,22:00,5,5,1.000,0,1,.000,6,1,4,10,1971,finkeha01,https://www.basketball-reference.com/players/f/finkeha01/gamelog/1971
2,2,1970-10-15,28-178,BOS,@,PHO,L (-19),0,12:00,2,5,.400,0,0,,1,0,6,4,1971,finkeha01,https://www.basketball-reference.com/players/f/finkeha01/gamelog/1971
3,3,1970-10-17,28-180,BOS,@,SEA,L (-12),0,22:00,5,11,.455,2,4,.500,4,0,1,12,1971,finkeha01,https://www.basketball-reference.com/players/f/finkeha01/gamelog/1971
4,4,1970-10-18,28-181,BOS,@,POR,W (+18),0,11:00,1,4,.250,1,2,.500,5,1,4,3,1971,finkeha01,https://www.basketball-reference.com/players/f/finkeha01/gamelog/1971
5,5,1970-10-21,28-184,BOS,,DET,L (-3),,13:00,3,7,.429,0,0,,5,1,1,6,1971,finkeha01,https://www.basketball-reference.com/players/f/finkeha01/gamelog/1971
6,6,1970-10-23,28-186,BOS,,CIN,W (+5),,30:00,5,12,.417,2,4,.500,7,1,3,12,1971,finkeha01,https://www.basketball-reference.com/players/f/finkeha01/gamelog/1971
7,7,1970-10-24,28-187,BOS,@,ATL,W (+4),,7:00,1,3,.333,3,3,1.000,4,1,1,5,1971,finkeha01,https://www.basketball-reference.com/players/f/finkeha01/gamelog/1971
8,8,1970-10-28,28-191,BOS,,NYK,L (-37),,14:00,4,10,.400,0,1,.000,6,1,1,8,1971,finkeha01,https://www.basketball-reference.com/players/f/finkeha01/gamelog/1971
9,9,1970-10-30,28-193,BOS,,PHO,W (+15),0,30:00,4,9,.444,3,3,1.000,7,2,4,11,1971,finkeha01,https://www.basketball-reference.com/players/f/finkeha01/gamelog/1971
10,10,1970-10-31,28-194,BOS,@,PHI,W (+31),0,14:00,2,4,.500,1,1,1.000,3,1,2,5,1971,finkeha01,https://www.basketball-reference.com/players/f/finkeha01/gamelog/1971
