Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,session,player,gamelog_url
1,1,1991-11-01,31-240,HOU,,LAL,W (+5),1,40:00,5,11,.455,1,4,.250,4,5,.800,1,0,1,7,1,0,5,0,15,10.5,1992,floydsl01,https://www.basketball-reference.com/players/f/floydsl01/gamelog/1992
2,2,1991-11-02,31-241,HOU,@,DEN,L (-8),0,34:00,4,13,.308,0,0,,7,8,.875,0,1,1,0,4,1,2,1,15,9.7,1992,floydsl01,https://www.basketball-reference.com/players/f/floydsl01/gamelog/1992
3,3,1991-11-05,31-244,HOU,,POR,W (+7),0,15:00,0,6,.000,0,1,.000,2,2,1.000,1,2,3,4,0,0,1,2,2,0.1,1992,floydsl01,https://www.basketball-reference.com/players/f/floydsl01/gamelog/1992
4,4,1991-11-07,31-246,HOU,,CLE,W (+19),0,29:00,10,18,.556,0,2,.000,2,2,1.000,1,1,2,6,1,1,1,1,22,18.9,1992,floydsl01,https://www.basketball-reference.com/players/f/floydsl01/gamelog/1992
5,5,1991-11-09,31-248,HOU,,PHO,W (+1),0,21:00,3,8,.375,0,2,.000,0,0,,0,2,2,8,1,0,0,0,6,8.8,1992,floydsl01,https://www.basketball-reference.com/players/f/floydsl01/gamelog/1992
6,6,1991-11-12,31-251,HOU,@,DAL,W (+6),0,26:00,7,11,.636,1,3,.333,0,0,,0,2,2,7,0,2,1,2,15,15.2,1992,floydsl01,https://www.basketball-reference.com/players/f/floydsl01/gamelog/1992
7,7,1991-11-15,31-254,HOU,@,LAL,L (-12),0,18:00,0,4,.000,0,0,,1,2,.500,1,0,1,5,1,0,2,0,1,1.0,1992,floydsl01,https://www.basketball-reference.com/players/f/floydsl01/gamelog/1992
8,8,1991-11-16,31-255,HOU,@,SAC,W (+9),0,16:00,2,7,.286,0,0,,0,0,,0,1,1,2,0,1,4,0,4,-1.7,1992,floydsl01,https://www.basketball-reference.com/players/f/floydsl01/gamelog/1992
9,9,1991-11-19,31-258,HOU,,NYK,W (+11),0,23:00,2,8,.250,0,1,.000,0,0,,0,2,2,6,0,2,1,1,4,4.0,1992,floydsl01,https://www.basketball-reference.com/players/f/floydsl01/gamelog/1992
10,10,1991-11-21,31-260,HOU,,MIN,W (+4),0,27:00,7,9,.778,0,0,,2,4,.500,2,2,4,7,1,1,2,2,16,17.5,1992,floydsl01,https://www.basketball-reference.com/players/f/floydsl01/gamelog/1992
11,11,1991-11-23,31-262,HOU,@,MIN,L (-13),0,19:00,2,8,.250,0,1,.000,1,2,.500,0,1,1,3,0,0,3,2,5,-1.6,1992,floydsl01,https://www.basketball-reference.com/players/f/floydsl01/gamelog/1992
12,12,1991-11-26,31-265,HOU,,NJN,W (+9),0,25:00,4,9,.444,1,1,1.000,7,8,.875,0,4,4,1,0,1,1,3,16,11.3,1992,floydsl01,https://www.basketball-reference.com/players/f/floydsl01/gamelog/1992
13,13,1991-11-29,31-268,HOU,@,IND,L (-20),0,8:00,0,3,.000,0,0,,0,0,,0,1,1,1,0,0,2,0,0,-3.1,1992,floydsl01,https://www.basketball-reference.com/players/f/floydsl01/gamelog/1992
14,14,1991-12-01,31-270,HOU,@,DET,L (-7),0,22:00,1,5,.200,0,1,.000,2,3,.667,1,2,3,1,0,0,2,3,4,-0.7,1992,floydsl01,https://www.basketball-reference.com/players/f/floydsl01/gamelog/1992
