Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,FT,FTA,FT%,TRB,AST,PF,PTS,session,player,gamelog_url
1,1,1972-10-13,23-276,DET,,CHI,W (+9),0,16:00,2,4,.500,0,0,,4,1,2,4,1973,fordch01,https://www.basketball-reference.com/players/f/fordch01/gamelog/1973
2,2,1972-10-14,23-277,DET,@,KCO,L (-12),,,0,1,.000,0,0,,0,1,0,0,1973,fordch01,https://www.basketball-reference.com/players/f/fordch01/gamelog/1973
3,3,1972-10-20,23-283,DET,@,MIL,L (-23),0,27:00,0,8,.000,0,0,,3,6,3,0,1973,fordch01,https://www.basketball-reference.com/players/f/fordch01/gamelog/1973
4,4,1972-10-21,23-284,DET,,CLE,W (+7),0,10:00,0,4,.000,0,0,,0,0,1,0,1973,fordch01,https://www.basketball-reference.com/players/f/fordch01/gamelog/1973
5,5,1972-10-27,23-290,DET,@,HOU,L (-12),,,0,0,,0,0,,0,,0,0,1973,fordch01,https://www.basketball-reference.com/players/f/fordch01/gamelog/1973
6,6,1972-10-29,23-292,DET,@,POR,W (+8),0,11:00,0,2,.000,0,0,,4,2,3,0,1973,fordch01,https://www.basketball-reference.com/players/f/fordch01/gamelog/1973
7,7,1972-10-31,23-294,DET,@,GSW,L (-8),0,15:00,5,8,.625,1,1,1.000,4,1,1,11,1973,fordch01,https://www.basketball-reference.com/players/f/fordch01/gamelog/1973
8,8,1972-11-01,23-295,DET,@,SEA,W (+10),,9:00,0,2,.000,1,2,.500,3,2,0,1,1973,fordch01,https://www.basketball-reference.com/players/f/fordch01/gamelog/1973
9,9,1972-11-03,23-297,DET,@,LAL,L (-9),,13:00,1,5,.200,0,0,,0,0,2,2,1973,fordch01,https://www.basketball-reference.com/players/f/fordch01/gamelog/1973
10,10,1972-11-04,23-298,DET,,HOU,L (-10),,,0,1,.000,0,0,,2,,0,0,1973,fordch01,https://www.basketball-reference.com/players/f/fordch01/gamelog/1973
11,11,1972-11-10,23-304,DET,,GSW,W (+25),1,29:00,3,9,.333,0,1,.000,4,4,2,6,1973,fordch01,https://www.basketball-reference.com/players/f/fordch01/gamelog/1973
12,12,1972-11-11,23-305,DET,@,BOS,L (-3),,22:00,0,2,.000,0,0,,3,7,5,0,1973,fordch01,https://www.basketball-reference.com/players/f/fordch01/gamelog/1973
13,13,1972-11-15,23-309,DET,,LAL,L (-11),,6:00,2,6,.333,0,0,,1,1,,4,1973,fordch01,https://www.basketball-reference.com/players/f/fordch01/gamelog/1973
14,14,1972-11-17,23-311,DET,,CHI,W (+13),1,10:00,0,1,.000,1,2,.500,1,1,1,1,1973,fordch01,https://www.basketball-reference.com/players/f/fordch01/gamelog/1973
15,15,1972-11-21,23-315,DET,,ATL,W (+3),,17:00,3,7,.429,0,0,,4,0,2,6,1973,fordch01,https://www.basketball-reference.com/players/f/fordch01/gamelog/1973
16,16,1972-11-23,23-317,DET,@,PHO,L (-6),1,15:00,4,5,.800,0,0,,2,2,2,8,1973,fordch01,https://www.basketball-reference.com/players/f/fordch01/gamelog/1973
17,17,1972-11-24,23-318,DET,@,LAL,L (-17),,22:00,6,10,.600,0,0,,3,2,2,12,1973,fordch01,https://www.basketball-reference.com/players/f/fordch01/gamelog/1973
18,18,1972-11-26,23-320,DET,@,SEA,L (-7),,39:00,5,6,.833,3,8,.375,5,4,3,13,1973,fordch01,https://www.basketball-reference.com/players/f/fordch01/gamelog/1973
19,19,1972-11-28,23-322,DET,,POR,W (+4),1,19:00,1,4,.250,1,2,.500,1,1,1,3,1973,fordch01,https://www.basketball-reference.com/players/f/fordch01/gamelog/1973
20,20,1972-11-30,23-324,DET,,BUF,W (+11),,7:00,1,3,.333,1,1,1.000,0,0,0,3,1973,fordch01,https://www.basketball-reference.com/players/f/fordch01/gamelog/1973
21,21,1972-12-01,23-325,DET,@,CLE,W (+1),0,15:00,3,4,.750,2,2,1.000,2,2,4,8,1973,fordch01,https://www.basketball-reference.com/players/f/fordch01/gamelog/1973
22,22,1972-12-05,23-329,DET,@,CHI,L (-22),0,17:00,3,4,.750,3,5,.600,6,4,1,9,1973,fordch01,https://www.basketball-reference.com/players/f/fordch01/gamelog/1973
23,23,1972-12-08,23-332,DET,,KCO,W (+13),,,0,1,.000,0,0,,1,0,0,0,1973,fordch01,https://www.basketball-reference.com/players/f/fordch01/gamelog/1973
24,24,1972-12-09,23-333,DET,@,MIL,W (+4),,,0,0,,0,0,,2,2,,0,1973,fordch01,https://www.basketball-reference.com/players/f/fordch01/gamelog/1973
25,25,1972-12-13,23-337,DET,,GSW,L (-3),0,5:00,1,1,1.000,0,0,,0,1,0,2,1973,fordch01,https://www.basketball-reference.com/players/f/fordch01/gamelog/1973
26,26,1972-12-16,23-340,DET,,HOU,L (-11),,,2,5,.400,5,6,.833,4,,3,9,1973,fordch01,https://www.basketball-reference.com/players/f/fordch01/gamelog/1973
27,27,1972-12-20,23-344,DET,,PHI,W (+28),,,1,,,0,0,,,,,2,1973,fordch01,https://www.basketball-reference.com/players/f/fordch01/gamelog/1973
28,28,1972-12-22,23-346,DET,,SEA,W (+12),,27:00,4,6,.667,0,0,,5,7,3,8,1973,fordch01,https://www.basketball-reference.com/players/f/fordch01/gamelog/1973
29,29,1972-12-23,23-347,DET,@,BAL,L (-7),,,0,1,.000,0,0,,1,,2,0,1973,fordch01,https://www.basketball-reference.com/players/f/fordch01/gamelog/1973
30,30,1972-12-25,23-349,DET,@,NYK,L (-3),,27:00,5,11,.455,0,0,,4,2,2,10,1973,fordch01,https://www.basketball-reference.com/players/f/fordch01/gamelog/1973
31,31,1972-12-26,23-350,DET,,MIL,W (+7),,3:00,0,1,.000,0,0,,0,0,0,0,1973,fordch01,https://www.basketball-reference.com/players/f/fordch01/gamelog/1973
32,32,1972-12-28,23-352,DET,@,MIL,L (-24),,,1,,,0,0,,,,4,2,1973,fordch01,https://www.basketball-reference.com/players/f/fordch01/gamelog/1973
33,33,1972-12-29,23-353,DET,,NYK,L (-5),,17:00,2,7,.286,0,0,,0,0,0,4,1973,fordch01,https://www.basketball-reference.com/players/f/fordch01/gamelog/1973
34,34,1973-01-03,23-358,DET,,PHO,W (+14),0,8:00,1,2,.500,0,0,,1,1,0,2,1973,fordch01,https://www.basketball-reference.com/players/f/fordch01/gamelog/1973
35,35,1973-01-05,23-360,DET,@,KCO,L (-3),,,4,8,.500,0,0,,2,2,1,8,1973,fordch01,https://www.basketball-reference.com/players/f/fordch01/gamelog/1973
36,36,1973-01-06,23-361,DET,,ATL,L (-5),,,1,,,1,2,.500,,,,3,1973,fordch01,https://www.basketball-reference.com/players/f/fordch01/gamelog/1973
37,37,1973-01-07,23-362,DET,@,POR,W (+5),0,7:00,1,5,.200,2,2,1.000,0,2,1,4,1973,fordch01,https://www.basketball-reference.com/players/f/fordch01/gamelog/1973
38,38,1973-01-10,23-365,DET,@,PHO,L (-2),0,2:00,0,1,.000,0,0,,0,0,0,0,1973,fordch01,https://www.basketball-reference.com/players/f/fordch01/gamelog/1973
39,39,1973-01-12,24-001,DET,@,SEA,L (-9),,6:00,1,1,1.000,2,4,.500,2,3,0,4,1973,fordch01,https://www.basketball-reference.com/players/f/fordch01/gamelog/1973
40,40,1973-01-15,24-004,DET,,POR,W (+11),0,6:00,1,2,.500,0,0,,0,0,0,2,1973,fordch01,https://www.basketball-reference.com/players/f/fordch01/gamelog/1973
41,41,1973-01-20,24-009,DET,,CHI,W (+20),0,6:00,1,2,.500,3,3,1.000,1,2,1,5,1973,fordch01,https://www.basketball-reference.com/players/f/fordch01/gamelog/1973
42,42,1973-01-26,24-015,DET,,MIL,L (-12),,3:00,0,1,.000,0,0,,1,1,0,0,1973,fordch01,https://www.basketball-reference.com/players/f/fordch01/gamelog/1973
43,43,1973-01-28,24-017,DET,@,CHI,L (-5),0,1:00,0,0,,0,0,,0,0,0,0,1973,fordch01,https://www.basketball-reference.com/players/f/fordch01/gamelog/1973
44,44,1973-01-30,24-019,DET,@,ATL,W (+3),,,3,6,.500,2,2,1.000,4,,3,8,1973,fordch01,https://www.basketball-reference.com/players/f/fordch01/gamelog/1973
45,45,1973-01-31,24-020,DET,,NYK,W (+3),,39:00,3,13,.231,0,0,,9,6,4,6,1973,fordch01,https://www.basketball-reference.com/players/f/fordch01/gamelog/1973
46,46,1973-02-02,24-022,DET,,PHI,W (+10),,34:00,6,12,.500,0,2,.000,6,4,0,12,1973,fordch01,https://www.basketball-reference.com/players/f/fordch01/gamelog/1973
47,47,1973-02-06,24-026,DET,@,BUF,W (+2),1,21:00,2,6,.333,0,0,,5,2,0,4,1973,fordch01,https://www.basketball-reference.com/players/f/fordch01/gamelog/1973
48,48,1973-02-07,24-027,DET,,PHO,W (+6),1,31:00,2,4,.500,1,3,.333,5,5,2,5,1973,fordch01,https://www.basketball-reference.com/players/f/fordch01/gamelog/1973
49,49,1973-02-09,24-029,DET,@,BOS,W (+9),,29:00,5,7,.714,2,3,.667,4,4,3,12,1973,fordch01,https://www.basketball-reference.com/players/f/fordch01/gamelog/1973
50,50,1973-02-10,24-030,DET,@,NYK,L (-14),,37:00,2,6,.333,0,0,,4,1,1,4,1973,fordch01,https://www.basketball-reference.com/players/f/fordch01/gamelog/1973
51,51,1973-02-13,24-033,DET,,MIL,L (-14),,31:00,1,3,.333,0,0,,2,3,5,2,1973,fordch01,https://www.basketball-reference.com/players/f/fordch01/gamelog/1973
52,52,1973-02-16,24-036,DET,@,PHI,L (-13),,37:00,4,8,.500,1,3,.333,14,2,4,9,1973,fordch01,https://www.basketball-reference.com/players/f/fordch01/gamelog/1973
53,53,1973-02-17,24-037,DET,,CLE,L (-2),1,35:00,6,9,.667,4,4,1.000,4,2,4,16,1973,fordch01,https://www.basketball-reference.com/players/f/fordch01/gamelog/1973
54,54,1973-02-18,24-038,DET,,KCO,W (+44),,,5,7,.714,3,3,1.000,8,2,3,13,1973,fordch01,https://www.basketball-reference.com/players/f/fordch01/gamelog/1973
55,55,1973-02-21,24-041,DET,,LAL,W (+8),,,0,,,0,0,,,,,0,1973,fordch01,https://www.basketball-reference.com/players/f/fordch01/gamelog/1973
56,56,1973-02-23,24-043,DET,,BAL,W (+2),,,3,,,2,3,.667,,,,8,1973,fordch01,https://www.basketball-reference.com/players/f/fordch01/gamelog/1973
57,57,1973-02-25,24-045,DET,,HOU,W (+17),,,3,7,.429,2,3,.667,5,,2,8,1973,fordch01,https://www.basketball-reference.com/players/f/fordch01/gamelog/1973
58,58,1973-02-27,24-047,DET,,GSW,W (+14),1,33:00,4,8,.500,1,2,.500,4,7,2,9,1973,fordch01,https://www.basketball-reference.com/players/f/fordch01/gamelog/1973
59,59,1973-03-02,24-050,DET,,BOS,L (-14),,32:00,3,9,.333,0,0,,3,2,2,6,1973,fordch01,https://www.basketball-reference.com/players/f/fordch01/gamelog/1973
60,60,1973-03-03,24-051,DET,,SEA,L (-2),,27:00,2,7,.286,1,4,.250,4,5,2,5,1973,fordch01,https://www.basketball-reference.com/players/f/fordch01/gamelog/1973
61,61,1973-03-04,24-052,DET,@,POR,W (+4),1,20:00,3,4,.750,1,2,.500,7,3,5,7,1973,fordch01,https://www.basketball-reference.com/players/f/fordch01/gamelog/1973
62,62,1973-03-06,24-054,DET,@,GSW,L (-15),1,38:00,6,11,.545,2,2,1.000,7,6,1,14,1973,fordch01,https://www.basketball-reference.com/players/f/fordch01/gamelog/1973
63,63,1973-03-10,24-058,DET,@,PHO,W (+7),1,40:00,11,16,.688,0,0,,10,2,2,22,1973,fordch01,https://www.basketball-reference.com/players/f/fordch01/gamelog/1973
64,64,1973-03-11,24-059,DET,@,LAL,L (-24),,39:00,9,15,.600,0,0,,6,7,3,18,1973,fordch01,https://www.basketball-reference.com/players/f/fordch01/gamelog/1973
65,65,1973-03-14,24-062,DET,,LAL,L (-9),,43:00,8,12,.667,2,2,1.000,6,4,5,18,1973,fordch01,https://www.basketball-reference.com/players/f/fordch01/gamelog/1973
66,66,1973-03-16,24-064,DET,,BUF,W (+21),,34:00,6,10,.600,0,0,,8,4,4,12,1973,fordch01,https://www.basketball-reference.com/players/f/fordch01/gamelog/1973
67,67,1973-03-17,24-065,DET,@,CHI,W (+2),1,42:00,3,7,.429,2,2,1.000,11,3,4,8,1973,fordch01,https://www.basketball-reference.com/players/f/fordch01/gamelog/1973
68,68,1973-03-18,24-066,DET,,CHI,L (-12),1,17:00,0,2,.000,0,0,,2,3,2,0,1973,fordch01,https://www.basketball-reference.com/players/f/fordch01/gamelog/1973
69,69,1973-03-19,24-067,DET,,MIL,L (-19),,34:00,6,16,.375,1,2,.500,8,3,1,13,1973,fordch01,https://www.basketball-reference.com/players/f/fordch01/gamelog/1973
70,70,1973-03-21,24-069,DET,,POR,W (+13),1,38:00,11,17,.647,0,0,,8,4,2,22,1973,fordch01,https://www.basketball-reference.com/players/f/fordch01/gamelog/1973
71,71,1973-03-24,24-072,DET,,KCO,W (+12),,,9,16,.563,2,3,.667,14,4,3,20,1973,fordch01,https://www.basketball-reference.com/players/f/fordch01/gamelog/1973
72,72,1973-03-25,24-073,DET,,PHI,W (+19),,27:00,4,9,.444,3,3,1.000,4,3,1,11,1973,fordch01,https://www.basketball-reference.com/players/f/fordch01/gamelog/1973
73,73,1973-03-27,24-075,DET,@,BAL,W (+14),,42:00,9,16,.563,0,2,.000,3,6,1,18,1973,fordch01,https://www.basketball-reference.com/players/f/fordch01/gamelog/1973
74,74,1973-03-28,24-076,DET,@,CLE,W (+12),1,30:00,4,7,.571,0,0,,3,5,6,8,1973,fordch01,https://www.basketball-reference.com/players/f/fordch01/gamelog/1973
