Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,session,player,gamelog_url
1,,1999-02-05,29-196,LAL,,HOU,W (+8),Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,1999,foxri01,https://www.basketball-reference.com/players/f/foxri01/gamelog/1999
2,,1999-02-07,29-198,LAL,,UTA,L (-9),Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,1999,foxri01,https://www.basketball-reference.com/players/f/foxri01/gamelog/1999
3,,1999-02-08,29-199,LAL,@,SAS,W (+5),Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,1999,foxri01,https://www.basketball-reference.com/players/f/foxri01/gamelog/1999
4,1,1999-02-10,29-201,LAL,@,DEN,W (+5),0,17:18,1,5,.200,0,3,.000,0,0,,0,2,2,1,1,0,2,1,2,-1.2,-1,1999,foxri01,https://www.basketball-reference.com/players/f/foxri01/gamelog/1999
5,2,1999-02-11,29-202,LAL,@,MIN,L (-11),0,19:19,2,7,.286,0,2,.000,0,0,,0,1,1,1,0,0,0,2,4,0.1,-12,1999,foxri01,https://www.basketball-reference.com/players/f/foxri01/gamelog/1999
6,3,1999-02-14,29-205,LAL,,IND,L (-2),0,22:29,5,11,.455,0,2,.000,0,0,,0,1,1,2,0,0,1,3,10,3.8,-2,1999,foxri01,https://www.basketball-reference.com/players/f/foxri01/gamelog/1999
7,4,1999-02-16,29-207,LAL,,CHH,W (+28),0,23:41,7,15,.467,0,2,.000,6,8,.750,3,1,4,4,2,2,0,1,20,19.7,+10,1999,foxri01,https://www.basketball-reference.com/players/f/foxri01/gamelog/1999
8,5,1999-02-17,29-208,LAL,,DAL,W (+13),0,28:46,1,8,.125,0,1,.000,0,0,,0,0,0,5,1,0,2,3,2,-1.9,+2,1999,foxri01,https://www.basketball-reference.com/players/f/foxri01/gamelog/1999
9,6,1999-02-19,29-210,LAL,,SAS,W (+12),0,19:29,4,5,.800,1,1,1.000,0,2,.000,1,0,1,2,0,0,1,3,9,6.2,+6,1999,foxri01,https://www.basketball-reference.com/players/f/foxri01/gamelog/1999
10,7,1999-02-21,29-212,LAL,@,SEA,L (-3),0,17:10,3,7,.429,0,2,.000,0,1,.000,0,2,2,2,0,0,0,0,6,3.9,+5,1999,foxri01,https://www.basketball-reference.com/players/f/foxri01/gamelog/1999
11,8,1999-02-22,29-213,LAL,@,DEN,L (-4),0,18:54,1,8,.125,0,4,.000,0,0,,0,0,0,1,0,0,0,2,2,-3.3,+5,1999,foxri01,https://www.basketball-reference.com/players/f/foxri01/gamelog/1999
12,9,1999-02-23,29-214,LAL,@,VAN,L (-10),0,19:53,0,2,.000,0,1,.000,0,0,,0,1,1,1,1,0,0,6,0,-1.8,-7,1999,foxri01,https://www.basketball-reference.com/players/f/foxri01/gamelog/1999
13,10,1999-02-25,29-216,LAL,@,LAC,W (+15),0,30:41,6,9,.667,4,6,.667,0,0,,0,0,0,4,3,0,2,1,16,15.5,+9,1999,foxri01,https://www.basketball-reference.com/players/f/foxri01/gamelog/1999
14,11,1999-02-26,29-217,LAL,,LAC,W (+16),0,18:38,0,3,.000,0,2,.000,9,11,.818,0,1,1,2,0,1,2,3,9,5.3,+11,1999,foxri01,https://www.basketball-reference.com/players/f/foxri01/gamelog/1999
15,12,1999-02-28,29-219,LAL,,HOU,W (+16),0,18:40,7,7,1.000,5,5,1.000,2,3,.667,1,1,2,2,0,0,2,1,21,18.5,+21,1999,foxri01,https://www.basketball-reference.com/players/f/foxri01/gamelog/1999
16,13,1999-03-01,29-220,LAL,@,PHO,W (+6),0,32:54,6,14,.429,2,7,.286,1,1,1.000,0,2,2,5,0,0,2,1,15,9.3,+9,1999,foxri01,https://www.basketball-reference.com/players/f/foxri01/gamelog/1999
17,14,1999-03-03,29-222,LAL,,PHO,W (+6),0,23:34,4,8,.500,3,6,.500,1,2,.500,0,2,2,2,0,0,3,5,12,4.6,+5,1999,foxri01,https://www.basketball-reference.com/players/f/foxri01/gamelog/1999
18,15,1999-03-05,29-224,LAL,,SEA,W (+3),0,25:09,2,5,.400,0,3,.000,2,2,1.000,0,3,3,2,0,2,1,0,6,6.0,+5,1999,foxri01,https://www.basketball-reference.com/players/f/foxri01/gamelog/1999
19,16,1999-03-07,29-226,LAL,@,UTA,W (+8),0,17:49,0,4,.000,0,2,.000,0,0,,1,1,2,1,0,0,0,5,0,-3.1,+2,1999,foxri01,https://www.basketball-reference.com/players/f/foxri01/gamelog/1999
20,17,1999-03-09,29-228,LAL,@,LAC,W (+4),0,16:41,1,5,.200,0,1,.000,0,0,,1,0,1,0,0,0,0,1,2,-0.8,+13,1999,foxri01,https://www.basketball-reference.com/players/f/foxri01/gamelog/1999
21,18,1999-03-10,29-229,LAL,,LAC,W (+19),0,33:52,6,13,.462,0,3,.000,3,5,.600,1,5,6,4,2,0,2,4,15,10.9,+27,1999,foxri01,https://www.basketball-reference.com/players/f/foxri01/gamelog/1999
22,19,1999-03-12,29-231,LAL,,GSW,W (+11),1,27:10,2,7,.286,0,1,.000,6,6,1.000,1,1,2,5,0,0,2,4,10,6.8,+14,1999,foxri01,https://www.basketball-reference.com/players/f/foxri01/gamelog/1999
23,20,1999-03-14,29-233,LAL,@,SAC,L (-4),0,16:31,0,2,.000,0,1,.000,0,0,,0,2,2,1,2,0,0,5,0,-0.1,-12,1999,foxri01,https://www.basketball-reference.com/players/f/foxri01/gamelog/1999
24,21,1999-03-16,29-235,LAL,@,MIN,W (+6),0,15:56,0,2,.000,0,0,,2,2,1.000,0,0,0,2,1,0,1,3,2,0.8,-8,1999,foxri01,https://www.basketball-reference.com/players/f/foxri01/gamelog/1999
25,22,1999-03-18,29-237,LAL,@,CLE,L (-7),0,23:47,3,8,.375,0,2,.000,1,2,.500,1,0,1,2,2,0,1,3,7,4.1,-5,1999,foxri01,https://www.basketball-reference.com/players/f/foxri01/gamelog/1999
26,23,1999-03-19,29-238,LAL,@,PHI,L (-15),0,17:47,2,6,.333,0,2,.000,0,0,,0,0,0,0,1,0,1,4,4,-1.0,+6,1999,foxri01,https://www.basketball-reference.com/players/f/foxri01/gamelog/1999
27,24,1999-03-21,29-240,LAL,@,ORL,W (+11),0,5:49,2,2,1.000,0,0,,0,0,,0,0,0,0,0,0,0,0,4,3.4,-9,1999,foxri01,https://www.basketball-reference.com/players/f/foxri01/gamelog/1999
28,25,1999-03-22,29-241,LAL,@,DAL,W (+3),0,22:07,3,6,.500,1,3,.333,1,2,.500,0,0,0,4,0,0,2,3,8,4.2,+4,1999,foxri01,https://www.basketball-reference.com/players/f/foxri01/gamelog/1999
29,26,1999-03-24,29-243,LAL,,PHO,L (-5),0,19:43,4,6,.667,1,1,1.000,0,0,,1,3,4,1,0,1,1,4,9,6.8,+9,1999,foxri01,https://www.basketball-reference.com/players/f/foxri01/gamelog/1999
30,27,1999-03-26,29-245,LAL,,SAC,L (-2),0,19:37,5,13,.385,3,5,.600,0,0,,1,2,3,3,1,1,1,3,13,8.8,+9,1999,foxri01,https://www.basketball-reference.com/players/f/foxri01/gamelog/1999
31,28,1999-03-28,29-247,LAL,,NYK,W (+8),0,20:17,3,8,.375,1,1,1.000,2,4,.500,2,1,3,1,0,0,0,2,9,5.4,+4,1999,foxri01,https://www.basketball-reference.com/players/f/foxri01/gamelog/1999
32,29,1999-03-29,29-248,LAL,,VAN,W (+18),0,20:06,5,10,.500,1,4,.250,6,7,.857,0,0,0,2,1,0,1,2,17,12.2,+12,1999,foxri01,https://www.basketball-reference.com/players/f/foxri01/gamelog/1999
33,30,1999-04-02,29-252,LAL,@,PHO,W (+1),0,5:35,1,1,1.000,0,0,,1,1,1.000,0,0,0,0,0,0,1,3,3,0.5,-13,1999,foxri01,https://www.basketball-reference.com/players/f/foxri01/gamelog/1999
34,31,1999-04-03,29-253,LAL,,GSW,L (-5),0,20:57,3,7,.429,0,2,.000,2,2,1.000,0,1,1,3,0,1,2,4,8,3.8,0,1999,foxri01,https://www.basketball-reference.com/players/f/foxri01/gamelog/1999
35,32,1999-04-05,29-255,LAL,,DEN,W (+13),0,22:36,5,10,.500,0,0,,4,4,1.000,1,1,2,4,2,0,2,1,14,12.4,+5,1999,foxri01,https://www.basketball-reference.com/players/f/foxri01/gamelog/1999
36,33,1999-04-06,29-256,LAL,,UTA,L (-13),0,30:18,6,13,.462,0,0,,7,7,1.000,2,4,6,0,1,1,0,5,19,14.6,+3,1999,foxri01,https://www.basketball-reference.com/players/f/foxri01/gamelog/1999
37,34,1999-04-07,29-257,LAL,@,SAC,W (+15),0,17:05,5,5,1.000,1,1,1.000,0,0,,0,1,1,0,2,0,2,2,11,9.0,+11,1999,foxri01,https://www.basketball-reference.com/players/f/foxri01/gamelog/1999
38,35,1999-04-09,29-259,LAL,,MIN,W (+7),0,18:33,2,6,.333,0,1,.000,0,0,,0,5,5,1,0,0,2,1,4,0.4,-2,1999,foxri01,https://www.basketball-reference.com/players/f/foxri01/gamelog/1999
39,36,1999-04-11,29-261,LAL,,SEA,L (-4),0,12:06,1,6,.167,0,1,.000,0,0,,0,0,0,2,0,0,1,5,2,-3.4,-2,1999,foxri01,https://www.basketball-reference.com/players/f/foxri01/gamelog/1999
40,37,1999-04-13,29-263,LAL,@,POR,L (-27),0,32:50,7,11,.636,0,0,,3,4,.750,2,0,2,0,0,0,3,3,17,8.9,-18,1999,foxri01,https://www.basketball-reference.com/players/f/foxri01/gamelog/1999
41,38,1999-04-17,29-267,LAL,@,UTA,L (-16),0,25:40,11,17,.647,2,3,.667,0,0,,1,1,2,4,2,0,2,4,24,18.7,+1,1999,foxri01,https://www.basketball-reference.com/players/f/foxri01/gamelog/1999
42,,1999-04-19,29-269,LAL,,VAN,W (+15),Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,1999,foxri01,https://www.basketball-reference.com/players/f/foxri01/gamelog/1999
43,,1999-04-20,29-270,LAL,@,GSW,W (+4),Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,1999,foxri01,https://www.basketball-reference.com/players/f/foxri01/gamelog/1999
44,,1999-04-21,29-271,LAL,@,POR,L (-6),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,1999,foxri01,https://www.basketball-reference.com/players/f/foxri01/gamelog/1999
45,39,1999-04-24,29-274,LAL,@,SAS,L (-27),0,16:45,2,6,.333,0,1,.000,0,0,,1,1,2,0,0,0,1,1,4,0.2,-13,1999,foxri01,https://www.basketball-reference.com/players/f/foxri01/gamelog/1999
