Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,session,player,gamelog_url
1,1,2006-11-01,23-168,NYK,@,MEM,W (+1),1,32:10,2,10,.200,0,2,.000,0,0,,2,2,4,1,1,1,3,4,4,-2.4,-6,2007,fryech01,https://www.basketball-reference.com/players/f/fryech01/gamelog/2007
2,2,2006-11-03,23-170,NYK,@,ATL,L (-10),1,20:23,2,11,.182,0,1,.000,0,0,,4,4,8,2,0,0,4,2,4,-2.3,+5,2007,fryech01,https://www.basketball-reference.com/players/f/fryech01/gamelog/2007
3,3,2006-11-04,23-171,NYK,,IND,L (-14),1,24:02,3,6,.500,0,1,.000,0,0,,0,4,4,0,1,0,1,0,6,4.2,-10,2007,fryech01,https://www.basketball-reference.com/players/f/fryech01/gamelog/2007
4,4,2006-11-06,23-173,NYK,,SAS,L (-12),1,13:23,0,5,.000,0,0,,0,0,,0,2,2,0,0,0,1,0,0,-3.9,-16,2007,fryech01,https://www.basketball-reference.com/players/f/fryech01/gamelog/2007
5,5,2006-11-08,23-175,NYK,@,DEN,W (+2),1,20:44,2,11,.182,0,0,,0,0,,1,4,5,0,1,3,1,1,4,0.7,-15,2007,fryech01,https://www.basketball-reference.com/players/f/fryech01/gamelog/2007
6,6,2006-11-10,23-177,NYK,@,HOU,L (-9),1,18:02,1,4,.250,0,0,,0,0,,1,3,4,0,1,1,0,1,2,2.5,-8,2007,fryech01,https://www.basketball-reference.com/players/f/fryech01/gamelog/2007
7,7,2006-11-11,23-178,NYK,@,SAS,L (-8),1,13:33,2,7,.286,0,0,,0,0,,1,1,2,0,2,0,0,5,4,0.9,-12,2007,fryech01,https://www.basketball-reference.com/players/f/fryech01/gamelog/2007
8,8,2006-11-13,23-180,NYK,,CLE,L (-6),1,28:23,7,18,.389,0,2,.000,3,4,.750,1,8,9,0,0,0,0,3,17,8.7,-9,2007,fryech01,https://www.basketball-reference.com/players/f/fryech01/gamelog/2007
9,9,2006-11-15,23-182,NYK,,WAS,W (+20),1,27:16,4,8,.500,0,0,,0,0,,2,5,7,2,1,3,2,4,8,7.8,+1,2007,fryech01,https://www.basketball-reference.com/players/f/fryech01/gamelog/2007
10,10,2006-11-17,23-184,NYK,@,MIA,W (+24),1,25:37,5,7,.714,0,0,,0,0,,0,5,5,0,0,0,1,2,10,6.8,+26,2007,fryech01,https://www.basketball-reference.com/players/f/fryech01/gamelog/2007
11,11,2006-11-18,23-185,NYK,,BOS,L (-4),1,13:01,2,4,.500,0,0,,2,2,1.000,2,3,5,1,0,0,1,4,6,4.4,-6,2007,fryech01,https://www.basketball-reference.com/players/f/fryech01/gamelog/2007
12,12,2006-11-20,23-187,NYK,,HOU,L (-7),1,42:25,8,18,.444,0,1,.000,6,6,1.000,2,7,9,0,1,2,1,4,22,15.9,-5,2007,fryech01,https://www.basketball-reference.com/players/f/fryech01/gamelog/2007
13,13,2006-11-22,23-189,NYK,@,MIN,L (-18),1,29:05,6,9,.667,0,0,,0,0,,2,3,5,0,0,0,1,6,12,7.0,-17,2007,fryech01,https://www.basketball-reference.com/players/f/fryech01/gamelog/2007
14,14,2006-11-24,23-191,NYK,@,BOS,W (+24),1,25:41,5,9,.556,0,0,,3,4,.750,0,6,6,0,0,1,1,5,13,7.8,+13,2007,fryech01,https://www.basketball-reference.com/players/f/fryech01/gamelog/2007
15,15,2006-11-25,23-192,NYK,,CHI,L (-11),1,8:59,1,5,.200,0,0,,0,0,,4,3,7,0,0,0,0,2,2,1.8,-7,2007,fryech01,https://www.basketball-reference.com/players/f/fryech01/gamelog/2007
16,,2006-11-28,23-195,NYK,@,CHI,L (-17),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2007,fryech01,https://www.basketball-reference.com/players/f/fryech01/gamelog/2007
17,,2006-11-29,23-196,NYK,@,CLE,W (+3),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2007,fryech01,https://www.basketball-reference.com/players/f/fryech01/gamelog/2007
18,,2006-12-01,23-198,NYK,@,DET,L (-8),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2007,fryech01,https://www.basketball-reference.com/players/f/fryech01/gamelog/2007
19,,2006-12-02,23-199,NYK,,TOR,L (-3),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2007,fryech01,https://www.basketball-reference.com/players/f/fryech01/gamelog/2007
20,,2006-12-04,23-201,NYK,,MEM,W (+8),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2007,fryech01,https://www.basketball-reference.com/players/f/fryech01/gamelog/2007
21,,2006-12-06,23-203,NYK,,WAS,L (-11),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2007,fryech01,https://www.basketball-reference.com/players/f/fryech01/gamelog/2007
22,,2006-12-09,23-206,NYK,,MIL,W (+8),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2007,fryech01,https://www.basketball-reference.com/players/f/fryech01/gamelog/2007
23,,2006-12-11,23-208,NYK,,BOS,L (-7),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2007,fryech01,https://www.basketball-reference.com/players/f/fryech01/gamelog/2007
24,,2006-12-13,23-210,NYK,,ATL,W (+12),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2007,fryech01,https://www.basketball-reference.com/players/f/fryech01/gamelog/2007
25,,2006-12-15,23-212,NYK,@,IND,L (-16),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2007,fryech01,https://www.basketball-reference.com/players/f/fryech01/gamelog/2007
26,16,2006-12-16,23-213,NYK,,DEN,L (-23),1,26:31,4,12,.333,0,1,.000,2,3,.667,2,3,5,0,1,4,1,4,10,6.3,-1,2007,fryech01,https://www.basketball-reference.com/players/f/fryech01/gamelog/2007
27,17,2006-12-18,23-215,NYK,,UTA,W (+1),1,44:02,5,17,.294,0,0,,0,0,,5,5,10,1,0,2,1,5,10,4.2,-7,2007,fryech01,https://www.basketball-reference.com/players/f/fryech01/gamelog/2007
28,18,2006-12-20,23-217,NYK,,CHA,W (+2),1,50:25,14,26,.538,0,0,,2,2,1.000,0,6,6,1,1,2,1,2,30,20.5,+13,2007,fryech01,https://www.basketball-reference.com/players/f/fryech01/gamelog/2007
29,19,2006-12-22,23-219,NYK,,CHI,W (+11),1,28:35,6,11,.545,0,0,,3,4,.750,1,11,12,1,0,0,1,5,15,11.0,+1,2007,fryech01,https://www.basketball-reference.com/players/f/fryech01/gamelog/2007
