Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,session,player,gamelog_url
1,1,2016-10-26,24-322,NOP,,DEN,L (-5),0,10:50,2,5,.400,0,1,.000,1,1,1.000,0,2,2,1,1,0,0,1,5,4.2,-3,2017,gallola01,https://www.basketball-reference.com/players/g/gallola01/gamelog/2017
2,2,2016-10-28,24-324,NOP,,GSW,L (-8),0,13:39,0,7,.000,0,4,.000,0,0,,0,0,0,0,1,0,0,1,0,-4.3,-9,2017,gallola01,https://www.basketball-reference.com/players/g/gallola01/gamelog/2017
3,3,2016-10-29,24-325,NOP,@,SAS,L (-19),0,22:54,3,10,.300,0,4,.000,0,0,,0,4,4,2,0,0,0,1,6,2.4,-9,2017,gallola01,https://www.basketball-reference.com/players/g/gallola01/gamelog/2017
4,4,2016-11-01,24-328,NOP,,MIL,L (-4),0,8:19,0,0,,0,0,,0,0,,0,1,1,0,1,0,1,1,0,-0.1,-6,2017,gallola01,https://www.basketball-reference.com/players/g/gallola01/gamelog/2017
5,5,2016-11-02,24-329,NOP,@,MEM,L (-6),0,32:03,6,13,.462,4,7,.571,2,3,.667,0,2,2,2,2,1,0,4,18,14.0,+17,2017,gallola01,https://www.basketball-reference.com/players/g/gallola01/gamelog/2017
6,6,2016-11-04,24-331,NOP,,PHO,L (-1),0,28:17,5,10,.500,4,6,.667,0,0,,0,4,4,0,0,0,1,2,14,8.4,+9,2017,gallola01,https://www.basketball-reference.com/players/g/gallola01/gamelog/2017
7,7,2016-11-07,24-334,NOP,@,GSW,L (-10),0,20:42,3,8,.375,1,2,.500,2,3,.667,1,1,2,4,2,0,1,0,9,9.0,-9,2017,gallola01,https://www.basketball-reference.com/players/g/gallola01/gamelog/2017
8,8,2016-11-08,24-335,NOP,@,SAC,L (-8),0,16:26,2,9,.222,0,5,.000,0,0,,0,2,2,4,0,0,0,0,4,1.9,-2,2017,gallola01,https://www.basketball-reference.com/players/g/gallola01/gamelog/2017
9,9,2016-11-10,24-337,NOP,@,MIL,W (+6),0,13:41,2,7,.286,1,2,.500,0,0,,0,5,5,1,0,0,0,0,5,3.1,-2,2017,gallola01,https://www.basketball-reference.com/players/g/gallola01/gamelog/2017
10,10,2016-11-12,24-339,NOP,,LAL,L (-27),0,21:44,5,12,.417,2,6,.333,0,0,,2,4,6,2,1,0,1,0,12,9.6,-23,2017,gallola01,https://www.basketball-reference.com/players/g/gallola01/gamelog/2017
11,11,2016-11-14,24-341,NOP,,BOS,W (+1),0,31:38,8,14,.571,3,5,.600,2,2,1.000,0,1,1,3,2,0,2,3,21,15.6,+2,2017,gallola01,https://www.basketball-reference.com/players/g/gallola01/gamelog/2017
12,12,2016-11-16,24-343,NOP,@,ORL,L (-7),0,20:48,6,12,.500,3,8,.375,0,1,.000,1,1,2,2,1,0,0,3,15,10.8,-5,2017,gallola01,https://www.basketball-reference.com/players/g/gallola01/gamelog/2017
13,13,2016-11-18,24-345,NOP,,POR,W (+12),0,19:47,2,8,.250,1,3,.333,0,0,,0,1,1,1,1,0,1,3,5,0.0,+5,2017,gallola01,https://www.basketball-reference.com/players/g/gallola01/gamelog/2017
14,14,2016-11-19,24-346,NOP,,CHO,W (+5),0,30:59,7,14,.500,6,11,.545,3,3,1.000,1,6,7,0,2,0,3,1,23,17.1,+3,2017,gallola01,https://www.basketball-reference.com/players/g/gallola01/gamelog/2017
15,15,2016-11-22,24-349,NOP,@,ATL,W (+18),0,18:55,2,5,.400,1,3,.333,0,0,,0,3,3,4,2,0,1,3,5,5.8,-11,2017,gallola01,https://www.basketball-reference.com/players/g/gallola01/gamelog/2017
16,16,2016-11-23,24-350,NOP,,MIN,W (+21),0,24:35,3,6,.500,3,5,.600,0,0,,1,3,4,2,2,0,1,3,9,8.8,-10,2017,gallola01,https://www.basketball-reference.com/players/g/gallola01/gamelog/2017
17,17,2016-11-25,24-352,NOP,@,POR,L (-15),0,18:12,1,2,.500,1,1,1.000,0,0,,0,0,0,0,2,0,1,0,3,3.0,+2,2017,gallola01,https://www.basketball-reference.com/players/g/gallola01/gamelog/2017
18,18,2016-11-27,24-354,NOP,@,DAL,L (-10),0,23:48,2,6,.333,0,2,.000,0,0,,0,0,0,1,0,0,0,0,4,1.3,-7,2017,gallola01,https://www.basketball-reference.com/players/g/gallola01/gamelog/2017
19,19,2016-11-29,24-356,NOP,,LAL,W (+17),0,16:32,3,9,.333,2,6,.333,0,0,,0,1,1,2,1,0,0,2,8,4.8,+8,2017,gallola01,https://www.basketball-reference.com/players/g/gallola01/gamelog/2017
20,20,2016-12-02,24-359,NOP,,LAC,L (-18),0,19:07,2,10,.200,0,5,.000,0,0,,1,2,3,1,1,0,1,1,4,-0.6,-1,2017,gallola01,https://www.basketball-reference.com/players/g/gallola01/gamelog/2017
21,21,2016-12-04,24-361,NOP,@,OKC,L (-9),0,12:53,1,7,.143,0,3,.000,0,0,,2,1,3,0,1,0,0,1,2,-0.2,+6,2017,gallola01,https://www.basketball-reference.com/players/g/gallola01/gamelog/2017
22,22,2016-12-05,24-362,NOP,,MEM,L (-2),0,35:53,9,18,.500,6,13,.462,2,2,1.000,0,1,1,2,0,0,1,0,26,17.7,+9,2017,gallola01,https://www.basketball-reference.com/players/g/gallola01/gamelog/2017
23,23,2016-12-08,24-365,NOP,,PHI,L (-11),0,28:25,8,16,.500,3,6,.500,0,1,.000,1,3,4,2,1,0,1,2,19,12.8,-3,2017,gallola01,https://www.basketball-reference.com/players/g/gallola01/gamelog/2017
24,24,2016-12-10,25-001,NOP,@,LAC,L (-28),0,29:48,4,13,.308,1,5,.200,3,5,.600,0,0,0,3,1,0,3,1,12,3.4,-12,2017,gallola01,https://www.basketball-reference.com/players/g/gallola01/gamelog/2017
25,25,2016-12-11,25-002,NOP,@,PHO,W (+1),0,19:23,4,7,.571,4,7,.571,0,0,,0,0,0,0,0,0,0,2,12,7.9,+1,2017,gallola01,https://www.basketball-reference.com/players/g/gallola01/gamelog/2017
26,26,2016-12-13,25-004,NOP,,GSW,L (-4),0,27:56,6,14,.429,5,12,.417,3,3,1.000,1,5,6,0,2,0,2,2,20,14.0,+4,2017,gallola01,https://www.basketball-reference.com/players/g/gallola01/gamelog/2017
27,27,2016-12-15,25-006,NOP,,IND,W (+7),0,20:02,2,10,.200,1,7,.143,0,0,,0,1,1,0,2,0,0,0,5,1.1,-4,2017,gallola01,https://www.basketball-reference.com/players/g/gallola01/gamelog/2017
