Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,FT,FTA,FT%,TRB,AST,PF,PTS,session,player,gamelog_url
1,1,1969-10-18,32-185,SFW,,SDR,L (-1),,18:00,5,14,.357,2,2,1.000,8,0,3,12,1970,gambeda01,https://www.basketball-reference.com/players/g/gambeda01/gamelog/1970
2,2,1969-10-22,32-189,SFW,@,ATL,W (+1),,7:00,2,4,.500,0,0,,3,0,0,4,1970,gambeda01,https://www.basketball-reference.com/players/g/gambeda01/gamelog/1970
3,3,1969-10-23,32-190,SFW,@,NYK,W (+3),,3:00,0,1,.000,0,0,,2,0,0,0,1970,gambeda01,https://www.basketball-reference.com/players/g/gambeda01/gamelog/1970
4,4,1969-10-25,32-192,SFW,,MIL,W (+14),,3:00,1,2,.500,0,0,,3,0,0,2,1970,gambeda01,https://www.basketball-reference.com/players/g/gambeda01/gamelog/1970
5,5,1969-10-29,32-196,SFW,,CHI,L (-14),,3:00,0,2,.000,0,0,,0,0,2,0,1970,gambeda01,https://www.basketball-reference.com/players/g/gambeda01/gamelog/1970
6,6,1969-11-01,32-199,SFW,,CIN,W (+23),,12:00,2,6,.333,2,2,1.000,2,0,3,6,1970,gambeda01,https://www.basketball-reference.com/players/g/gambeda01/gamelog/1970
7,7,1969-11-04,32-202,SFW,@,BAL,L (-19),,12:00,1,6,.167,1,1,1.000,3,0,3,3,1970,gambeda01,https://www.basketball-reference.com/players/g/gambeda01/gamelog/1970
8,8,1969-11-06,32-204,SFW,@,CIN,W (+21),,5:00,1,3,.333,1,3,.333,1,0,0,3,1970,gambeda01,https://www.basketball-reference.com/players/g/gambeda01/gamelog/1970
9,9,1969-11-08,32-206,SFW,@,ATL,L (-13),,14:00,1,5,.200,7,8,.875,1,0,2,9,1970,gambeda01,https://www.basketball-reference.com/players/g/gambeda01/gamelog/1970
10,10,1969-11-11,32-209,SFW,,NYK,L (-13),,2:00,0,1,.000,0,0,,0,1,3,0,1970,gambeda01,https://www.basketball-reference.com/players/g/gambeda01/gamelog/1970
11,11,1969-11-14,32-212,SFW,,ATL,L (-11),,5:00,3,6,.500,2,2,1.000,2,0,1,8,1970,gambeda01,https://www.basketball-reference.com/players/g/gambeda01/gamelog/1970
12,12,1969-11-15,32-213,SFW,@,CHI,L (-19),,10:00,2,4,.500,0,0,,2,1,4,4,1970,gambeda01,https://www.basketball-reference.com/players/g/gambeda01/gamelog/1970
13,13,1969-11-16,32-214,SFW,@,MIL,L (-6),,18:00,5,8,.625,1,1,1.000,2,2,2,11,1970,gambeda01,https://www.basketball-reference.com/players/g/gambeda01/gamelog/1970
14,14,1969-11-18,32-216,SFW,,MIL,W (+17),,14:00,2,4,.500,7,7,1.000,3,0,3,11,1970,gambeda01,https://www.basketball-reference.com/players/g/gambeda01/gamelog/1970
