Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,session,player,gamelog_url
1,1,1992-11-19,27-336,HOU,,CLE,W (+7),0,13:00,5,7,.714,0,0,,0,0,,1,0,1,2,0,0,1,0,10,8.2,1993,garlawi01,https://www.basketball-reference.com/players/g/garlawi01/gamelog/1993
2,2,1992-11-21,27-338,HOU,,SAS,W (+3),0,11:00,2,6,.333,0,0,,0,0,,1,1,2,3,0,0,1,2,4,1.9,1993,garlawi01,https://www.basketball-reference.com/players/g/garlawi01/gamelog/1993
3,3,1992-11-24,27-341,HOU,,LAC,W (+5),0,10:00,1,3,.333,0,0,,2,2,1.000,0,0,0,0,1,0,1,3,4,1.1,1993,garlawi01,https://www.basketball-reference.com/players/g/garlawi01/gamelog/1993
4,4,1992-11-27,27-344,HOU,@,MIA,W (+8),0,16:00,1,3,.333,0,0,,0,0,,0,1,1,1,0,0,1,3,2,-0.9,1993,garlawi01,https://www.basketball-reference.com/players/g/garlawi01/gamelog/1993
5,5,1992-11-28,27-345,HOU,,UTA,L (-9),0,6:00,0,0,,0,0,,0,0,,0,1,1,0,1,0,2,0,0,-0.7,1993,garlawi01,https://www.basketball-reference.com/players/g/garlawi01/gamelog/1993
6,6,1992-12-01,27-348,HOU,@,DEN,L (-7),0,14:00,1,6,.167,0,1,.000,0,0,,0,2,2,3,0,0,3,2,2,-2.9,1993,garlawi01,https://www.basketball-reference.com/players/g/garlawi01/gamelog/1993
7,7,1992-12-05,27-352,HOU,@,DAL,W (+21),0,7:00,2,4,.500,0,0,,0,0,,0,0,0,0,0,0,1,1,4,0.6,1993,garlawi01,https://www.basketball-reference.com/players/g/garlawi01/gamelog/1993
8,8,1992-12-11,27-358,HOU,@,CHI,W (+14),0,2:00,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-0.7,1993,garlawi01,https://www.basketball-reference.com/players/g/garlawi01/gamelog/1993
9,9,1992-12-12,27-359,HOU,@,MIN,W (+17),0,5:00,1,3,.333,0,0,,0,0,,0,0,0,0,1,0,0,1,2,0.9,1993,garlawi01,https://www.basketball-reference.com/players/g/garlawi01/gamelog/1993
10,10,1992-12-15,27-362,HOU,@,CLE,L (-27),0,6:00,2,6,.333,0,1,.000,1,1,1.000,1,0,1,1,1,0,0,3,5,2.8,1993,garlawi01,https://www.basketball-reference.com/players/g/garlawi01/gamelog/1993
11,11,1992-12-19,28-000,HOU,,DAL,W (+19),0,5:00,1,2,.500,0,1,.000,2,2,1.000,0,0,0,0,0,0,1,0,4,2.0,1993,garlawi01,https://www.basketball-reference.com/players/g/garlawi01/gamelog/1993
12,12,1992-12-29,28-010,HOU,,GSW,L (-20),0,5:00,1,3,.333,0,0,,0,0,,0,0,0,0,0,0,0,2,2,-0.5,1993,garlawi01,https://www.basketball-reference.com/players/g/garlawi01/gamelog/1993
13,13,1992-12-30,28-011,HOU,@,PHO,L (-23),0,5:00,1,3,.333,1,1,1.000,0,0,,0,1,1,0,0,0,0,1,3,1.2,1993,garlawi01,https://www.basketball-reference.com/players/g/garlawi01/gamelog/1993
14,14,1993-01-03,28-015,HOU,@,POR,L (-2),0,9:00,2,4,.500,0,0,,0,0,,1,1,2,1,0,0,0,2,4,2.9,1993,garlawi01,https://www.basketball-reference.com/players/g/garlawi01/gamelog/1993
15,15,1993-01-07,28-019,HOU,,POR,L (-22),0,7:00,0,5,.000,0,1,.000,2,2,1.000,1,0,1,1,0,0,0,1,2,-0.5,1993,garlawi01,https://www.basketball-reference.com/players/g/garlawi01/gamelog/1993
16,16,1993-01-08,28-020,HOU,@,DEN,L (-25),0,18:00,3,5,.600,0,0,,3,4,.750,0,1,1,2,0,1,1,3,9,6.5,1993,garlawi01,https://www.basketball-reference.com/players/g/garlawi01/gamelog/1993
17,17,1993-01-10,28-022,HOU,,UTA,W (+7),0,17:00,1,4,.250,0,0,,4,4,1.000,1,1,2,2,0,0,1,0,6,5.0,1993,garlawi01,https://www.basketball-reference.com/players/g/garlawi01/gamelog/1993
18,18,1993-01-12,28-024,HOU,@,LAC,W (+10),0,22:00,3,7,.429,0,0,,2,2,1.000,0,0,0,2,3,0,2,2,8,5.9,1993,garlawi01,https://www.basketball-reference.com/players/g/garlawi01/gamelog/1993
19,19,1993-01-14,28-026,HOU,,CHH,W (+12),0,21:00,5,10,.500,0,0,,0,0,,3,3,6,5,1,0,3,3,10,8.3,1993,garlawi01,https://www.basketball-reference.com/players/g/garlawi01/gamelog/1993
20,20,1993-01-16,28-028,HOU,,NYK,W (+2),0,20:00,3,5,.600,0,0,,2,3,.667,1,2,3,6,1,0,0,1,8,11.4,1993,garlawi01,https://www.basketball-reference.com/players/g/garlawi01/gamelog/1993
21,21,1993-01-18,28-030,HOU,@,LAL,W (+20),0,19:00,4,7,.571,1,1,1.000,2,2,1.000,0,2,2,2,0,0,0,2,11,8.9,1993,garlawi01,https://www.basketball-reference.com/players/g/garlawi01/gamelog/1993
22,22,1993-01-19,28-031,HOU,@,SAC,W (+6),0,12:00,0,4,.000,0,0,,0,0,,0,2,2,4,0,0,3,4,0,-4.0,1993,garlawi01,https://www.basketball-reference.com/players/g/garlawi01/gamelog/1993
23,23,1993-01-21,28-033,HOU,,DET,W (+6),0,13:00,2,5,.400,0,0,,3,3,1.000,0,2,2,2,0,1,1,4,7,4.4,1993,garlawi01,https://www.basketball-reference.com/players/g/garlawi01/gamelog/1993
24,24,1993-01-23,28-035,HOU,@,IND,W (+13),0,15:00,3,10,.300,0,0,,0,0,,0,0,0,2,1,0,1,1,6,1.2,1993,garlawi01,https://www.basketball-reference.com/players/g/garlawi01/gamelog/1993
25,25,1993-01-24,28-036,HOU,@,NJN,L (-17),0,16:00,2,6,.333,0,0,,1,1,1.000,0,3,3,3,0,0,1,2,5,2.8,1993,garlawi01,https://www.basketball-reference.com/players/g/garlawi01/gamelog/1993
26,26,1993-01-26,28-038,HOU,@,MIL,L (-14),0,14:00,1,7,.143,0,0,,0,0,,1,0,1,2,0,0,1,1,2,-1.8,1993,garlawi01,https://www.basketball-reference.com/players/g/garlawi01/gamelog/1993
27,27,1993-01-28,28-040,HOU,,CHI,W (+11),0,16:00,2,3,.667,0,0,,0,0,,1,2,3,2,1,0,1,0,4,5.4,1993,garlawi01,https://www.basketball-reference.com/players/g/garlawi01/gamelog/1993
28,28,1993-01-30,28-042,HOU,,NJN,W (+3),0,17:00,5,6,.833,0,0,,0,0,,1,2,3,3,3,1,4,1,10,10.5,1993,garlawi01,https://www.basketball-reference.com/players/g/garlawi01/gamelog/1993
29,29,1993-02-05,28-048,HOU,,MIN,L (-7),0,16:00,4,9,.444,1,1,1.000,2,2,1.000,2,3,5,5,0,0,0,3,11,10.9,1993,garlawi01,https://www.basketball-reference.com/players/g/garlawi01/gamelog/1993
30,30,1993-02-08,28-051,HOU,,WSB,L (-6),0,9:00,2,2,1.000,0,0,,0,0,,1,0,1,0,0,0,1,2,4,2.3,1993,garlawi01,https://www.basketball-reference.com/players/g/garlawi01/gamelog/1993
31,31,1993-02-10,28-053,HOU,@,PHI,W (+8),0,29:00,6,13,.462,0,0,,0,0,,1,3,4,3,1,0,0,3,12,8.8,1993,garlawi01,https://www.basketball-reference.com/players/g/garlawi01/gamelog/1993
32,32,1993-02-11,28-054,HOU,@,NYK,L (-30),0,9:00,0,2,.000,0,0,,2,2,1.000,0,0,0,4,1,0,0,1,2,4.0,1993,garlawi01,https://www.basketball-reference.com/players/g/garlawi01/gamelog/1993
33,33,1993-02-13,28-056,HOU,@,MIN,W (+9),0,19:00,4,5,.800,0,0,,3,3,1.000,0,1,1,2,0,0,2,2,11,8.0,1993,garlawi01,https://www.basketball-reference.com/players/g/garlawi01/gamelog/1993
34,34,1993-02-16,28-059,HOU,,PHI,W (+38),0,23:00,4,6,.667,0,0,,3,3,1.000,0,0,0,6,1,0,0,2,11,12.8,1993,garlawi01,https://www.basketball-reference.com/players/g/garlawi01/gamelog/1993
35,35,1993-02-18,28-061,HOU,,BOS,W (+35),0,10:00,2,2,1.000,0,0,,0,0,,0,3,3,4,2,0,0,0,4,9.1,1993,garlawi01,https://www.basketball-reference.com/players/g/garlawi01/gamelog/1993
36,36,1993-02-23,28-066,HOU,@,UTA,W (+27),0,21:00,3,6,.500,0,0,,2,2,1.000,1,3,4,4,0,0,0,2,8,8.6,1993,garlawi01,https://www.basketball-reference.com/players/g/garlawi01/gamelog/1993
37,37,1993-02-25,28-068,HOU,,PHO,W (+27),0,17:00,1,5,.200,0,0,,2,2,1.000,1,1,2,3,0,0,0,1,4,3.6,1993,garlawi01,https://www.basketball-reference.com/players/g/garlawi01/gamelog/1993
38,38,1993-02-27,28-070,HOU,,DEN,W (+5),0,7:00,1,3,.333,0,0,,1,1,1.000,0,0,0,0,0,1,0,0,3,2.0,1993,garlawi01,https://www.basketball-reference.com/players/g/garlawi01/gamelog/1993
39,39,1993-03-02,28-073,HOU,@,LAC,W (+16),0,14:00,3,7,.429,0,0,,0,0,,0,0,0,0,0,0,1,1,6,0.9,1993,garlawi01,https://www.basketball-reference.com/players/g/garlawi01/gamelog/1993
