Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,session,player,gamelog_url
1,1,2016-10-25,36-111,SAS,@,GSW,W (+29),1,18:16,1,4,.250,0,0,,0,0,,0,4,4,1,0,0,1,3,2,-0.7,-13,2017,gasolpa01,https://www.basketball-reference.com/players/g/gasolpa01/gamelog/2017
2,2,2016-10-27,36-113,SAS,@,SAC,W (+8),1,20:33,3,7,.429,1,1,1.000,0,0,,0,6,6,1,1,1,3,2,7,3.7,-13,2017,gasolpa01,https://www.basketball-reference.com/players/g/gasolpa01/gamelog/2017
3,3,2016-10-29,36-115,SAS,,NOP,W (+19),1,21:42,3,6,.500,1,1,1.000,2,2,1.000,1,7,8,5,0,0,1,0,9,11.3,+15,2017,gasolpa01,https://www.basketball-reference.com/players/g/gasolpa01/gamelog/2017
4,4,2016-10-30,36-116,SAS,@,MIA,W (+7),1,31:08,9,18,.500,1,2,.500,1,2,.500,3,8,11,3,0,2,0,2,20,17.8,-1,2017,gasolpa01,https://www.basketball-reference.com/players/g/gasolpa01/gamelog/2017
5,5,2016-11-01,36-118,SAS,,UTA,L (-15),1,26:33,4,8,.500,0,1,.000,0,0,,1,7,8,2,0,3,0,3,8,9.1,+1,2017,gasolpa01,https://www.basketball-reference.com/players/g/gasolpa01/gamelog/2017
6,6,2016-11-04,36-121,SAS,@,UTA,W (+14),1,23:20,4,9,.444,0,0,,0,0,,1,5,6,2,0,2,1,0,8,7.3,+6,2017,gasolpa01,https://www.basketball-reference.com/players/g/gasolpa01/gamelog/2017
7,7,2016-11-05,36-122,SAS,,LAC,L (-24),1,20:38,3,5,.600,1,2,.500,4,6,.667,1,3,4,1,0,1,2,1,11,8.5,-12,2017,gasolpa01,https://www.basketball-reference.com/players/g/gasolpa01/gamelog/2017
8,8,2016-11-09,36-126,SAS,,HOU,L (-2),1,12:55,1,2,.500,0,0,,0,0,,1,6,7,1,1,0,1,1,2,3.8,-6,2017,gasolpa01,https://www.basketball-reference.com/players/g/gasolpa01/gamelog/2017
9,9,2016-11-11,36-128,SAS,,DET,W (+10),1,35:53,10,16,.625,1,3,.333,0,0,,4,5,9,6,1,2,1,2,21,22.9,+1,2017,gasolpa01,https://www.basketball-reference.com/players/g/gasolpa01/gamelog/2017
10,10,2016-11-12,36-129,SAS,@,HOU,W (+6),1,32:28,5,10,.500,0,1,.000,5,8,.625,1,6,7,6,0,2,1,3,15,14.7,+8,2017,gasolpa01,https://www.basketball-reference.com/players/g/gasolpa01/gamelog/2017
11,11,2016-11-14,36-131,SAS,,MIA,W (+4),1,31:26,6,15,.400,0,1,.000,0,2,.000,2,6,8,2,1,1,1,2,12,7.6,+6,2017,gasolpa01,https://www.basketball-reference.com/players/g/gasolpa01/gamelog/2017
12,12,2016-11-16,36-133,SAS,@,SAC,W (+5),1,31:23,10,17,.588,0,1,.000,4,7,.571,1,6,7,2,0,2,0,3,24,19.0,+25,2017,gasolpa01,https://www.basketball-reference.com/players/g/gasolpa01/gamelog/2017
13,13,2016-11-18,36-135,SAS,@,LAL,W (+9),1,28:24,6,13,.462,0,0,,4,4,1.000,0,5,5,2,0,2,2,3,16,10.4,+13,2017,gasolpa01,https://www.basketball-reference.com/players/g/gasolpa01/gamelog/2017
14,14,2016-11-21,36-138,SAS,,DAL,W (+5),1,27:55,7,13,.538,1,1,1.000,1,2,.500,0,8,8,2,0,0,3,1,16,9.7,-1,2017,gasolpa01,https://www.basketball-reference.com/players/g/gasolpa01/gamelog/2017
15,15,2016-11-23,36-140,SAS,@,CHO,W (+5),1,29:41,4,8,.500,1,2,.500,0,0,,1,7,8,5,3,1,0,0,9,15.0,+10,2017,gasolpa01,https://www.basketball-reference.com/players/g/gasolpa01/gamelog/2017
16,16,2016-11-25,36-142,SAS,@,BOS,W (+6),1,17:15,0,5,.000,0,1,.000,0,0,,0,5,5,2,0,1,1,1,0,-1.3,-9,2017,gasolpa01,https://www.basketball-reference.com/players/g/gasolpa01/gamelog/2017
17,17,2016-11-26,36-143,SAS,@,WAS,W (+12),1,29:20,4,7,.571,0,1,.000,0,0,,2,8,10,2,1,1,2,3,8,8.4,+2,2017,gasolpa01,https://www.basketball-reference.com/players/g/gasolpa01/gamelog/2017
18,18,2016-11-29,36-146,SAS,,ORL,L (-12),1,22:02,2,6,.333,0,1,.000,2,2,1.000,2,4,6,3,0,0,0,0,6,7.3,-9,2017,gasolpa01,https://www.basketball-reference.com/players/g/gasolpa01/gamelog/2017
19,,2016-11-30,36-147,SAS,@,DAL,W (+7),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2017,gasolpa01,https://www.basketball-reference.com/players/g/gasolpa01/gamelog/2017
20,19,2016-12-02,36-149,SAS,,WAS,W (+2),1,33:42,8,16,.500,1,2,.500,2,8,.250,4,6,10,2,1,2,1,0,19,16.0,-9,2017,gasolpa01,https://www.basketball-reference.com/players/g/gasolpa01/gamelog/2017
21,20,2016-12-05,36-152,SAS,@,MIL,W (+1),1,26:59,6,9,.667,2,2,1.000,1,1,1.000,2,7,9,1,0,1,2,1,15,13.6,-9,2017,gasolpa01,https://www.basketball-reference.com/players/g/gasolpa01/gamelog/2017
22,21,2016-12-06,36-153,SAS,@,MIN,W (+14),1,25:37,4,10,.400,2,3,.667,1,2,.500,1,6,7,1,0,0,1,2,11,6.6,-1,2017,gasolpa01,https://www.basketball-reference.com/players/g/gasolpa01/gamelog/2017
23,22,2016-12-08,36-155,SAS,@,CHI,L (-4),1,30:31,6,11,.545,1,3,.333,0,0,,2,8,10,3,0,1,1,0,13,13.3,-4,2017,gasolpa01,https://www.basketball-reference.com/players/g/gasolpa01/gamelog/2017
24,23,2016-12-10,36-157,SAS,,BRK,W (+29),1,24:52,6,13,.462,1,1,1.000,2,3,.667,0,5,5,4,0,1,3,5,15,7.9,+4,2017,gasolpa01,https://www.basketball-reference.com/players/g/gasolpa01/gamelog/2017
25,24,2016-12-14,36-161,SAS,,BOS,W (+7),1,34:46,7,12,.583,1,2,.500,2,2,1.000,1,12,13,6,2,1,0,0,17,22.6,+3,2017,gasolpa01,https://www.basketball-reference.com/players/g/gasolpa01/gamelog/2017
26,25,2016-12-15,36-162,SAS,@,PHO,W (+15),1,23:43,8,12,.667,0,1,.000,2,2,1.000,2,7,9,3,0,0,2,1,18,16.0,+1,2017,gasolpa01,https://www.basketball-reference.com/players/g/gasolpa01/gamelog/2017
27,26,2016-12-18,36-165,SAS,,NOP,W (+13),1,23:42,3,7,.429,0,0,,1,4,.250,5,9,14,4,0,2,1,1,7,11.1,+16,2017,gasolpa01,https://www.basketball-reference.com/players/g/gasolpa01/gamelog/2017
28,27,2016-12-20,36-167,SAS,@,HOU,W (+2),1,26:20,5,8,.625,0,0,,0,0,,1,9,10,2,0,2,2,3,10,9.4,0,2017,gasolpa01,https://www.basketball-reference.com/players/g/gasolpa01/gamelog/2017
29,28,2016-12-22,36-169,SAS,@,LAC,L (-5),1,31:48,6,12,.500,1,2,.500,8,8,1.000,5,4,9,2,0,2,2,3,21,19.3,+1,2017,gasolpa01,https://www.basketball-reference.com/players/g/gasolpa01/gamelog/2017
30,,2016-12-23,36-170,SAS,@,POR,W (+20),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2017,gasolpa01,https://www.basketball-reference.com/players/g/gasolpa01/gamelog/2017
31,29,2016-12-25,36-172,SAS,,CHI,W (+19),1,24:03,5,8,.625,1,1,1.000,1,3,.333,2,5,7,1,0,1,0,1,12,11.5,+12,2017,gasolpa01,https://www.basketball-reference.com/players/g/gasolpa01/gamelog/2017
32,30,2016-12-28,36-175,SAS,,PHO,W (+21),1,29:24,6,12,.500,0,2,.000,4,5,.800,2,8,10,1,2,1,2,1,16,14.4,+22,2017,gasolpa01,https://www.basketball-reference.com/players/g/gasolpa01/gamelog/2017
33,31,2016-12-30,36-177,SAS,,POR,W (+16),1,22:36,4,11,.364,0,0,,2,2,1.000,2,5,7,3,1,0,1,2,10,8.1,+9,2017,gasolpa01,https://www.basketball-reference.com/players/g/gasolpa01/gamelog/2017
34,32,2017-01-01,36-179,SAS,@,ATL,L (-2),1,37:50,6,10,.600,1,1,1.000,5,6,.833,1,8,9,2,1,1,3,3,18,15.0,+7,2017,gasolpa01,https://www.basketball-reference.com/players/g/gasolpa01/gamelog/2017
35,33,2017-01-03,36-181,SAS,,TOR,W (+28),1,19:13,1,6,.167,0,0,,3,4,.750,0,4,4,3,0,4,0,1,5,6.5,+11,2017,gasolpa01,https://www.basketball-reference.com/players/g/gasolpa01/gamelog/2017
36,34,2017-01-05,36-183,SAS,@,DEN,W (+28),1,34:54,7,8,.875,1,1,1.000,2,3,.667,1,8,9,4,0,2,1,3,17,18.9,+27,2017,gasolpa01,https://www.basketball-reference.com/players/g/gasolpa01/gamelog/2017
37,35,2017-01-07,36-185,SAS,,CHO,W (+17),1,20:04,2,7,.286,1,2,.500,0,0,,1,4,5,3,1,2,0,2,5,6.5,+5,2017,gasolpa01,https://www.basketball-reference.com/players/g/gasolpa01/gamelog/2017
