Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,session,player,gamelog_url
1,1,2007-10-31,21-075,MEM,,SAS,L (-3),1,28:05,7,15,.467,0,5,.000,2,3,.667,0,6,6,2,0,0,3,5,16,6.1,+7,2008,gayru01,https://www.basketball-reference.com/players/g/gayru01/gamelog/2008
2,2,2007-11-03,21-078,MEM,,IND,L (-10),1,19:22,5,9,.556,2,4,.500,1,1,1.000,0,0,0,0,0,0,4,5,13,2.7,-12,2008,gayru01,https://www.basketball-reference.com/players/g/gayru01/gamelog/2008
3,3,2007-11-07,21-082,MEM,@,SEA,W (+7),1,42:52,8,19,.421,1,4,.250,8,9,.889,6,4,10,2,2,3,0,2,25,24.6,+10,2008,gayru01,https://www.basketball-reference.com/players/g/gayru01/gamelog/2008
4,4,2007-11-09,21-084,MEM,@,POR,L (-12),1,41:16,13,24,.542,4,7,.571,1,3,.333,0,3,3,0,2,2,1,5,31,19.9,-23,2008,gayru01,https://www.basketball-reference.com/players/g/gayru01/gamelog/2008
5,5,2007-11-10,21-085,MEM,@,UTA,L (-24),1,28:42,6,11,.545,1,3,.333,5,6,.833,1,2,3,1,1,1,2,3,18,12.8,-22,2008,gayru01,https://www.basketball-reference.com/players/g/gayru01/gamelog/2008
6,6,2007-11-13,21-088,MEM,,HOU,W (+6),1,32:30,6,11,.545,0,2,.000,3,4,.750,2,1,3,0,0,1,3,3,15,7.5,+17,2008,gayru01,https://www.basketball-reference.com/players/g/gayru01/gamelog/2008
7,7,2007-11-14,21-089,MEM,@,MIL,L (-3),1,40:06,9,15,.600,3,5,.600,5,6,.833,0,1,1,0,2,1,1,2,26,19.9,-3,2008,gayru01,https://www.basketball-reference.com/players/g/gayru01/gamelog/2008
8,8,2007-11-16,21-091,MEM,,NOH,L (-2),1,38:57,7,18,.389,4,6,.667,2,3,.667,1,3,4,0,2,1,3,2,20,10.3,-9,2008,gayru01,https://www.basketball-reference.com/players/g/gayru01/gamelog/2008
9,9,2007-11-17,21-092,MEM,@,DAL,L (-3),1,25:27,3,12,.250,1,6,.167,2,2,1.000,1,3,4,1,3,0,2,5,9,3.1,-13,2008,gayru01,https://www.basketball-reference.com/players/g/gayru01/gamelog/2008
10,10,2007-11-19,21-094,MEM,,SEA,W (+17),1,31:31,4,12,.333,2,4,.500,2,2,1.000,2,5,7,4,2,0,0,3,12,11.7,+30,2008,gayru01,https://www.basketball-reference.com/players/g/gayru01/gamelog/2008
