Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,session,player,gamelog_url
1,1,1978-10-13,25-078,DET,,NJN,L (-2),0,1:00,0,1,.000,0,0,,0,0,0,0,,0,,0,0,,1979,gerargu01,https://www.basketball-reference.com/players/g/gerargu01/gamelog/1979
2,2,1978-10-14,25-079,DET,@,ATL,L (-8),0,,1,,,1,2,.500,,,,0,,0,,0,3,,1979,gerargu01,https://www.basketball-reference.com/players/g/gerargu01/gamelog/1979
3,3,1978-10-27,25-092,KCK,@,DET,L (-5),0,3:00,2,2,1.000,1,2,.500,,,1,0,0,,,2,5,,1979,gerargu01,https://www.basketball-reference.com/players/g/gerargu01/gamelog/1979
4,4,1978-10-28,25-093,KCK,,PHO,W (+10),0,16:00,3,5,.600,0,1,.000,3,4,7,0,1,0,1,3,6,5.4,1979,gerargu01,https://www.basketball-reference.com/players/g/gerargu01/gamelog/1979
5,5,1978-10-31,25-096,KCK,@,MIL,L (-2),0,3:00,0,0,,0,0,,0,0,0,0,1,0,,2,0,,1979,gerargu01,https://www.basketball-reference.com/players/g/gerargu01/gamelog/1979
6,6,1978-11-01,25-097,KCK,,CLE,W (+15),0,10:00,3,4,.750,0,0,,1,0,1,0,0,0,0,2,6,4.3,1979,gerargu01,https://www.basketball-reference.com/players/g/gerargu01/gamelog/1979
7,7,1978-11-03,25-099,KCK,@,IND,L (-7),0,9:00,1,5,.200,1,2,.500,,,3,1,0,0,,1,3,,1979,gerargu01,https://www.basketball-reference.com/players/g/gerargu01/gamelog/1979
8,8,1978-11-10,25-106,KCK,@,LAL,L (-9),0,6:00,3,6,.500,0,0,,0,1,1,0,0,0,0,1,6,2.9,1979,gerargu01,https://www.basketball-reference.com/players/g/gerargu01/gamelog/1979
9,9,1978-11-11,25-107,KCK,@,DEN,W (+4),0,6:00,0,3,.000,4,4,1.000,0,1,1,0,0,0,0,1,4,1.8,1979,gerargu01,https://www.basketball-reference.com/players/g/gerargu01/gamelog/1979
10,10,1978-11-18,25-114,KCK,,NJN,W (+14),0,21:00,2,10,.200,2,2,1.000,,,4,1,1,,,0,6,,1979,gerargu01,https://www.basketball-reference.com/players/g/gerargu01/gamelog/1979
