Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,PF,PTS,session,player,gamelog_url
1,1,1974-10-17,24-129,NYK,,NOJ,W (+15),,45:00,3,11,.273,5,7,.714,4,14,18,2,2,1,3,11,1975,gianejo01,https://www.basketball-reference.com/players/g/gianejo01/gamelog/1975
2,2,1974-10-19,24-131,NYK,,PHI,L (-13),,24:00,4,10,.400,2,2,1.000,,,2,4,,,4,10,1975,gianejo01,https://www.basketball-reference.com/players/g/gianejo01/gamelog/1975
3,3,1974-10-22,24-134,NYK,,HOU,W (+10),,27:00,4,5,.800,2,2,1.000,,,3,1,,,4,10,1975,gianejo01,https://www.basketball-reference.com/players/g/gianejo01/gamelog/1975
4,4,1974-10-24,24-136,NYK,@,BUF,L (-20),,23:00,2,7,.286,0,0,,,,8,2,,,4,4,1975,gianejo01,https://www.basketball-reference.com/players/g/gianejo01/gamelog/1975
5,5,1974-10-26,24-138,NYK,,BOS,W (+11),,38:00,4,9,.444,2,2,1.000,,,8,2,,,4,10,1975,gianejo01,https://www.basketball-reference.com/players/g/gianejo01/gamelog/1975
6,6,1974-10-30,24-142,NYK,@,WSB,L (-8),,40:00,6,14,.429,0,0,,,,8,1,,,6,12,1975,gianejo01,https://www.basketball-reference.com/players/g/gianejo01/gamelog/1975
7,7,1974-10-31,24-143,NYK,,ATL,W (+3),,41:00,4,11,.364,3,3,1.000,,,13,3,,,2,11,1975,gianejo01,https://www.basketball-reference.com/players/g/gianejo01/gamelog/1975
8,8,1974-11-02,24-145,NYK,,CHI,L (-5),1,33:00,2,7,.286,3,7,.429,,,4,2,,,4,7,1975,gianejo01,https://www.basketball-reference.com/players/g/gianejo01/gamelog/1975
9,9,1974-11-05,24-148,NYK,@,HOU,W (+13),,,2,4,.500,0,0,,,,4,,,,5,4,1975,gianejo01,https://www.basketball-reference.com/players/g/gianejo01/gamelog/1975
10,10,1974-11-08,24-151,NYK,@,LAL,W (+12),1,26:00,1,4,.250,0,0,,1,4,5,0,0,6,5,2,1975,gianejo01,https://www.basketball-reference.com/players/g/gianejo01/gamelog/1975
