Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,session,player,gamelog_url
1,1,2009-10-27,23-242,CLE,,BOS,L (-6),0,13:42,1,3,.333,0,1,.000,0,1,.000,0,1,1,0,0,0,1,2,2,-1.6,-4,2010,gibsoda01,https://www.basketball-reference.com/players/g/gibsoda01/gamelog/2010
2,2,2009-10-28,23-243,CLE,@,TOR,L (-10),0,34:11,4,10,.400,4,8,.500,0,1,.000,1,2,3,3,1,0,2,3,12,7.4,+12,2010,gibsoda01,https://www.basketball-reference.com/players/g/gibsoda01/gamelog/2010
3,3,2009-10-30,23-245,CLE,@,MIN,W (+17),0,28:52,4,8,.500,4,8,.500,2,3,.667,0,1,1,2,3,0,0,2,14,13.5,+8,2010,gibsoda01,https://www.basketball-reference.com/players/g/gibsoda01/gamelog/2010
4,4,2009-10-31,23-246,CLE,,CHA,W (+11),0,14:48,0,3,.000,0,1,.000,0,0,,0,4,4,0,1,0,2,3,0,-3.1,-5,2010,gibsoda01,https://www.basketball-reference.com/players/g/gibsoda01/gamelog/2010
5,5,2009-11-03,23-249,CLE,,WAS,W (+12),0,26:39,5,8,.625,4,5,.800,0,1,.000,1,0,1,2,1,0,0,2,14,12.3,+6,2010,gibsoda01,https://www.basketball-reference.com/players/g/gibsoda01/gamelog/2010
6,6,2009-11-05,23-251,CLE,,CHI,L (-1),0,16:31,3,4,.750,2,3,.667,0,0,,0,1,1,0,0,0,0,2,8,5.9,-4,2010,gibsoda01,https://www.basketball-reference.com/players/g/gibsoda01/gamelog/2010
7,7,2009-11-06,23-252,CLE,@,NYK,W (+9),0,20:23,4,11,.364,3,8,.375,0,0,,0,0,0,1,0,0,0,0,11,5.6,+6,2010,gibsoda01,https://www.basketball-reference.com/players/g/gibsoda01/gamelog/2010
8,8,2009-11-11,23-257,CLE,@,ORL,W (+9),0,24:36,1,2,.500,1,2,.500,0,0,,0,3,3,0,1,0,0,1,3,3.5,+3,2010,gibsoda01,https://www.basketball-reference.com/players/g/gibsoda01/gamelog/2010
9,9,2009-11-12,23-258,CLE,@,MIA,W (+7),0,15:16,1,7,.143,1,4,.250,2,2,1.000,0,1,1,0,0,0,0,2,5,0.0,+6,2010,gibsoda01,https://www.basketball-reference.com/players/g/gibsoda01/gamelog/2010
10,10,2009-11-14,23-260,CLE,,UTA,W (+4),0,21:36,1,4,.250,1,4,.250,0,0,,0,1,1,2,3,0,4,2,3,0.5,-6,2010,gibsoda01,https://www.basketball-reference.com/players/g/gibsoda01/gamelog/2010
