Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,session,player,gamelog_url
1,1,1995-11-03,31-159,NJN,@,TOR,L (-15),1,43:00,5,14,.357,0,0,,3,4,.750,5,11,16,2,0,2,6,2,13,7.6,1996,gilliar01,https://www.basketball-reference.com/players/g/gilliar01/gamelog/1996
2,2,1995-11-07,31-163,NJN,,POR,W (+20),1,38:00,7,19,.368,0,0,,2,2,1.000,3,8,11,1,2,1,2,2,16,10.6,1996,gilliar01,https://www.basketball-reference.com/players/g/gilliar01/gamelog/1996
3,3,1995-11-08,31-164,NJN,@,ORL,L (-8),1,40:00,9,18,.500,0,0,,2,2,1.000,5,5,10,4,0,1,1,6,20,16.1,1996,gilliar01,https://www.basketball-reference.com/players/g/gilliar01/gamelog/1996
4,4,1995-11-10,31-166,NJN,@,MIA,L (-26),1,33:00,5,16,.313,0,0,,2,2,1.000,4,7,11,2,1,0,3,2,12,6.3,1996,gilliar01,https://www.basketball-reference.com/players/g/gilliar01/gamelog/1996
5,5,1995-11-11,31-167,NJN,,SAC,W (+2),1,37:00,5,12,.417,0,0,,2,2,1.000,3,6,9,2,1,3,2,3,12,10.8,1996,gilliar01,https://www.basketball-reference.com/players/g/gilliar01/gamelog/1996
6,6,1995-11-15,31-171,NJN,,CHH,W (+11),1,33:00,7,14,.500,0,0,,2,2,1.000,4,5,9,1,2,0,2,1,16,13.6,1996,gilliar01,https://www.basketball-reference.com/players/g/gilliar01/gamelog/1996
7,7,1995-11-17,31-173,NJN,@,CHI,L (-15),1,32:00,4,11,.364,0,0,,3,4,.750,1,5,6,3,3,1,4,2,11,7.7,1996,gilliar01,https://www.basketball-reference.com/players/g/gilliar01/gamelog/1996
8,8,1995-11-18,31-174,NJN,,PHI,W (+16),1,36:00,8,19,.421,0,0,,8,8,1.000,8,4,12,0,6,1,2,2,24,24.6,1996,gilliar01,https://www.basketball-reference.com/players/g/gilliar01/gamelog/1996
9,9,1995-11-20,31-176,NJN,@,UTA,L (-26),1,33:00,5,9,.556,0,0,,3,4,.750,0,3,3,0,1,0,3,1,13,6.8,1996,gilliar01,https://www.basketball-reference.com/players/g/gilliar01/gamelog/1996
10,10,1995-11-22,31-178,NJN,@,LAC,L (-33),1,28:00,6,11,.545,0,0,,3,4,.750,3,4,7,3,1,0,2,3,15,12.5,1996,gilliar01,https://www.basketball-reference.com/players/g/gilliar01/gamelog/1996
11,11,1995-11-24,31-180,NJN,@,POR,L (-12),1,42:00,5,15,.333,0,0,,10,10,1.000,6,12,18,1,1,3,4,2,20,18.3,1996,gilliar01,https://www.basketball-reference.com/players/g/gilliar01/gamelog/1996
12,12,1995-11-26,31-182,NJN,@,SAC,L (-7),1,41:00,6,16,.375,0,0,,9,10,.900,3,7,10,1,3,0,6,5,21,11.7,1996,gilliar01,https://www.basketball-reference.com/players/g/gilliar01/gamelog/1996
13,13,1995-11-28,31-184,NJN,,WSB,W (+5),1,34:00,7,15,.467,0,0,,3,4,.750,8,8,16,1,1,0,0,0,17,18.6,1996,gilliar01,https://www.basketball-reference.com/players/g/gilliar01/gamelog/1996
14,14,1995-12-01,31-187,NJN,@,BOS,W (+8),1,37:00,10,17,.588,0,0,,0,3,.000,4,7,11,1,1,0,4,3,20,12.3,1996,gilliar01,https://www.basketball-reference.com/players/g/gilliar01/gamelog/1996
15,15,1995-12-08,31-194,NJN,,IND,W (+2),1,39:00,5,15,.333,0,0,,3,4,.750,2,11,13,4,2,0,2,3,13,10.4,1996,gilliar01,https://www.basketball-reference.com/players/g/gilliar01/gamelog/1996
16,16,1995-12-09,31-195,NJN,@,CLE,W (+12),1,32:00,5,12,.417,0,0,,0,0,,4,4,8,0,0,1,3,2,10,4.5,1996,gilliar01,https://www.basketball-reference.com/players/g/gilliar01/gamelog/1996
17,17,1995-12-12,31-198,NJN,,ORL,L (-4),1,37:00,8,20,.400,0,0,,1,1,1.000,4,9,13,2,1,2,1,1,17,14.1,1996,gilliar01,https://www.basketball-reference.com/players/g/gilliar01/gamelog/1996
18,18,1995-12-15,31-201,NJN,@,DET,L (-7),1,38:00,9,14,.643,0,0,,0,0,,3,4,7,2,0,0,1,1,18,15.1,1996,gilliar01,https://www.basketball-reference.com/players/g/gilliar01/gamelog/1996
19,19,1995-12-18,31-204,NJN,,UTA,L (-7),1,42:00,6,10,.600,0,0,,6,6,1.000,5,6,11,0,2,0,2,5,18,16.7,1996,gilliar01,https://www.basketball-reference.com/players/g/gilliar01/gamelog/1996
20,20,1995-12-20,31-206,NJN,,MIA,L (-8),1,40:00,9,18,.500,0,0,,7,9,.778,3,4,7,2,2,1,2,4,25,19.0,1996,gilliar01,https://www.basketball-reference.com/players/g/gilliar01/gamelog/1996
21,21,1995-12-22,31-208,NJN,@,ATL,L (-3),1,35:00,11,14,.786,0,0,,1,2,.500,2,8,10,1,1,0,3,4,23,18.1,1996,gilliar01,https://www.basketball-reference.com/players/g/gilliar01/gamelog/1996
22,22,1995-12-23,31-209,NJN,@,PHI,W (+13),1,32:00,3,7,.429,0,0,,3,4,.750,1,10,11,4,1,2,3,3,9,9.6,1996,gilliar01,https://www.basketball-reference.com/players/g/gilliar01/gamelog/1996
23,23,1995-12-26,31-212,NJN,@,MIA,L (-3),1,37:00,10,19,.526,0,0,,9,10,.900,2,8,10,0,2,0,1,1,29,23.7,1996,gilliar01,https://www.basketball-reference.com/players/g/gilliar01/gamelog/1996
24,24,1995-12-28,31-214,NJN,@,HOU,L (-15),1,38:00,10,17,.588,0,0,,2,3,.667,1,3,4,3,1,0,0,1,22,18.0,1996,gilliar01,https://www.basketball-reference.com/players/g/gilliar01/gamelog/1996
25,25,1995-12-30,31-216,NJN,,GSW,L (-10),1,40:00,11,24,.458,0,0,,5,9,.556,5,5,10,3,1,0,4,3,27,15.9,1996,gilliar01,https://www.basketball-reference.com/players/g/gilliar01/gamelog/1996
26,26,1996-01-02,31-219,NJN,,MIL,W (+9),1,35:00,7,15,.467,0,0,,1,2,.500,6,8,14,1,0,1,3,4,15,10.3,1996,gilliar01,https://www.basketball-reference.com/players/g/gilliar01/gamelog/1996
27,27,1996-01-04,31-221,NJN,@,NYK,L (-12),1,28:00,9,14,.643,0,0,,1,3,.333,3,5,8,1,0,0,2,1,19,13.9,1996,gilliar01,https://www.basketball-reference.com/players/g/gilliar01/gamelog/1996
28,28,1996-01-05,31-222,NJN,,DAL,W (+8),1,42:00,11,19,.579,0,0,,4,4,1.000,1,10,11,2,0,1,0,1,26,22.5,1996,gilliar01,https://www.basketball-reference.com/players/g/gilliar01/gamelog/1996
29,29,1996-01-09,31-226,NJN,@,ORL,L (-8),1,43:00,12,18,.667,0,0,,2,2,1.000,3,10,13,2,2,0,4,2,26,21.9,1996,gilliar01,https://www.basketball-reference.com/players/g/gilliar01/gamelog/1996
30,30,1996-01-10,31-227,NJN,,NYK,W (+13),1,40:00,9,16,.563,0,0,,4,4,1.000,1,6,7,2,1,0,2,4,22,15.7,1996,gilliar01,https://www.basketball-reference.com/players/g/gilliar01/gamelog/1996
31,31,1996-01-12,31-229,NJN,,PHI,L (-27),1,32:00,6,16,.375,0,0,,6,6,1.000,5,2,7,0,0,1,2,3,18,10.8,1996,gilliar01,https://www.basketball-reference.com/players/g/gilliar01/gamelog/1996
32,32,1996-01-15,31-232,NJN,,TOR,W (+25),1,36:00,9,11,.818,0,0,,2,2,1.000,1,7,8,0,1,1,0,1,20,20.0,1996,gilliar01,https://www.basketball-reference.com/players/g/gilliar01/gamelog/1996
33,33,1996-01-17,31-234,NJN,@,CHH,W (+4),1,44:00,10,17,.588,0,0,,4,4,1.000,4,6,10,2,0,1,3,2,24,19.0,1996,gilliar01,https://www.basketball-reference.com/players/g/gilliar01/gamelog/1996
34,34,1996-01-19,31-236,NJN,@,WSB,L (-6),1,41:00,10,19,.526,0,0,,12,12,1.000,8,6,14,0,1,0,5,1,32,25.7,1996,gilliar01,https://www.basketball-reference.com/players/g/gilliar01/gamelog/1996
35,35,1996-01-20,31-237,NJN,,MIN,W (+6),1,41:00,11,22,.500,0,0,,1,1,1.000,5,7,12,3,0,3,1,4,23,19.2,1996,gilliar01,https://www.basketball-reference.com/players/g/gilliar01/gamelog/1996
36,36,1996-01-23,31-240,NJN,@,TOR,L (-7),1,43:00,5,15,.333,0,0,,4,4,1.000,3,7,10,3,0,0,5,2,14,6.0,1996,gilliar01,https://www.basketball-reference.com/players/g/gilliar01/gamelog/1996
37,37,1996-01-24,31-241,NJN,,HOU,L (-9),1,37:00,7,16,.438,0,0,,2,4,.500,6,6,12,2,0,0,5,1,16,8.8,1996,gilliar01,https://www.basketball-reference.com/players/g/gilliar01/gamelog/1996
38,38,1996-01-26,31-243,NJN,,CHH,W (+8),1,42:00,7,16,.438,0,0,,8,9,.889,2,9,11,3,1,2,3,3,22,17.6,1996,gilliar01,https://www.basketball-reference.com/players/g/gilliar01/gamelog/1996
39,39,1996-01-27,31-244,NJN,,LAL,L (-2),1,26:00,6,20,.300,0,0,,4,6,.667,5,7,12,1,0,0,0,2,16,9.1,1996,gilliar01,https://www.basketball-reference.com/players/g/gilliar01/gamelog/1996
40,40,1996-01-30,31-247,NJN,@,SEA,L (-9),1,35:00,9,16,.563,0,0,,2,3,.667,1,2,3,2,0,0,1,3,20,12.5,1996,gilliar01,https://www.basketball-reference.com/players/g/gilliar01/gamelog/1996
41,41,1996-02-02,31-250,NJN,@,VAN,W (+9),1,41:00,10,19,.526,0,0,,9,12,.750,1,8,9,3,0,1,1,4,29,21.8,1996,gilliar01,https://www.basketball-reference.com/players/g/gilliar01/gamelog/1996
42,42,1996-02-04,31-252,NJN,@,GSW,L (-4),1,43:00,12,24,.500,0,0,,0,3,.000,4,6,10,3,0,0,1,3,24,15.3,1996,gilliar01,https://www.basketball-reference.com/players/g/gilliar01/gamelog/1996
43,43,1996-02-07,31-255,NJN,@,LAL,L (-10),1,42:00,9,20,.450,0,0,,3,4,.750,0,10,10,3,1,1,2,3,21,13.8,1996,gilliar01,https://www.basketball-reference.com/players/g/gilliar01/gamelog/1996
44,44,1996-02-08,31-256,NJN,@,PHO,L (-5),1,41:00,8,17,.471,0,0,,3,4,.750,3,10,13,3,0,0,1,4,19,14.5,1996,gilliar01,https://www.basketball-reference.com/players/g/gilliar01/gamelog/1996
45,45,1996-02-13,31-261,NJN,@,IND,W (+9),1,43:00,12,22,.545,0,0,,7,9,.778,4,4,8,3,0,2,1,1,31,25.7,1996,gilliar01,https://www.basketball-reference.com/players/g/gilliar01/gamelog/1996
46,46,1996-02-14,31-262,NJN,,IND,W (+1),1,41:00,11,21,.524,0,0,,3,4,.750,3,7,10,3,1,1,3,2,25,18.5,1996,gilliar01,https://www.basketball-reference.com/players/g/gilliar01/gamelog/1996
47,47,1996-02-17,31-265,NJN,,NYK,W (+5),1,42:00,9,20,.450,0,0,,10,12,.833,4,7,11,1,0,1,2,1,28,20.7,1996,gilliar01,https://www.basketball-reference.com/players/g/gilliar01/gamelog/1996
