Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,session,player,gamelog_url
1,1,2004-11-03,27-098,SAS,,SAC,W (+16),1,28:11,7,12,.583,2,3,.667,8,9,.889,1,8,9,3,3,0,3,3,24,22.0,+17,2005,ginobma01,https://www.basketball-reference.com/players/g/ginobma01/gamelog/2005
2,2,2004-11-05,27-100,SAS,@,LAL,W (+9),1,34:14,8,18,.444,1,6,.167,1,2,.500,5,2,7,6,5,1,5,4,18,15.6,+3,2005,ginobma01,https://www.basketball-reference.com/players/g/ginobma01/gamelog/2005
3,3,2004-11-07,27-102,SAS,@,SEA,L (-19),1,26:58,7,12,.583,3,6,.500,4,6,.667,0,4,4,2,1,0,4,6,21,11.8,-3,2005,ginobma01,https://www.basketball-reference.com/players/g/ginobma01/gamelog/2005
4,4,2004-11-10,27-105,SAS,,GSW,W (+20),1,30:44,7,12,.583,1,1,1.000,7,8,.875,0,5,5,3,1,1,3,2,22,17.5,+18,2005,ginobma01,https://www.basketball-reference.com/players/g/ginobma01/gamelog/2005
5,5,2004-11-12,27-107,SAS,,MIA,W (+9),1,34:50,8,12,.667,5,6,.833,8,10,.800,2,5,7,7,6,1,4,2,29,32.7,+13,2005,ginobma01,https://www.basketball-reference.com/players/g/ginobma01/gamelog/2005
6,6,2004-11-13,27-108,SAS,@,ATL,W (+15),1,26:30,2,6,.333,0,2,.000,5,5,1.000,1,3,4,9,2,0,1,2,9,13.7,+22,2005,ginobma01,https://www.basketball-reference.com/players/g/ginobma01/gamelog/2005
7,7,2004-11-16,27-111,SAS,,NYK,W (+18),1,31:21,4,11,.364,1,4,.250,0,0,,0,4,4,5,1,0,1,1,9,7.2,+11,2005,ginobma01,https://www.basketball-reference.com/players/g/ginobma01/gamelog/2005
8,8,2004-11-18,27-113,SAS,@,PHI,W (+8),1,32:23,3,7,.429,2,4,.500,9,12,.750,1,3,4,9,2,1,3,3,17,18.5,+15,2005,ginobma01,https://www.basketball-reference.com/players/g/ginobma01/gamelog/2005
9,9,2004-11-19,27-114,SAS,@,BOS,W (+8),1,28:36,7,11,.636,4,5,.800,3,4,.750,1,3,4,1,0,0,3,1,21,14.6,+11,2005,ginobma01,https://www.basketball-reference.com/players/g/ginobma01/gamelog/2005
10,10,2004-11-21,27-116,SAS,@,TOR,L (-5),1,36:32,4,11,.364,0,3,.000,2,4,.500,0,2,2,3,0,1,2,1,10,4.1,-16,2005,ginobma01,https://www.basketball-reference.com/players/g/ginobma01/gamelog/2005
11,11,2004-11-22,27-117,SAS,@,MEM,L (-3),1,27:55,1,8,.125,0,0,,4,4,1.000,4,2,6,4,2,0,4,3,6,3.8,-2,2005,ginobma01,https://www.basketball-reference.com/players/g/ginobma01/gamelog/2005
12,12,2004-11-24,27-119,SAS,,DAL,W (+14),1,23:31,2,6,.333,0,2,.000,0,3,.000,3,5,8,6,3,1,1,4,4,8.3,+8,2005,ginobma01,https://www.basketball-reference.com/players/g/ginobma01/gamelog/2005
13,13,2004-11-26,27-121,SAS,@,DEN,W (+14),1,25:57,5,11,.455,2,5,.400,4,4,1.000,1,5,6,5,1,0,2,4,16,13.4,+18,2005,ginobma01,https://www.basketball-reference.com/players/g/ginobma01/gamelog/2005
14,14,2004-11-27,27-122,SAS,,UTA,W (+33),1,21:40,5,6,.833,0,1,.000,5,5,1.000,1,2,3,3,2,0,0,0,15,18.2,+23,2005,ginobma01,https://www.basketball-reference.com/players/g/ginobma01/gamelog/2005
15,15,2004-11-30,27-125,SAS,@,DAL,W (+18),1,26:38,2,7,.286,0,2,.000,7,9,.778,1,4,5,4,3,0,2,5,11,9.8,+21,2005,ginobma01,https://www.basketball-reference.com/players/g/ginobma01/gamelog/2005
16,16,2004-12-01,27-126,SAS,,PHI,W (+33),1,23:07,2,6,.333,0,3,.000,7,11,.636,2,1,3,4,0,0,2,2,11,7.7,+22,2005,ginobma01,https://www.basketball-reference.com/players/g/ginobma01/gamelog/2005
17,17,2004-12-03,27-128,SAS,,DET,W (+3),1,34:15,6,10,.600,2,5,.400,4,7,.571,0,4,4,4,1,1,6,4,18,10.3,+5,2005,ginobma01,https://www.basketball-reference.com/players/g/ginobma01/gamelog/2005
18,18,2004-12-04,27-129,SAS,@,MIL,W (+21),1,27:02,4,8,.500,1,3,.333,3,3,1.000,1,0,1,3,1,0,3,1,12,8.4,+13,2005,ginobma01,https://www.basketball-reference.com/players/g/ginobma01/gamelog/2005
19,19,2004-12-06,27-131,SAS,@,CHI,W (+16),1,27:13,3,8,.375,1,4,.250,5,5,1.000,0,5,5,5,2,0,5,2,12,8.8,+21,2005,ginobma01,https://www.basketball-reference.com/players/g/ginobma01/gamelog/2005
20,20,2004-12-08,27-133,SAS,,SEA,L (-6),1,32:49,4,14,.286,3,5,.600,7,7,1.000,3,1,4,1,2,0,2,4,18,11.3,-1,2005,ginobma01,https://www.basketball-reference.com/players/g/ginobma01/gamelog/2005
21,21,2004-12-09,27-134,SAS,@,HOU,L (-1),1,28:44,4,11,.364,3,6,.500,2,2,1.000,1,4,5,2,1,1,2,0,13,9.9,-1,2005,ginobma01,https://www.basketball-reference.com/players/g/ginobma01/gamelog/2005
22,22,2004-12-11,27-136,SAS,,CLE,W (+19),1,22:09,1,5,.200,0,0,,0,0,,0,3,3,4,1,0,3,1,2,0.2,+7,2005,ginobma01,https://www.basketball-reference.com/players/g/ginobma01/gamelog/2005
23,23,2004-12-15,27-140,SAS,,ORL,W (+3),1,33:31,7,13,.538,1,3,.333,2,2,1.000,0,4,4,4,1,0,3,2,17,11.9,+11,2005,ginobma01,https://www.basketball-reference.com/players/g/ginobma01/gamelog/2005
24,24,2004-12-17,27-142,SAS,@,NOH,W (+16),1,33:17,4,7,.571,0,2,.000,2,3,.667,1,4,5,5,1,1,1,0,10,12.4,+13,2005,ginobma01,https://www.basketball-reference.com/players/g/ginobma01/gamelog/2005
25,25,2004-12-18,27-143,SAS,,GSW,W (+19),1,31:33,8,14,.571,2,3,.667,3,5,.600,1,6,7,6,2,0,4,4,21,16.7,+27,2005,ginobma01,https://www.basketball-reference.com/players/g/ginobma01/gamelog/2005
26,26,2004-12-22,27-147,SAS,@,ORL,L (-6),1,32:27,4,13,.308,1,5,.200,5,7,.714,2,7,9,3,2,1,0,4,14,12.4,-5,2005,ginobma01,https://www.basketball-reference.com/players/g/ginobma01/gamelog/2005
27,27,2004-12-23,27-148,SAS,,MIN,W (+14),1,33:55,7,9,.778,4,6,.667,4,4,1.000,0,5,5,0,3,1,3,4,22,19.1,+16,2005,ginobma01,https://www.basketball-reference.com/players/g/ginobma01/gamelog/2005
28,28,2004-12-26,27-151,SAS,,BOS,W (+17),1,25:09,4,8,.500,0,2,.000,3,3,1.000,1,2,3,3,2,0,3,5,11,7.4,-11,2005,ginobma01,https://www.basketball-reference.com/players/g/ginobma01/gamelog/2005
29,29,2004-12-28,27-153,SAS,,PHO,W (+21),1,30:07,5,11,.455,1,4,.250,2,4,.500,2,4,6,6,3,0,2,3,13,13.1,+21,2005,ginobma01,https://www.basketball-reference.com/players/g/ginobma01/gamelog/2005
30,,2004-12-30,27-155,SAS,@,POR,W (+34),Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,2005,ginobma01,https://www.basketball-reference.com/players/g/ginobma01/gamelog/2005
31,30,2004-12-31,27-156,SAS,@,LAC,W (+19),1,25:39,4,7,.571,1,3,.333,0,0,,0,4,4,4,2,0,0,0,9,11.7,+31,2005,ginobma01,https://www.basketball-reference.com/players/g/ginobma01/gamelog/2005
32,31,2005-01-02,27-158,SAS,@,SAC,L (-5),1,34:32,7,16,.438,1,6,.167,3,4,.750,2,1,3,4,4,0,2,0,18,15.7,-8,2005,ginobma01,https://www.basketball-reference.com/players/g/ginobma01/gamelog/2005
33,32,2005-01-04,27-160,SAS,,LAL,W (+17),1,22:09,5,11,.455,1,3,.333,2,2,1.000,1,1,2,1,0,0,1,2,13,7.2,+18,2005,ginobma01,https://www.basketball-reference.com/players/g/ginobma01/gamelog/2005
34,33,2005-01-06,27-162,SAS,,IND,W (+13),1,29:11,4,10,.400,2,3,.667,8,11,.727,0,3,3,2,0,0,2,3,18,10.5,+11,2005,ginobma01,https://www.basketball-reference.com/players/g/ginobma01/gamelog/2005
35,34,2005-01-08,27-164,SAS,,DEN,W (+9),1,30:28,5,10,.500,1,3,.333,11,13,.846,0,3,3,4,2,0,3,4,22,17.3,+11,2005,ginobma01,https://www.basketball-reference.com/players/g/ginobma01/gamelog/2005
36,35,2005-01-10,27-166,SAS,@,UTA,L (-1),1,30:18,6,12,.500,1,2,.500,5,5,1.000,1,1,2,2,0,0,2,3,18,11.2,-1,2005,ginobma01,https://www.basketball-reference.com/players/g/ginobma01/gamelog/2005
37,36,2005-01-12,27-168,SAS,,MIL,W (+15),1,35:19,6,13,.462,1,4,.250,2,2,1.000,0,5,5,7,2,1,3,2,15,13.6,+23,2005,ginobma01,https://www.basketball-reference.com/players/g/ginobma01/gamelog/2005
38,37,2005-01-14,27-170,SAS,,DAL,W (+3),1,35:11,7,12,.583,3,5,.600,5,6,.833,1,4,5,3,2,1,1,2,22,20.9,+7,2005,ginobma01,https://www.basketball-reference.com/players/g/ginobma01/gamelog/2005
39,38,2005-01-15,27-171,SAS,@,HOU,L (-6),1,14:23,1,5,.200,0,1,.000,4,7,.571,1,2,3,1,3,0,0,2,6,5.9,+8,2005,ginobma01,https://www.basketball-reference.com/players/g/ginobma01/gamelog/2005
40,,2005-01-17,27-173,SAS,,WAS,W (+28),Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,2005,ginobma01,https://www.basketball-reference.com/players/g/ginobma01/gamelog/2005
41,39,2005-01-19,27-175,SAS,,LAC,W (+1),1,30:23,3,10,.300,0,6,.000,7,7,1.000,0,2,2,3,0,0,3,5,13,4.9,+8,2005,ginobma01,https://www.basketball-reference.com/players/g/ginobma01/gamelog/2005
42,40,2005-01-21,27-177,SAS,@,PHO,W (+5),1,43:52,16,22,.727,5,7,.714,11,12,.917,1,4,5,6,1,0,3,4,48,41.1,+16,2005,ginobma01,https://www.basketball-reference.com/players/g/ginobma01/gamelog/2005
43,41,2005-01-23,27-179,SAS,@,SAC,W (+30),1,29:51,4,8,.500,0,1,.000,2,2,1.000,0,4,4,2,1,1,1,1,10,8.9,+20,2005,ginobma01,https://www.basketball-reference.com/players/g/ginobma01/gamelog/2005
44,42,2005-01-24,27-180,SAS,@,POR,L (-8),1,34:17,3,8,.375,2,4,.500,4,4,1.000,0,4,4,3,2,1,1,4,12,11.0,-5,2005,ginobma01,https://www.basketball-reference.com/players/g/ginobma01/gamelog/2005
45,43,2005-01-27,27-183,SAS,,SAC,W (+10),1,35:42,9,15,.600,2,5,.400,5,6,.833,1,5,6,3,1,1,2,2,25,20.9,+17,2005,ginobma01,https://www.basketball-reference.com/players/g/ginobma01/gamelog/2005
46,44,2005-01-29,27-185,SAS,,NOH,W (+10),1,30:20,8,13,.615,1,3,.333,0,0,,2,2,4,2,3,0,3,2,17,13.7,+17,2005,ginobma01,https://www.basketball-reference.com/players/g/ginobma01/gamelog/2005
47,45,2005-01-31,27-187,SAS,@,SEA,W (+19),1,31:09,9,15,.600,2,3,.667,3,5,.600,2,0,2,7,2,1,0,3,23,23.1,+21,2005,ginobma01,https://www.basketball-reference.com/players/g/ginobma01/gamelog/2005
48,46,2005-02-03,27-190,SAS,@,LAL,W (+12),1,33:32,6,12,.500,1,3,.333,4,4,1.000,2,2,4,9,2,1,1,4,17,19.4,+17,2005,ginobma01,https://www.basketball-reference.com/players/g/ginobma01/gamelog/2005
49,47,2005-02-08,27-195,SAS,@,CHA,W (+19),1,24:41,4,11,.364,2,5,.400,2,2,1.000,3,4,7,2,1,1,1,1,12,10.9,+20,2005,ginobma01,https://www.basketball-reference.com/players/g/ginobma01/gamelog/2005
