Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,session,player,gamelog_url
1,1,1990-11-02,31-091,PHI,@,CHI,W (+8),1,27:00,2,6,.333,0,0,,0,0,,1,3,4,1,1,1,1,1,4,3.2,1991,gminsmi01,https://www.basketball-reference.com/players/g/gminsmi01/gamelog/1991
2,2,1990-11-03,31-092,PHI,,NJN,W (+2),1,38:00,7,15,.467,0,1,.000,5,5,1.000,4,4,8,4,3,3,2,3,19,20.0,1991,gminsmi01,https://www.basketball-reference.com/players/g/gminsmi01/gamelog/1991
3,3,1990-11-07,31-096,PHI,,DAL,L (-3),1,32:00,3,7,.429,0,0,,1,2,.500,2,7,9,1,1,4,2,1,7,8.5,1991,gminsmi01,https://www.basketball-reference.com/players/g/gminsmi01/gamelog/1991
4,4,1990-11-08,31-097,PHI,@,MIL,L (-30),1,40:00,2,9,.222,0,0,,7,9,.778,2,7,9,1,0,1,2,3,11,6.4,1991,gminsmi01,https://www.basketball-reference.com/players/g/gminsmi01/gamelog/1991
5,5,1990-11-10,31-099,PHI,@,CLE,L (-16),1,32:00,2,9,.222,0,0,,4,4,1.000,1,3,4,0,0,0,2,1,8,1.7,1991,gminsmi01,https://www.basketball-reference.com/players/g/gminsmi01/gamelog/1991
6,6,1990-11-13,31-102,PHI,@,IND,W (+8),1,30:00,4,12,.333,0,1,.000,0,0,,2,8,10,0,1,1,0,2,8,5.9,1991,gminsmi01,https://www.basketball-reference.com/players/g/gminsmi01/gamelog/1991
7,7,1990-11-14,31-103,PHI,,ATL,W (+8),1,29:00,5,11,.455,0,1,.000,6,7,.857,6,5,11,0,0,2,1,3,16,14.8,1991,gminsmi01,https://www.basketball-reference.com/players/g/gminsmi01/gamelog/1991
8,8,1990-11-16,31-105,PHI,,WSB,W (+13),1,35:00,5,16,.313,0,0,,1,2,.500,5,11,16,0,0,1,0,1,11,8.5,1991,gminsmi01,https://www.basketball-reference.com/players/g/gminsmi01/gamelog/1991
9,9,1990-11-17,31-106,PHI,@,NYK,L (-27),1,21:00,4,7,.571,0,0,,0,0,,1,2,3,0,0,0,2,1,8,3.6,1991,gminsmi01,https://www.basketball-reference.com/players/g/gminsmi01/gamelog/1991
10,10,1990-11-19,31-108,PHI,,CHH,W (+8),1,18:00,1,8,.125,0,0,,2,3,.667,3,4,7,1,0,3,3,0,4,1.5,1991,gminsmi01,https://www.basketball-reference.com/players/g/gminsmi01/gamelog/1991
11,11,1990-11-21,31-110,PHI,,SAC,W (+2),1,31:00,5,15,.333,0,0,,2,2,1.000,8,5,13,4,0,2,0,1,12,14.4,1991,gminsmi01,https://www.basketball-reference.com/players/g/gminsmi01/gamelog/1991
12,12,1990-11-23,31-112,PHI,,CLE,W (+6),1,28:00,4,11,.364,0,0,,0,0,,2,2,4,1,0,0,0,2,8,3.8,1991,gminsmi01,https://www.basketball-reference.com/players/g/gminsmi01/gamelog/1991
13,13,1990-11-24,31-113,PHI,@,ATL,W (+3),1,16:00,3,6,.500,0,0,,2,2,1.000,0,2,2,2,0,0,4,1,8,2.6,1991,gminsmi01,https://www.basketball-reference.com/players/g/gminsmi01/gamelog/1991
14,14,1990-11-27,31-116,PHI,@,NJN,L (-6),1,23:00,3,9,.333,0,0,,0,0,,1,5,6,0,3,0,0,1,6,5.7,1991,gminsmi01,https://www.basketball-reference.com/players/g/gminsmi01/gamelog/1991
15,15,1990-11-28,31-117,PHI,,IND,W (+10),1,29:00,6,10,.600,0,0,,4,4,1.000,3,3,6,2,1,2,1,2,16,16.4,1991,gminsmi01,https://www.basketball-reference.com/players/g/gminsmi01/gamelog/1991
16,16,1990-11-30,31-119,PHI,@,DET,L (-2),1,31:00,5,11,.455,0,0,,1,1,1.000,2,6,8,2,0,0,0,0,11,9.9,1991,gminsmi01,https://www.basketball-reference.com/players/g/gminsmi01/gamelog/1991
17,17,1990-12-01,31-120,PHI,,BOS,W (+6),1,25:00,2,5,.400,0,0,,0,0,,1,3,4,1,0,7,1,1,4,7.1,1991,gminsmi01,https://www.basketball-reference.com/players/g/gminsmi01/gamelog/1991
18,18,1990-12-04,31-123,PHI,,MIL,W (+1),1,24:00,3,13,.231,0,0,,2,2,1.000,3,4,7,0,0,1,0,1,8,3.7,1991,gminsmi01,https://www.basketball-reference.com/players/g/gminsmi01/gamelog/1991
19,19,1990-12-07,31-126,PHI,,DEN,W (+9),1,15:00,2,8,.250,0,0,,1,2,.500,1,3,4,2,1,0,1,0,5,2.8,1991,gminsmi01,https://www.basketball-reference.com/players/g/gminsmi01/gamelog/1991
20,20,1990-12-11,31-130,PHI,@,ORL,W (+5),1,17:00,2,5,.400,0,0,,2,2,1.000,1,5,6,0,0,0,0,1,6,5.1,1991,gminsmi01,https://www.basketball-reference.com/players/g/gminsmi01/gamelog/1991
21,21,1990-12-12,31-131,PHI,,HOU,L (-8),1,29:00,5,11,.455,1,1,1.000,3,4,.750,2,4,6,2,0,0,1,1,14,10.5,1991,gminsmi01,https://www.basketball-reference.com/players/g/gminsmi01/gamelog/1991
22,22,1990-12-14,31-133,PHI,,MIA,W (+3),1,28:00,4,12,.333,0,1,.000,5,6,.833,1,6,7,0,0,1,1,3,13,6.8,1991,gminsmi01,https://www.basketball-reference.com/players/g/gminsmi01/gamelog/1991
23,23,1990-12-18,31-137,PHI,,LAC,W (+11),0,20:00,5,9,.556,0,0,,0,0,,2,4,6,1,0,1,0,2,10,8.9,1991,gminsmi01,https://www.basketball-reference.com/players/g/gminsmi01/gamelog/1991
24,24,1990-12-19,31-138,PHI,@,BOS,L (-10),1,27:00,4,8,.500,0,1,.000,2,2,1.000,3,2,5,1,2,2,1,0,10,11.8,1991,gminsmi01,https://www.basketball-reference.com/players/g/gminsmi01/gamelog/1991
25,25,1990-12-21,31-140,PHI,@,MIA,W (+24),1,31:00,5,11,.455,0,1,.000,2,2,1.000,4,8,12,2,2,1,2,1,12,13.2,1991,gminsmi01,https://www.basketball-reference.com/players/g/gminsmi01/gamelog/1991
26,26,1990-12-22,31-141,PHI,,DET,W (+7),1,18:00,2,5,.400,0,0,,0,0,,1,2,3,2,0,0,0,2,4,3.2,1991,gminsmi01,https://www.basketball-reference.com/players/g/gminsmi01/gamelog/1991
