Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,session,player,gamelog_url
1,1,2016-10-25,24-121,UTA,@,POR,L (-9),1,40:57,4,7,.571,0,0,,4,4,1.000,4,10,14,2,0,2,3,3,12,13.1,+7,2017,goberru01,https://www.basketball-reference.com/players/g/goberru01/gamelog/2017
2,2,2016-10-28,24-124,UTA,,LAL,W (+7),1,31:52,4,9,.444,0,0,,5,8,.625,6,7,13,1,0,4,1,2,13,15.1,+11,2017,goberru01,https://www.basketball-reference.com/players/g/goberru01/gamelog/2017
3,3,2016-10-30,24-126,UTA,@,LAC,L (-13),1,26:07,3,4,.750,0,0,,2,2,1.000,2,7,9,3,0,2,4,3,8,8.2,-17,2017,goberru01,https://www.basketball-reference.com/players/g/goberru01/gamelog/2017
4,4,2016-11-01,24-128,UTA,@,SAS,W (+15),1,33:22,1,4,.250,0,0,,4,6,.667,2,10,12,1,0,0,2,4,6,4.3,+10,2017,goberru01,https://www.basketball-reference.com/players/g/goberru01/gamelog/2017
5,5,2016-11-02,24-129,UTA,,DAL,W (+16),1,22:50,3,5,.600,0,0,,6,14,.429,4,8,12,1,2,3,1,5,12,13.5,+22,2017,goberru01,https://www.basketball-reference.com/players/g/goberru01/gamelog/2017
6,6,2016-11-04,24-131,UTA,,SAS,L (-14),1,29:29,2,2,1.000,0,0,,1,4,.250,2,6,8,1,0,0,2,2,5,4.3,-12,2017,goberru01,https://www.basketball-reference.com/players/g/goberru01/gamelog/2017
7,7,2016-11-06,24-133,UTA,@,NYK,W (+5),1,33:23,5,6,.833,0,0,,3,4,.750,2,6,8,1,1,3,0,6,13,15.0,+11,2017,goberru01,https://www.basketball-reference.com/players/g/goberru01/gamelog/2017
8,8,2016-11-07,24-134,UTA,@,PHI,W (+25),1,20:10,3,4,.750,0,0,,2,5,.400,0,6,6,0,1,3,2,6,8,5.7,+20,2017,goberru01,https://www.basketball-reference.com/players/g/goberru01/gamelog/2017
9,9,2016-11-09,24-136,UTA,@,CHO,L (-6),1,30:17,2,4,.500,0,0,,3,4,.750,5,6,11,1,1,3,2,3,7,10.5,-6,2017,goberru01,https://www.basketball-reference.com/players/g/goberru01/gamelog/2017
10,10,2016-11-11,24-138,UTA,@,ORL,W (+13),1,34:20,6,9,.667,0,0,,1,2,.500,6,7,13,1,1,3,1,1,13,17.4,+21,2017,goberru01,https://www.basketball-reference.com/players/g/goberru01/gamelog/2017
11,11,2016-11-12,24-139,UTA,@,MIA,W (+11),1,33:04,3,6,.500,0,0,,6,8,.750,2,10,12,0,2,2,1,5,12,13.0,+22,2017,goberru01,https://www.basketball-reference.com/players/g/goberru01/gamelog/2017
12,12,2016-11-14,24-141,UTA,,MEM,L (-6),1,21:53,2,3,.667,0,0,,2,2,1.000,0,5,5,2,1,1,2,5,6,5.3,+10,2017,goberru01,https://www.basketball-reference.com/players/g/goberru01/gamelog/2017
13,13,2016-11-17,24-144,UTA,,CHI,L (-8),1,40:31,7,9,.778,0,0,,2,2,1.000,5,8,13,1,0,3,2,0,16,19.2,+2,2017,goberru01,https://www.basketball-reference.com/players/g/goberru01/gamelog/2017
14,14,2016-11-19,24-146,UTA,@,HOU,L (-9),1,35:21,5,7,.714,0,0,,2,3,.667,2,12,14,1,2,4,2,1,12,16.8,-7,2017,goberru01,https://www.basketball-reference.com/players/g/goberru01/gamelog/2017
15,15,2016-11-20,24-147,UTA,@,DEN,L (-14),1,26:08,3,7,.429,0,0,,0,0,,3,4,7,1,0,2,0,4,6,6.1,-20,2017,goberru01,https://www.basketball-reference.com/players/g/goberru01/gamelog/2017
