Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,session,player,gamelog_url
1,,2014-02-27,32-156,WAS,@,TOR,W (+5),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2014,goodedr01,https://www.basketball-reference.com/players/g/goodedr01/gamelog/2014
2,1,2014-03-01,32-158,WAS,@,PHI,W (+19),0,8:08,0,2,.000,0,0,,0,0,,3,3,6,0,0,0,1,4,0,-1.0,-9,2014,goodedr01,https://www.basketball-reference.com/players/g/goodedr01/gamelog/2014
3,2,2014-03-03,32-160,WAS,,MEM,L (-6),0,5:23,0,2,.000,0,0,,0,0,,1,0,1,0,0,0,1,2,0,-2.5,-2,2014,goodedr01,https://www.basketball-reference.com/players/g/goodedr01/gamelog/2014
4,3,2014-03-05,32-162,WAS,,UTA,W (+13),0,19:09,6,7,.857,0,0,,0,0,,0,3,3,2,1,0,1,2,12,11.0,+5,2014,goodedr01,https://www.basketball-reference.com/players/g/goodedr01/gamelog/2014
5,4,2014-03-08,32-165,WAS,@,MIL,W (+7),0,16:47,6,9,.667,1,2,.500,0,0,,3,2,5,1,1,2,1,1,13,13.5,+18,2014,goodedr01,https://www.basketball-reference.com/players/g/goodedr01/gamelog/2014
6,5,2014-03-10,32-167,WAS,@,MIA,L (-9),0,17:13,7,12,.583,1,2,.500,0,0,,2,1,3,0,0,0,0,0,15,11.1,-8,2014,goodedr01,https://www.basketball-reference.com/players/g/goodedr01/gamelog/2014
7,6,2014-03-12,32-169,WAS,,CHA,L (-13),0,17:52,2,5,.400,0,0,,0,0,,2,6,8,0,0,2,2,1,4,3.5,-7,2014,goodedr01,https://www.basketball-reference.com/players/g/goodedr01/gamelog/2014
8,7,2014-03-14,32-171,WAS,@,ORL,W (+4),0,6:33,0,3,.000,0,0,,0,0,,0,3,3,0,0,0,0,1,0,-1.6,-9,2014,goodedr01,https://www.basketball-reference.com/players/g/goodedr01/gamelog/2014
9,8,2014-03-15,32-172,WAS,,BRK,W (+7),0,26:05,8,11,.727,1,2,.500,4,4,1.000,1,8,9,1,0,1,0,5,21,19.0,+17,2014,goodedr01,https://www.basketball-reference.com/players/g/goodedr01/gamelog/2014
10,9,2014-03-18,32-175,WAS,@,SAC,L (-6),0,27:37,7,10,.700,2,2,1.000,2,2,1.000,2,4,6,2,2,0,2,2,18,17.0,-8,2014,goodedr01,https://www.basketball-reference.com/players/g/goodedr01/gamelog/2014
11,10,2014-03-20,32-177,WAS,@,POR,L (-13),0,26:28,6,13,.462,0,2,.000,6,6,1.000,5,4,9,1,1,0,1,3,18,15.5,-10,2014,goodedr01,https://www.basketball-reference.com/players/g/goodedr01/gamelog/2014
