Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,session,player,gamelog_url
1,1.0,2001-11-27,25-254,NJN,,CHI,W (+32),0,20:14,0,2,.000,0,0,,1,2,.500,1,0,1,4,0,2,1,3,1,1.9,+4,2002,goodrst01,https://www.basketball-reference.com/players/g/goodrst01/gamelog/2002
2,,2001-12-01,25-258,NJN,,BOS,L (-7),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2002,goodrst01,https://www.basketball-reference.com/players/g/goodrst01/gamelog/2002
3,2.0,2001-12-05,25-262,NJN,,PHO,W (+19),0,2:47,0,0,,0,0,,0,0,,0,0,0,1,0,0,0,0,0,0.7,-2,2002,goodrst01,https://www.basketball-reference.com/players/g/goodrst01/gamelog/2002
4,,2001-12-07,25-264,NJN,,CLE,W (+12),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2002,goodrst01,https://www.basketball-reference.com/players/g/goodrst01/gamelog/2002
5,3.0,2001-12-08,25-265,NJN,@,MIL,L (-16),0,7:40,1,1,1.000,0,0,,0,0,,0,2,2,0,0,0,0,1,2,1.9,+3,2002,goodrst01,https://www.basketball-reference.com/players/g/goodrst01/gamelog/2002
6,4.0,2001-12-11,25-268,NJN,@,CHI,W (+14),0,3:26,0,2,.000,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-1.8,0,2002,goodrst01,https://www.basketball-reference.com/players/g/goodrst01/gamelog/2002
7,,2001-12-14,25-271,NJN,@,MIA,W (+9),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2002,goodrst01,https://www.basketball-reference.com/players/g/goodrst01/gamelog/2002
8,5.0,2001-12-16,25-273,NJN,@,NYK,W (+18),0,0:50,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,+2,2002,goodrst01,https://www.basketball-reference.com/players/g/goodrst01/gamelog/2002
9,,2001-12-19,25-276,NJN,,MIN,W (+5),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2002,goodrst01,https://www.basketball-reference.com/players/g/goodrst01/gamelog/2002
10,,2001-12-21,25-278,NJN,@,IND,L (-6),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2002,goodrst01,https://www.basketball-reference.com/players/g/goodrst01/gamelog/2002
11,,2001-12-22,25-279,NJN,,UTA,L (-14),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2002,goodrst01,https://www.basketball-reference.com/players/g/goodrst01/gamelog/2002
12,,2001-12-26,25-283,NJN,@,CLE,W (+2),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2002,goodrst01,https://www.basketball-reference.com/players/g/goodrst01/gamelog/2002
13,6.0,2001-12-27,25-284,NJN,@,DET,W (+13),0,2:36,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-4,2002,goodrst01,https://www.basketball-reference.com/players/g/goodrst01/gamelog/2002
14,,2001-12-29,25-286,NJN,,IND,W (+5),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2002,goodrst01,https://www.basketball-reference.com/players/g/goodrst01/gamelog/2002
15,7.0,2001-12-31,25-288,NJN,@,WAS,L (-22),0,3:44,1,2,.500,0,0,,0,0,,0,1,1,0,0,0,0,1,2,0.9,-1,2002,goodrst01,https://www.basketball-reference.com/players/g/goodrst01/gamelog/2002
16,8.0,2002-01-02,25-290,NJN,,MEM,W (+18),0,4:32,0,2,.000,0,0,,0,0,,0,1,1,0,1,0,1,1,0,-1.5,-7,2002,goodrst01,https://www.basketball-reference.com/players/g/goodrst01/gamelog/2002
17,,2002-01-04,25-292,NJN,,ORL,L (-13),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2002,goodrst01,https://www.basketball-reference.com/players/g/goodrst01/gamelog/2002
18,9.0,2002-01-05,25-293,NJN,@,CHH,W (+9),0,3:37,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,1,3,0,-2.9,-4,2002,goodrst01,https://www.basketball-reference.com/players/g/goodrst01/gamelog/2002
