Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,FT,FTA,FT%,TRB,AST,PF,PTS,session,player,gamelog_url
1,1,1963-10-17,29-313,NYK,,BAL,L (-2),,,10,,,3,12,.250,,,4,23,1964,greenjo01,https://www.basketball-reference.com/players/g/greenjo01/gamelog/1964
2,2,1963-10-19,29-315,NYK,@,CIN,L (-24),,19:00,1,7,.143,2,4,.500,13,,2,4,1964,greenjo01,https://www.basketball-reference.com/players/g/greenjo01/gamelog/1964
3,3,1963-10-22,29-318,NYK,,LAL,L (-13),,,2,,,3,8,.375,,,3,7,1964,greenjo01,https://www.basketball-reference.com/players/g/greenjo01/gamelog/1964
4,4,1963-10-23,29-319,NYK,@,BAL,L (-9),,17:00,4,10,.400,5,8,.625,9,0,1,13,1964,greenjo01,https://www.basketball-reference.com/players/g/greenjo01/gamelog/1964
5,5,1963-10-25,29-321,NYK,@,PHI,W (+24),,,11,18,.611,3,7,.429,11,1,2,25,1964,greenjo01,https://www.basketball-reference.com/players/g/greenjo01/gamelog/1964
6,6,1963-10-26,29-322,NYK,,PHI,W (+8),,,8,14,.571,3,7,.429,15,2,1,19,1964,greenjo01,https://www.basketball-reference.com/players/g/greenjo01/gamelog/1964
7,7,1963-10-29,29-325,NYK,,STL,L (-6),,,6,,,6,13,.462,,,4,18,1964,greenjo01,https://www.basketball-reference.com/players/g/greenjo01/gamelog/1964
8,8,1963-10-30,29-326,NYK,@,STL,L (-17),,16:00,1,7,.143,3,3,1.000,5,2,2,5,1964,greenjo01,https://www.basketball-reference.com/players/g/greenjo01/gamelog/1964
9,9,1963-11-02,29-329,NYK,,BAL,W (+18),,,5,,,3,4,.750,11,,4,13,1964,greenjo01,https://www.basketball-reference.com/players/g/greenjo01/gamelog/1964
10,10,1963-11-06,29-333,NYK,@,LAL,L (-2),,,7,17,.412,7,9,.778,16,,1,21,1964,greenjo01,https://www.basketball-reference.com/players/g/greenjo01/gamelog/1964
11,11,1963-11-07,29-334,NYK,@,SFW,L (-22),,23:00,3,15,.200,3,6,.500,13,2,3,9,1964,greenjo01,https://www.basketball-reference.com/players/g/greenjo01/gamelog/1964
12,12,1963-11-09,29-336,NYK,@,SFW,W (+5),,27:00,5,12,.417,2,7,.286,13,4,4,12,1964,greenjo01,https://www.basketball-reference.com/players/g/greenjo01/gamelog/1964
13,13,1963-11-10,29-337,NYK,@,LAL,L (-25),,,10,21,.476,2,9,.222,13,,2,22,1964,greenjo01,https://www.basketball-reference.com/players/g/greenjo01/gamelog/1964
14,14,1963-11-13,29-340,NYK,,STL,W (+4),,42:00,6,19,.316,1,2,.500,17,1,1,13,1964,greenjo01,https://www.basketball-reference.com/players/g/greenjo01/gamelog/1964
15,15,1963-11-15,29-342,NYK,@,BOS,L (-17),,30:00,7,11,.636,0,1,.000,8,4,3,14,1964,greenjo01,https://www.basketball-reference.com/players/g/greenjo01/gamelog/1964
