Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,FT,FTA,FT%,TRB,AST,PF,PTS,session,player,gamelog_url
1,1,1969-10-16,22-208,PHO,,SDR,W (+2),,4:00,0,0,,0,0,,2,0,2,0,1970,greenla01,https://www.basketball-reference.com/players/g/greenla01/gamelog/1970
2,2,1969-10-24,22-216,PHO,,CHI,L (-1),,5:00,0,1,.000,0,0,,3,0,0,0,1970,greenla01,https://www.basketball-reference.com/players/g/greenla01/gamelog/1970
3,3,1969-10-25,22-217,PHO,@,SDR,W (+8),,9:00,2,4,.500,0,0,,2,0,2,4,1970,greenla01,https://www.basketball-reference.com/players/g/greenla01/gamelog/1970
4,4,1969-10-26,22-218,PHO,,MIL,L (-20),,12:00,2,4,.500,2,3,.667,5,1,0,6,1970,greenla01,https://www.basketball-reference.com/players/g/greenla01/gamelog/1970
5,5,1969-10-30,22-222,PHO,,CIN,W (+2),,5:00,0,0,,1,2,.500,0,0,4,1,1970,greenla01,https://www.basketball-reference.com/players/g/greenla01/gamelog/1970
6,6,1969-11-09,22-232,PHO,,DET,W (+11),,3:00,1,3,.333,0,0,,3,0,2,2,1970,greenla01,https://www.basketball-reference.com/players/g/greenla01/gamelog/1970
7,7,1969-11-15,22-238,PHO,,LAL,W (+3),,23:00,5,9,.556,1,6,.167,14,1,3,11,1970,greenla01,https://www.basketball-reference.com/players/g/greenla01/gamelog/1970
8,8,1969-11-16,22-239,PHO,,ATL,W (+21),,16:00,4,5,.800,4,9,.444,4,3,4,12,1970,greenla01,https://www.basketball-reference.com/players/g/greenla01/gamelog/1970
9,9,1969-11-18,22-241,PHO,,BOS,L (-1),,10:00,2,5,.400,0,0,,3,0,1,4,1970,greenla01,https://www.basketball-reference.com/players/g/greenla01/gamelog/1970
10,10,1969-11-19,22-242,PHO,,BAL,L (-15),,27:00,6,15,.400,0,0,,16,2,2,12,1970,greenla01,https://www.basketball-reference.com/players/g/greenla01/gamelog/1970
11,11,1969-11-21,22-244,PHO,@,BAL,L (-10),,8:00,2,4,.500,3,4,.750,2,0,2,7,1970,greenla01,https://www.basketball-reference.com/players/g/greenla01/gamelog/1970
12,12,1969-11-23,22-246,PHO,@,CIN,L (-14),,13:00,2,3,.667,2,2,1.000,4,0,1,6,1970,greenla01,https://www.basketball-reference.com/players/g/greenla01/gamelog/1970
13,13,1969-11-25,22-248,PHO,,BAL,L (-10),,12:00,4,6,.667,0,0,,9,1,1,8,1970,greenla01,https://www.basketball-reference.com/players/g/greenla01/gamelog/1970
14,14,1969-11-29,22-252,PHO,@,SEA,L (-1),,3:00,0,0,,0,0,,0,0,1,0,1970,greenla01,https://www.basketball-reference.com/players/g/greenla01/gamelog/1970
15,15,1969-11-30,22-253,PHO,,SEA,W (+8),,7:00,0,1,.000,1,2,.500,2,0,1,1,1970,greenla01,https://www.basketball-reference.com/players/g/greenla01/gamelog/1970
16,16,1969-12-04,22-257,PHO,,LAL,W (+10),,5:00,0,2,.000,0,0,,1,0,1,0,1970,greenla01,https://www.basketball-reference.com/players/g/greenla01/gamelog/1970
17,17,1969-12-10,22-263,PHO,@,BAL,W (+30),,7:00,4,4,1.000,2,2,1.000,6,0,2,10,1970,greenla01,https://www.basketball-reference.com/players/g/greenla01/gamelog/1970
18,18,1969-12-12,22-265,PHO,@,SEA,W (+14),,17:00,5,10,.500,1,2,.500,7,0,1,11,1970,greenla01,https://www.basketball-reference.com/players/g/greenla01/gamelog/1970
19,19,1969-12-13,22-266,PHO,,CIN,W (+16),,17:00,3,8,.375,3,4,.750,11,0,4,9,1970,greenla01,https://www.basketball-reference.com/players/g/greenla01/gamelog/1970
