Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,FT,FTA,FT%,TRB,AST,PF,PTS,session,player,gamelog_url
1,1,1971-10-15,29-137,LAL,@,DET,W (+29),,28:00,4,10,.400,0,0,,9,2,2,8,1972,hairsha01,https://www.basketball-reference.com/players/h/hairsha01/gamelog/1972
2,2,1971-10-16,29-138,LAL,@,NYK,W (+15),,36:00,1,9,.111,6,6,1.000,13,1,3,8,1972,hairsha01,https://www.basketball-reference.com/players/h/hairsha01/gamelog/1972
3,3,1971-10-22,29-144,LAL,,CHI,L (-7),0,26:00,0,7,.000,6,6,1.000,8,6,2,6,1972,hairsha01,https://www.basketball-reference.com/players/h/hairsha01/gamelog/1972
4,4,1971-10-24,29-146,LAL,@,HOU,W (+10),1,29:00,4,10,.400,3,3,1.000,13,1,4,11,1972,hairsha01,https://www.basketball-reference.com/players/h/hairsha01/gamelog/1972
5,5,1971-10-29,29-151,LAL,,CIN,W (+12),,39:00,3,9,.333,7,9,.778,18,2,3,13,1972,hairsha01,https://www.basketball-reference.com/players/h/hairsha01/gamelog/1972
6,6,1971-10-30,29-152,LAL,@,SEA,L (-9),1,40:00,7,14,.500,13,16,.813,13,4,5,27,1972,hairsha01,https://www.basketball-reference.com/players/h/hairsha01/gamelog/1972
7,7,1971-10-31,29-153,LAL,,GSW,L (-4),1,37:00,5,11,.455,3,3,1.000,7,4,4,13,1972,hairsha01,https://www.basketball-reference.com/players/h/hairsha01/gamelog/1972
8,8,1971-11-05,29-158,LAL,,BAL,W (+4),1,36:00,5,13,.385,0,3,.000,10,4,2,10,1972,hairsha01,https://www.basketball-reference.com/players/h/hairsha01/gamelog/1972
9,9,1971-11-06,29-159,LAL,@,GSW,W (+16),1,25:00,2,7,.286,2,5,.400,6,1,3,6,1972,hairsha01,https://www.basketball-reference.com/players/h/hairsha01/gamelog/1972
10,10,1971-11-07,29-160,LAL,,NYK,W (+7),,19:00,1,4,.250,2,2,1.000,4,0,3,4,1972,hairsha01,https://www.basketball-reference.com/players/h/hairsha01/gamelog/1972
11,11,1971-11-09,29-162,LAL,@,CHI,W (+13),1,37:00,7,10,.700,5,6,.833,6,0,2,19,1972,hairsha01,https://www.basketball-reference.com/players/h/hairsha01/gamelog/1972
12,12,1971-11-10,29-163,LAL,@,PHI,W (+40),1,36:00,8,16,.500,5,6,.833,11,3,4,21,1972,hairsha01,https://www.basketball-reference.com/players/h/hairsha01/gamelog/1972
13,13,1971-11-12,29-165,LAL,,SEA,W (+8),,24:00,2,11,.182,6,7,.857,4,2,4,10,1972,hairsha01,https://www.basketball-reference.com/players/h/hairsha01/gamelog/1972
14,14,1971-11-13,29-166,LAL,@,POR,W (+22),1,35:00,8,11,.727,5,6,.833,10,2,4,21,1972,hairsha01,https://www.basketball-reference.com/players/h/hairsha01/gamelog/1972
15,15,1971-11-14,29-167,LAL,,BOS,W (+13),1,31:00,7,12,.583,8,9,.889,8,1,5,22,1972,hairsha01,https://www.basketball-reference.com/players/h/hairsha01/gamelog/1972
16,16,1971-11-16,29-169,LAL,,CLE,W (+18),,30:00,5,10,.500,4,4,1.000,7,1,4,14,1972,hairsha01,https://www.basketball-reference.com/players/h/hairsha01/gamelog/1972
17,17,1971-11-19,29-172,LAL,,HOU,W (+7),,37:00,8,18,.444,2,2,1.000,22,3,2,18,1972,hairsha01,https://www.basketball-reference.com/players/h/hairsha01/gamelog/1972
18,18,1971-11-21,29-174,LAL,,MIL,W (+7),1,27:00,4,5,.800,1,2,.500,10,3,3,9,1972,hairsha01,https://www.basketball-reference.com/players/h/hairsha01/gamelog/1972
19,19,1971-11-25,29-178,LAL,@,SEA,W (+24),1,35:00,6,15,.400,2,2,1.000,11,2,1,14,1972,hairsha01,https://www.basketball-reference.com/players/h/hairsha01/gamelog/1972
20,20,1971-11-26,29-179,LAL,,DET,W (+19),,33:00,4,8,.500,2,3,.667,14,3,2,10,1972,hairsha01,https://www.basketball-reference.com/players/h/hairsha01/gamelog/1972
21,21,1971-11-28,29-181,LAL,,SEA,W (+17),1,32:00,5,7,.714,8,9,.889,7,2,4,18,1972,hairsha01,https://www.basketball-reference.com/players/h/hairsha01/gamelog/1972
22,22,1971-12-01,29-184,LAL,@,BOS,W (+13),,36:00,8,15,.533,3,4,.750,17,3,5,19,1972,hairsha01,https://www.basketball-reference.com/players/h/hairsha01/gamelog/1972
23,23,1971-12-03,29-186,LAL,@,PHI,W (+15),,26:00,1,6,.167,3,4,.750,4,2,4,5,1972,hairsha01,https://www.basketball-reference.com/players/h/hairsha01/gamelog/1972
24,24,1971-12-05,29-188,LAL,,POR,W (+16),1,35:00,9,18,.500,2,2,1.000,5,3,0,20,1972,hairsha01,https://www.basketball-reference.com/players/h/hairsha01/gamelog/1972
