Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,session,player,gamelog_url
1,,2007-11-01,29-260,DET,@,MIA,W (+11),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2008,hamilri01,https://www.basketball-reference.com/players/h/hamilri01/gamelog/2008
2,,2007-11-02,29-261,DET,@,ORL,W (+24),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2008,hamilri01,https://www.basketball-reference.com/players/h/hamilri01/gamelog/2008
3,1,2007-11-04,29-263,DET,,ATL,W (+1),1,33:56,10,15,.667,0,0,,1,1,1.000,3,1,4,5,1,0,2,6,21,17.0,+13,2008,hamilri01,https://www.basketball-reference.com/players/h/hamilri01/gamelog/2008
4,2,2007-11-08,29-267,DET,@,CHI,L (-4),1,35:44,6,17,.353,1,3,.333,5,5,1.000,4,0,4,6,2,0,2,4,18,13.9,0,2008,hamilri01,https://www.basketball-reference.com/players/h/hamilri01/gamelog/2008
5,3,2007-11-09,29-268,DET,,LAC,W (+24),1,30:38,5,10,.500,0,2,.000,0,1,.000,0,6,6,10,2,0,0,0,10,15.4,+35,2008,hamilri01,https://www.basketball-reference.com/players/h/hamilri01/gamelog/2008
6,4,2007-11-11,29-270,DET,@,SEA,W (+4),1,41:03,11,21,.524,3,6,.500,7,9,.778,2,2,4,5,4,0,1,3,32,28.2,+4,2008,hamilri01,https://www.basketball-reference.com/players/h/hamilri01/gamelog/2008
7,5,2007-11-13,29-272,DET,@,POR,L (-8),1,39:56,5,20,.250,1,2,.500,3,4,.750,5,2,7,3,1,0,2,4,14,5.2,-7,2008,hamilri01,https://www.basketball-reference.com/players/h/hamilri01/gamelog/2008
8,6,2007-11-14,29-273,DET,@,GSW,W (+7),1,38:13,9,20,.450,0,1,.000,4,5,.800,3,2,5,4,0,1,3,2,22,13.6,+5,2008,hamilri01,https://www.basketball-reference.com/players/h/hamilri01/gamelog/2008
9,7,2007-11-16,29-275,DET,@,LAL,L (-12),1,35:22,6,13,.462,1,2,.500,3,4,.750,1,2,3,4,2,0,5,5,16,8.0,-12,2008,hamilri01,https://www.basketball-reference.com/players/h/hamilri01/gamelog/2008
10,8,2007-11-18,29-277,DET,@,SAC,L (-10),1,33:45,5,13,.385,0,1,.000,6,9,.667,1,2,3,3,0,0,1,3,16,8.9,-15,2008,hamilri01,https://www.basketball-reference.com/players/h/hamilri01/gamelog/2008
11,9,2007-11-21,29-280,DET,,NYK,W (+12),1,29:19,5,11,.455,1,2,.500,1,2,.500,1,2,3,8,0,0,6,1,12,6.4,+13,2008,hamilri01,https://www.basketball-reference.com/players/h/hamilri01/gamelog/2008
12,10,2007-11-23,29-282,DET,,PHI,W (+5),1,29:02,4,16,.250,0,3,.000,3,3,1.000,0,0,0,0,2,1,1,2,11,2.3,-5,2008,hamilri01,https://www.basketball-reference.com/players/h/hamilri01/gamelog/2008
13,11,2007-11-25,29-284,DET,,UTA,L (-10),1,37:46,6,16,.375,2,2,1.000,3,5,.600,2,2,4,7,0,0,2,2,17,11.5,-9,2008,hamilri01,https://www.basketball-reference.com/players/h/hamilri01/gamelog/2008
14,12,2007-11-28,29-287,DET,,CLE,W (+35),1,31:33,8,14,.571,0,0,,2,2,1.000,2,0,2,6,2,0,2,1,18,16.6,+18,2008,hamilri01,https://www.basketball-reference.com/players/h/hamilri01/gamelog/2008
