Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,session,player,gamelog_url
1,,2015-10-28,29-359,CHO,@,MIA,L (-10),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2016,hansbty01,https://www.basketball-reference.com/players/h/hansbty01/gamelog/2016
2,,2015-10-30,29-361,CHO,@,ATL,L (-3),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2016,hansbty01,https://www.basketball-reference.com/players/h/hansbty01/gamelog/2016
3,,2015-11-01,29-363,CHO,,ATL,L (-2),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2016,hansbty01,https://www.basketball-reference.com/players/h/hansbty01/gamelog/2016
4,1,2015-11-03,30-000,CHO,,CHI,W (+25),0,7:08,1,4,.250,0,0,,4,4,1.000,3,0,3,0,0,0,1,1,6,4.3,-2,2016,hansbty01,https://www.basketball-reference.com/players/h/hansbty01/gamelog/2016
5,2,2015-11-05,30-002,CHO,@,DAL,W (+14),0,2:48,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-1.1,-4,2016,hansbty01,https://www.basketball-reference.com/players/h/hansbty01/gamelog/2016
6,3,2015-11-07,30-004,CHO,@,SAS,L (-20),0,3:51,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,+4,2016,hansbty01,https://www.basketball-reference.com/players/h/hansbty01/gamelog/2016
7,,2015-11-10,30-007,CHO,@,MIN,W (+9),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2016,hansbty01,https://www.basketball-reference.com/players/h/hansbty01/gamelog/2016
8,,2015-11-11,30-008,CHO,,NYK,W (+2),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2016,hansbty01,https://www.basketball-reference.com/players/h/hansbty01/gamelog/2016
9,,2015-11-13,30-010,CHO,@,CHI,L (-5),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2016,hansbty01,https://www.basketball-reference.com/players/h/hansbty01/gamelog/2016
10,,2015-11-15,30-012,CHO,,POR,W (+12),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2016,hansbty01,https://www.basketball-reference.com/players/h/hansbty01/gamelog/2016
