Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,session,player,gamelog_url
1,1,1999-02-05,27-202,ORL,,NYK,W (+8),1,40:26,4,14,.286,0,2,.000,4,5,.800,2,7,9,2,1,0,3,3,12,5.1,-4,1999,hardaan01,https://www.basketball-reference.com/players/h/hardaan01/gamelog/1999
2,2,1999-02-06,27-203,ORL,@,PHI,L (-20),1,32:12,9,14,.643,0,0,,6,10,.600,5,4,9,1,0,0,3,3,24,17.4,-12,1999,hardaan01,https://www.basketball-reference.com/players/h/hardaan01/gamelog/1999
3,3,1999-02-08,27-205,ORL,,BOS,W (+17),1,39:43,8,19,.421,0,2,.000,12,14,.857,2,6,8,6,2,1,2,1,28,24.8,+11,1999,hardaan01,https://www.basketball-reference.com/players/h/hardaan01/gamelog/1999
4,4,1999-02-10,27-207,ORL,@,NJN,W (+8),1,40:59,6,20,.300,0,3,.000,9,12,.750,2,6,8,6,7,1,3,3,21,19.1,+5,1999,hardaan01,https://www.basketball-reference.com/players/h/hardaan01/gamelog/1999
5,5,1999-02-11,27-208,ORL,@,DET,W (+6),1,40:18,9,21,.429,1,3,.333,3,5,.600,2,3,5,4,0,0,3,5,22,10.2,+2,1999,hardaan01,https://www.basketball-reference.com/players/h/hardaan01/gamelog/1999
6,6,1999-02-14,27-211,ORL,,MIL,W (+3),1,41:23,8,20,.400,0,4,.000,2,3,.667,1,9,10,6,2,0,1,3,18,14.2,+10,1999,hardaan01,https://www.basketball-reference.com/players/h/hardaan01/gamelog/1999
7,7,1999-02-16,27-213,ORL,@,CLE,L (-12),1,32:52,4,15,.267,2,4,.500,0,1,.000,2,1,3,4,2,0,3,3,10,3.0,-5,1999,hardaan01,https://www.basketball-reference.com/players/h/hardaan01/gamelog/1999
8,8,1999-02-17,27-214,ORL,,WAS,W (+11),1,30:32,2,11,.182,0,4,.000,0,1,.000,0,1,1,4,1,0,3,2,4,-3.0,+8,1999,hardaan01,https://www.basketball-reference.com/players/h/hardaan01/gamelog/1999
9,9,1999-02-19,27-216,ORL,@,ATL,W (+5),1,42:24,7,12,.583,0,2,.000,1,2,.500,0,4,4,4,3,2,1,2,15,15.6,-6,1999,hardaan01,https://www.basketball-reference.com/players/h/hardaan01/gamelog/1999
10,10,1999-02-21,27-218,ORL,,HOU,W (+26),1,32:18,7,13,.538,0,0,,2,3,.667,2,2,4,11,4,0,3,2,16,19.2,+24,1999,hardaan01,https://www.basketball-reference.com/players/h/hardaan01/gamelog/1999
