Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,PF,PTS,session,player,gamelog_url
1,1,1976-10-21,26-148,ATL,,HOU,L (-16),1,31:00,6,12,.500,1,1,1.000,,,5,2,,0,4,13,1977,hawesst01,https://www.basketball-reference.com/players/h/hawesst01/gamelog/1977
2,2,1976-10-24,26-151,ATL,,MIL,W (+24),1,37:00,9,14,.643,1,2,.500,,,12,1,,,4,19,1977,hawesst01,https://www.basketball-reference.com/players/h/hawesst01/gamelog/1977
3,3,1976-10-26,26-153,ATL,,SAS,W (+8),1,38:00,4,13,.308,5,6,.833,,,8,3,0,0,5,13,1977,hawesst01,https://www.basketball-reference.com/players/h/hawesst01/gamelog/1977
4,4,1976-10-29,26-156,ATL,@,LAL,L (-17),1,31:00,6,14,.429,3,5,.600,,,18,2,,,2,15,1977,hawesst01,https://www.basketball-reference.com/players/h/hawesst01/gamelog/1977
5,5,1976-10-30,26-157,ATL,@,GSW,L (-8),1,31:00,5,11,.455,7,9,.778,2,4,6,1,2,0,3,17,1977,hawesst01,https://www.basketball-reference.com/players/h/hawesst01/gamelog/1977
6,6,1976-10-31,26-158,ATL,@,SEA,L (-14),1,15:00,1,5,.200,0,0,,,,2,0,,,3,2,1977,hawesst01,https://www.basketball-reference.com/players/h/hawesst01/gamelog/1977
7,7,1977-01-12,26-231,ATL,@,BUF,W (+6),0,5:00,0,1,.000,0,0,,,,1,0,,,2,0,1977,hawesst01,https://www.basketball-reference.com/players/h/hawesst01/gamelog/1977
8,8,1977-01-14,26-233,ATL,@,NYN,W (+19),0,3:00,0,0,,0,0,,0,0,0,0,,,0,0,1977,hawesst01,https://www.basketball-reference.com/players/h/hawesst01/gamelog/1977
9,9,1977-01-15,26-234,ATL,,KCK,L (-25),0,9:00,1,4,.250,0,0,,,,1,0,0,0,2,2,1977,hawesst01,https://www.basketball-reference.com/players/h/hawesst01/gamelog/1977
10,10,1977-01-16,26-235,ATL,,POR,W (+5),0,1:00,0,0,,2,2,1.000,0,0,0,0,0,0,0,2,1977,hawesst01,https://www.basketball-reference.com/players/h/hawesst01/gamelog/1977
11,11,1977-01-19,26-238,ATL,@,PHI,L (-20),0,6:00,0,4,.000,0,0,,,,1,2,,,1,0,1977,hawesst01,https://www.basketball-reference.com/players/h/hawesst01/gamelog/1977
12,12,1977-01-23,26-242,ATL,,GSW,L (-7),0,5:00,0,0,,0,0,,1,1,2,0,0,1,0,0,1977,hawesst01,https://www.basketball-reference.com/players/h/hawesst01/gamelog/1977
