Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,session,player,gamelog_url
1,1,1989-11-04,23-036,PHI,,MIL,L (-6),1,34:00,5,11,.455,2,3,.667,3,4,.750,1,1,2,2,1,0,6,5,15,4.3,1990,hawkihe01,https://www.basketball-reference.com/players/h/hawkihe01/gamelog/1990
2,2,1989-11-08,23-040,PHI,,MIA,W (+24),1,35:00,5,10,.500,1,2,.500,2,4,.500,1,4,5,3,2,1,2,1,13,11.5,1990,hawkihe01,https://www.basketball-reference.com/players/h/hawkihe01/gamelog/1990
3,3,1989-11-10,23-042,PHI,@,MIN,L (-7),1,38:00,9,18,.500,2,4,.500,6,6,1.000,1,1,2,3,3,0,4,6,26,16.7,1990,hawkihe01,https://www.basketball-reference.com/players/h/hawkihe01/gamelog/1990
4,4,1989-11-11,23-043,PHI,@,MIL,W (+8),1,36:00,7,12,.583,2,4,.500,4,4,1.000,0,3,3,2,2,0,2,4,20,15.1,1990,hawkihe01,https://www.basketball-reference.com/players/h/hawkihe01/gamelog/1990
5,5,1989-11-14,23-046,PHI,@,BOS,L (-2),1,32:00,6,12,.500,1,2,.500,4,4,1.000,0,0,0,3,2,0,2,5,17,11.1,1990,hawkihe01,https://www.basketball-reference.com/players/h/hawkihe01/gamelog/1990
6,6,1989-11-15,23-047,PHI,,CHH,W (+13),1,30:00,4,13,.308,1,3,.333,2,2,1.000,1,5,6,3,2,0,2,4,11,6.2,1990,hawkihe01,https://www.basketball-reference.com/players/h/hawkihe01/gamelog/1990
7,7,1989-11-17,23-049,PHI,,SAS,W (+7),1,33:00,4,15,.267,1,3,.333,0,0,,2,5,7,5,2,0,1,1,9,7.1,1990,hawkihe01,https://www.basketball-reference.com/players/h/hawkihe01/gamelog/1990
8,8,1989-11-18,23-050,PHI,@,ORL,L (-13),1,33:00,4,12,.333,0,1,.000,3,4,.750,1,5,6,0,0,2,3,4,11,2.8,1990,hawkihe01,https://www.basketball-reference.com/players/h/hawkihe01/gamelog/1990
9,9,1989-11-22,23-054,PHI,@,MIA,W (+10),1,37:00,7,14,.500,0,0,,6,7,.857,0,7,7,4,3,0,1,3,20,18.3,1990,hawkihe01,https://www.basketball-reference.com/players/h/hawkihe01/gamelog/1990
10,10,1989-11-24,23-056,PHI,,WSB,W (+13),1,31:00,10,17,.588,2,2,1.000,2,2,1.000,2,1,3,2,1,0,1,4,24,17.6,1990,hawkihe01,https://www.basketball-reference.com/players/h/hawkihe01/gamelog/1990
11,11,1989-11-25,23-057,PHI,@,IND,W (+8),1,38:00,10,17,.588,2,4,.500,2,2,1.000,2,2,4,1,2,0,1,3,24,18.6,1990,hawkihe01,https://www.basketball-reference.com/players/h/hawkihe01/gamelog/1990
12,12,1989-11-29,23-061,PHI,,CLE,W (+30),1,32:00,13,14,.929,1,1,1.000,1,3,.333,1,2,3,6,2,0,0,2,28,29.3,1990,hawkihe01,https://www.basketball-reference.com/players/h/hawkihe01/gamelog/1990
13,13,1989-12-01,23-063,PHI,@,WSB,L (-17),1,37:00,5,16,.313,1,4,.250,2,2,1.000,1,2,3,4,2,0,3,4,13,5.3,1990,hawkihe01,https://www.basketball-reference.com/players/h/hawkihe01/gamelog/1990
14,14,1989-12-02,23-064,PHI,@,ATL,L (-8),1,39:00,8,18,.444,2,4,.500,6,6,1.000,1,1,2,3,4,0,1,0,24,20.7,1990,hawkihe01,https://www.basketball-reference.com/players/h/hawkihe01/gamelog/1990
15,15,1989-12-05,23-067,PHI,@,NYK,L (-7),1,39:00,5,11,.455,0,2,.000,5,6,.833,3,1,4,4,1,1,2,2,15,13.0,1990,hawkihe01,https://www.basketball-reference.com/players/h/hawkihe01/gamelog/1990
16,16,1989-12-06,23-068,PHI,,MIA,W (+23),1,40:00,7,16,.438,0,1,.000,10,11,.909,2,6,8,5,2,0,3,1,24,20.5,1990,hawkihe01,https://www.basketball-reference.com/players/h/hawkihe01/gamelog/1990
