Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,FT,FTA,FT%,TRB,AST,PF,PTS,session,player,gamelog_url
1,1,1972-10-10,26-328,BAL,@,CLE,W (+12),1,41:00,5,18,.278,8,10,.800,23,1,6,18,1973,hayesel01,https://www.basketball-reference.com/players/h/hayesel01/gamelog/1973
2,2,1972-10-13,26-331,BAL,,ATL,W (+17),,37:00,9,18,.500,0,0,,12,4,2,18,1973,hayesel01,https://www.basketball-reference.com/players/h/hayesel01/gamelog/1973
3,3,1972-10-15,26-333,BAL,@,PHO,L (-9),1,40:00,3,13,.231,6,6,1.000,12,3,1,12,1973,hayesel01,https://www.basketball-reference.com/players/h/hayesel01/gamelog/1973
4,4,1972-10-16,26-334,BAL,@,GSW,L (-1),1,38:00,8,21,.381,1,1,1.000,11,1,4,17,1973,hayesel01,https://www.basketball-reference.com/players/h/hayesel01/gamelog/1973
5,5,1972-10-19,26-337,BAL,@,KCO,W (+11),,,9,14,.643,5,6,.833,10,1,3,23,1973,hayesel01,https://www.basketball-reference.com/players/h/hayesel01/gamelog/1973
6,6,1972-10-21,26-339,BAL,,BOS,L (-3),,,9,22,.409,3,4,.750,19,,2,21,1973,hayesel01,https://www.basketball-reference.com/players/h/hayesel01/gamelog/1973
7,7,1972-10-25,26-343,BAL,@,DET,W (+10),,39:00,3,15,.200,1,2,.500,14,2,4,7,1973,hayesel01,https://www.basketball-reference.com/players/h/hayesel01/gamelog/1973
8,8,1972-10-27,26-345,BAL,,NYK,L (-4),,27:00,2,9,.222,1,2,.500,10,3,1,5,1973,hayesel01,https://www.basketball-reference.com/players/h/hayesel01/gamelog/1973
9,9,1972-10-28,26-346,BAL,@,NYK,L (-4),,45:00,7,17,.412,4,6,.667,12,0,0,18,1973,hayesel01,https://www.basketball-reference.com/players/h/hayesel01/gamelog/1973
10,10,1972-11-03,26-352,BAL,@,BOS,L (-13),,45:00,8,22,.364,5,7,.714,16,2,5,21,1973,hayesel01,https://www.basketball-reference.com/players/h/hayesel01/gamelog/1973
11,11,1972-11-04,26-353,BAL,,CLE,W (+10),1,39:00,8,16,.500,3,4,.750,19,1,3,19,1973,hayesel01,https://www.basketball-reference.com/players/h/hayesel01/gamelog/1973
12,12,1972-11-07,26-356,BAL,@,ATL,L (-2),,46:00,3,12,.250,3,5,.600,10,3,3,9,1973,hayesel01,https://www.basketball-reference.com/players/h/hayesel01/gamelog/1973
13,13,1972-11-08,26-357,BAL,,BUF,W (+32),,41:00,9,18,.500,7,15,.467,20,1,2,25,1973,hayesel01,https://www.basketball-reference.com/players/h/hayesel01/gamelog/1973
14,14,1972-11-10,26-359,BAL,@,MIL,L (-38),,40:00,9,22,.409,7,10,.700,13,0,2,25,1973,hayesel01,https://www.basketball-reference.com/players/h/hayesel01/gamelog/1973
15,15,1972-11-11,26-360,BAL,,CHI,L (-5),1,47:00,13,19,.684,4,6,.667,17,2,3,30,1973,hayesel01,https://www.basketball-reference.com/players/h/hayesel01/gamelog/1973
