Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,session,player,gamelog_url
1,1,1977-10-21,31-338,WSB,,DET,W (+8),1,24:00,2,8,.250,3,7,.429,,,5,2,,,,6,7,,1978,hayesel01,https://www.basketball-reference.com/players/h/hayesel01/gamelog/1978
2,2,1977-10-22,31-339,WSB,@,NYK,L (-26),1,35:00,10,23,.435,6,7,.857,,,14,2,,,,1,26,,1978,hayesel01,https://www.basketball-reference.com/players/h/hayesel01/gamelog/1978
3,3,1977-10-28,31-345,WSB,@,IND,L (-9),1,24:00,4,7,.571,1,2,.500,,,5,5,,1,,6,9,,1978,hayesel01,https://www.basketball-reference.com/players/h/hayesel01/gamelog/1978
4,4,1977-10-29,31-346,WSB,@,KCK,L (-14),1,46:00,6,12,.500,4,9,.444,,,9,1,,,,5,16,,1978,hayesel01,https://www.basketball-reference.com/players/h/hayesel01/gamelog/1978
5,5,1977-11-04,31-352,WSB,,PHO,W (+17),1,37:00,7,17,.412,1,3,.333,4,10,14,0,2,1,3,2,15,9.8,1978,hayesel01,https://www.basketball-reference.com/players/h/hayesel01/gamelog/1978
6,6,1977-11-05,31-353,WSB,@,HOU,L (-11),1,20:00,0,7,.000,3,4,.750,,,5,2,,1,,6,3,,1978,hayesel01,https://www.basketball-reference.com/players/h/hayesel01/gamelog/1978
7,7,1977-11-06,31-354,WSB,@,NOJ,W (+11),1,41:00,9,16,.563,3,4,.750,6,14,20,0,,,,4,21,,1978,hayesel01,https://www.basketball-reference.com/players/h/hayesel01/gamelog/1978
8,8,1977-11-10,31-358,WSB,,MIL,L (-3),1,40:00,2,12,.167,2,4,.500,,,13,1,0,4,,3,6,,1978,hayesel01,https://www.basketball-reference.com/players/h/hayesel01/gamelog/1978
9,9,1977-11-12,31-360,WSB,,PHI,W (+18),1,43:00,12,19,.632,2,7,.286,,,16,2,,,,3,26,,1978,hayesel01,https://www.basketball-reference.com/players/h/hayesel01/gamelog/1978
10,10,1977-11-13,31-361,WSB,@,DET,L (-2),1,45:00,12,22,.545,5,8,.625,,,16,0,,,,1,29,,1978,hayesel01,https://www.basketball-reference.com/players/h/hayesel01/gamelog/1978
11,11,1977-11-15,31-363,WSB,,SEA,W (+2),1,38:00,8,15,.533,6,8,.750,2,12,14,3,,,,5,22,,1978,hayesel01,https://www.basketball-reference.com/players/h/hayesel01/gamelog/1978
12,12,1977-11-18,32-001,WSB,,NYK,W (+20),1,38:00,13,21,.619,1,1,1.000,,,12,2,,,,2,27,,1978,hayesel01,https://www.basketball-reference.com/players/h/hayesel01/gamelog/1978
13,13,1977-11-19,32-002,WSB,@,KCK,W (+6),1,35:00,6,15,.400,5,6,.833,,,9,3,,,,5,17,,1978,hayesel01,https://www.basketball-reference.com/players/h/hayesel01/gamelog/1978
14,14,1977-11-21,32-004,WSB,@,BUF,W (+17),1,38:00,5,15,.333,0,0,,,,11,1,,,,2,10,,1978,hayesel01,https://www.basketball-reference.com/players/h/hayesel01/gamelog/1978
15,15,1977-11-22,32-005,WSB,,DEN,L (-5),1,39:00,6,13,.462,5,9,.556,6,6,12,3,0,3,4,4,17,13.3,1978,hayesel01,https://www.basketball-reference.com/players/h/hayesel01/gamelog/1978
16,16,1977-11-26,32-009,WSB,,HOU,W (+2),1,46:00,11,21,.524,2,2,1.000,,,8,1,,1,,4,24,,1978,hayesel01,https://www.basketball-reference.com/players/h/hayesel01/gamelog/1978
17,17,1977-11-30,32-013,WSB,,SAS,W (+11),1,44:00,9,20,.450,3,7,.429,,,13,2,2,0,,2,21,,1978,hayesel01,https://www.basketball-reference.com/players/h/hayesel01/gamelog/1978
18,18,1977-12-02,32-015,WSB,@,MIL,W (+13),1,46:00,13,22,.591,3,6,.500,,,19,4,3,1,,5,29,,1978,hayesel01,https://www.basketball-reference.com/players/h/hayesel01/gamelog/1978
19,19,1977-12-03,32-016,WSB,,BOS,W (+10),1,36:00,8,20,.400,3,6,.500,,,8,1,,,,3,19,,1978,hayesel01,https://www.basketball-reference.com/players/h/hayesel01/gamelog/1978
20,20,1977-12-04,32-017,WSB,@,CLE,W (+6),1,40:00,3,10,.300,4,5,.800,2,14,16,2,1,3,2,3,10,10.7,1978,hayesel01,https://www.basketball-reference.com/players/h/hayesel01/gamelog/1978
21,21,1977-12-06,32-019,WSB,@,CHI,L (-8),1,43:00,11,21,.524,0,0,,6,4,10,4,2,1,2,3,22,19.4,1978,hayesel01,https://www.basketball-reference.com/players/h/hayesel01/gamelog/1978
22,22,1977-12-07,32-020,WSB,,CLE,W (+1),1,37:00,4,14,.286,0,0,,4,10,14,2,0,1,3,4,8,3.1,1978,hayesel01,https://www.basketball-reference.com/players/h/hayesel01/gamelog/1978
23,23,1977-12-09,32-022,WSB,,NOJ,W (+4),1,35:00,8,14,.571,2,4,.500,,,11,1,,,,5,18,,1978,hayesel01,https://www.basketball-reference.com/players/h/hayesel01/gamelog/1978
24,24,1977-12-11,32-024,WSB,,NJN,L (-11),1,45:00,12,21,.571,3,5,.600,,,20,3,,,,4,27,,1978,hayesel01,https://www.basketball-reference.com/players/h/hayesel01/gamelog/1978
25,25,1977-12-13,32-026,WSB,,GSW,W (+6),1,44:00,8,18,.444,4,5,.800,2,15,17,4,0,1,0,3,20,18.4,1978,hayesel01,https://www.basketball-reference.com/players/h/hayesel01/gamelog/1978
26,26,1977-12-16,32-029,WSB,@,DEN,W (+5),1,47:00,14,19,.737,5,14,.357,6,14,20,4,2,4,4,4,33,32.1,1978,hayesel01,https://www.basketball-reference.com/players/h/hayesel01/gamelog/1978
27,27,1977-12-17,32-030,WSB,@,POR,L (-13),1,35:00,5,15,.333,3,7,.429,5,5,10,0,1,0,1,2,13,7.1,1978,hayesel01,https://www.basketball-reference.com/players/h/hayesel01/gamelog/1978
28,28,1977-12-18,32-031,WSB,@,SEA,L (-2),1,40:00,7,17,.412,5,7,.714,1,7,8,5,0,3,,6,19,,1978,hayesel01,https://www.basketball-reference.com/players/h/hayesel01/gamelog/1978
