Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,session,player,gamelog_url
1,,1996-11-15,22-145,PHI,,CLE,L (-16),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,1997,hendrma01,https://www.basketball-reference.com/players/h/hendrma01/gamelog/1997
2,,1996-11-16,22-146,PHI,@,MIA,W (+2),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,1997,hendrma01,https://www.basketball-reference.com/players/h/hendrma01/gamelog/1997
3,1,1996-11-20,22-150,PHI,,IND,L (-11),0,0:28,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,0,1997,hendrma01,https://www.basketball-reference.com/players/h/hendrma01/gamelog/1997
4,2,1996-11-22,22-152,PHI,@,WSB,L (-12),0,15:53,3,5,.600,0,0,,0,0,,3,3,6,0,0,0,0,1,6,6.3,+8,1997,hendrma01,https://www.basketball-reference.com/players/h/hendrma01/gamelog/1997
5,3,1996-11-23,22-153,PHI,,NYK,W (+17),0,0:27,1,1,1.000,1,1,1.000,0,0,,0,0,0,0,0,0,0,0,3,2.7,+3,1997,hendrma01,https://www.basketball-reference.com/players/h/hendrma01/gamelog/1997
6,4,1996-12-07,22-167,PHI,@,HOU,L (-15),0,1:02,0,2,.000,0,0,,0,0,,1,0,1,0,0,0,0,0,0,-0.7,0,1997,hendrma01,https://www.basketball-reference.com/players/h/hendrma01/gamelog/1997
7,5,1996-12-09,22-169,PHI,,SEA,L (-24),0,4:56,0,0,,0,0,,0,0,,1,1,2,0,0,1,0,1,0,1.3,-3,1997,hendrma01,https://www.basketball-reference.com/players/h/hendrma01/gamelog/1997
8,,1996-12-11,22-171,PHI,,MIA,L (-5),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,1997,hendrma01,https://www.basketball-reference.com/players/h/hendrma01/gamelog/1997
9,,1996-12-13,22-173,PHI,@,CHH,L (-9),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,1997,hendrma01,https://www.basketball-reference.com/players/h/hendrma01/gamelog/1997
10,6,1996-12-14,22-174,PHI,@,ATL,L (-25),0,5:58,1,3,.333,0,1,.000,0,2,.000,1,0,1,0,0,0,1,0,2,-0.8,-9,1997,hendrma01,https://www.basketball-reference.com/players/h/hendrma01/gamelog/1997
11,7,1996-12-17,22-177,PHI,,CHH,L (-9),0,1:31,1,2,.500,0,0,,0,0,,0,1,1,0,0,0,0,0,2,1.3,+4,1997,hendrma01,https://www.basketball-reference.com/players/h/hendrma01/gamelog/1997
12,,1996-12-21,22-181,PHI,,CHI,L (-6),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,1997,hendrma01,https://www.basketball-reference.com/players/h/hendrma01/gamelog/1997
13,8,1996-12-26,22-186,PHI,@,DEN,W (+29),0,14:55,0,3,.000,0,0,,2,2,1.000,1,0,1,0,0,0,1,1,2,-0.8,+8,1997,hendrma01,https://www.basketball-reference.com/players/h/hendrma01/gamelog/1997
14,9,1996-12-28,22-188,PHI,@,UTA,L (-26),0,1:03,0,0,,0,0,,2,2,1.000,0,0,0,0,0,0,0,0,2,2.0,-2,1997,hendrma01,https://www.basketball-reference.com/players/h/hendrma01/gamelog/1997
15,10,1996-12-29,22-189,PHI,@,LAL,L (-13),0,1:08,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-0.7,-2,1997,hendrma01,https://www.basketball-reference.com/players/h/hendrma01/gamelog/1997
16,11,1997-01-02,22-193,PHI,@,SEA,L (-14),0,1:05,0,0,,0,0,,0,2,.000,0,1,1,0,0,0,0,0,0,-0.5,-2,1997,hendrma01,https://www.basketball-reference.com/players/h/hendrma01/gamelog/1997
17,,1997-01-13,22-204,PHI,,UTA,L (-1),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,1997,hendrma01,https://www.basketball-reference.com/players/h/hendrma01/gamelog/1997
18,,1997-01-15,22-206,PHI,,GSW,L (-17),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,1997,hendrma01,https://www.basketball-reference.com/players/h/hendrma01/gamelog/1997
19,,1997-01-17,22-208,PHI,,NJN,L (-2),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,1997,hendrma01,https://www.basketball-reference.com/players/h/hendrma01/gamelog/1997
20,,1997-01-19,22-210,PHI,@,IND,L (-4),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,1997,hendrma01,https://www.basketball-reference.com/players/h/hendrma01/gamelog/1997
21,,1997-01-20,22-211,PHI,,MIL,L (-10),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,1997,hendrma01,https://www.basketball-reference.com/players/h/hendrma01/gamelog/1997
22,,1997-01-22,22-213,PHI,@,BOS,W (+2),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,1997,hendrma01,https://www.basketball-reference.com/players/h/hendrma01/gamelog/1997
23,12,1997-01-24,22-215,PHI,,SAC,L (-15),0,4:23,0,1,.000,0,0,,2,2,1.000,1,2,3,0,0,0,0,0,2,2.6,+4,1997,hendrma01,https://www.basketball-reference.com/players/h/hendrma01/gamelog/1997
24,13,1997-01-25,22-216,PHI,@,DET,L (-9),0,10:49,0,1,.000,0,0,,2,2,1.000,0,3,3,0,0,0,1,1,2,0.8,+6,1997,hendrma01,https://www.basketball-reference.com/players/h/hendrma01/gamelog/1997
25,,1997-03-09,22-259,PHI,@,WSB,W (+6),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,1997,hendrma01,https://www.basketball-reference.com/players/h/hendrma01/gamelog/1997
26,,1997-03-11,22-261,PHI,@,MIN,L (-4),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,1997,hendrma01,https://www.basketball-reference.com/players/h/hendrma01/gamelog/1997
27,,1997-03-12,22-262,PHI,,CHI,L (-4),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,1997,hendrma01,https://www.basketball-reference.com/players/h/hendrma01/gamelog/1997
28,,1997-03-14,22-264,PHI,,MIN,W (+14),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,1997,hendrma01,https://www.basketball-reference.com/players/h/hendrma01/gamelog/1997
29,14,1997-03-15,22-265,PHI,,CHH,L (-8),0,0:37,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0,-0.7,+2,1997,hendrma01,https://www.basketball-reference.com/players/h/hendrma01/gamelog/1997
30,15,1997-03-18,22-268,PHI,@,TOR,L (-12),0,8:40,1,3,.333,0,1,.000,0,0,,2,1,3,1,1,0,1,2,2,1.9,-7,1997,hendrma01,https://www.basketball-reference.com/players/h/hendrma01/gamelog/1997
31,,1997-03-21,22-271,PHI,,NJN,W (+2),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,1997,hendrma01,https://www.basketball-reference.com/players/h/hendrma01/gamelog/1997
32,16,1997-03-26,22-276,PHI,@,NJN,L (-18),0,4:41,1,2,.500,0,0,,2,2,1.000,0,4,4,0,0,1,0,0,4,4.9,+1,1997,hendrma01,https://www.basketball-reference.com/players/h/hendrma01/gamelog/1997
33,,1997-03-28,22-278,PHI,,BOS,W (+8),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,1997,hendrma01,https://www.basketball-reference.com/players/h/hendrma01/gamelog/1997
34,17,1997-03-30,22-280,PHI,@,DET,W (+4),0,6:12,0,0,,0,0,,0,2,.000,0,2,2,0,0,1,0,1,0,0.1,+2,1997,hendrma01,https://www.basketball-reference.com/players/h/hendrma01/gamelog/1997
35,18,1997-04-01,22-282,PHI,@,ORL,W (+12),0,4:51,1,1,1.000,0,0,,0,0,,0,0,0,0,0,0,0,1,2,1.3,+8,1997,hendrma01,https://www.basketball-reference.com/players/h/hendrma01/gamelog/1997
36,19,1997-04-02,22-283,PHI,,TOR,L (-22),0,13:30,0,1,.000,0,1,.000,0,0,,1,1,2,0,1,0,0,1,0,0.9,-8,1997,hendrma01,https://www.basketball-reference.com/players/h/hendrma01/gamelog/1997
37,20,1997-04-04,22-285,PHI,,IND,L (-11),0,11:15,2,3,.667,0,0,,0,0,,0,0,0,0,1,0,3,1,4,0.3,-7,1997,hendrma01,https://www.basketball-reference.com/players/h/hendrma01/gamelog/1997
38,21,1997-04-05,22-286,PHI,@,CHH,L (-2),0,11:54,0,6,.000,0,1,.000,2,2,1.000,4,3,7,0,0,0,0,1,2,1.1,-9,1997,hendrma01,https://www.basketball-reference.com/players/h/hendrma01/gamelog/1997
39,22,1997-04-07,22-288,PHI,@,CHI,L (-26),0,19:01,1,1,1.000,0,0,,2,2,1.000,1,1,2,1,0,0,0,1,4,5.0,-13,1997,hendrma01,https://www.basketball-reference.com/players/h/hendrma01/gamelog/1997
40,23,1997-04-09,22-290,PHI,,ATL,L (-15),0,26:30,3,5,.600,1,1,1.000,0,0,,2,9,11,0,3,0,3,2,7,8.0,-6,1997,hendrma01,https://www.basketball-reference.com/players/h/hendrma01/gamelog/1997
41,24,1997-04-11,22-292,PHI,@,MIL,L (-8),0,11:12,0,1,.000,0,1,.000,0,0,,0,1,1,1,0,0,0,0,0,0.3,-2,1997,hendrma01,https://www.basketball-reference.com/players/h/hendrma01/gamelog/1997
42,25,1997-04-12,22-293,PHI,@,CLE,L (-7),1,27:16,4,8,.500,0,0,,0,0,,6,2,8,0,1,0,1,5,8,6.8,-4,1997,hendrma01,https://www.basketball-reference.com/players/h/hendrma01/gamelog/1997
43,26,1997-04-14,22-295,PHI,,WSB,L (-21),0,24:55,4,6,.667,1,2,.500,3,4,.750,2,9,11,0,1,0,1,6,12,10.7,+3,1997,hendrma01,https://www.basketball-reference.com/players/h/hendrma01/gamelog/1997
44,27,1997-04-16,22-297,PHI,@,NJN,W (+8),0,15:13,2,5,.400,0,0,,0,0,,2,0,2,0,1,0,0,0,4,3.7,-4,1997,hendrma01,https://www.basketball-reference.com/players/h/hendrma01/gamelog/1997
45,28,1997-04-18,22-299,PHI,,BOS,L (-6),0,22:35,1,5,.200,0,1,.000,1,2,.500,3,8,11,0,0,1,1,5,3,1.7,+11,1997,hendrma01,https://www.basketball-reference.com/players/h/hendrma01/gamelog/1997
46,29,1997-04-19,22-300,PHI,@,ATL,L (-32),0,27:29,6,10,.600,0,1,.000,0,0,,4,5,9,0,1,0,1,2,12,10.9,-3,1997,hendrma01,https://www.basketball-reference.com/players/h/hendrma01/gamelog/1997
