Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,session,player,gamelog_url
1,1,1981-12-30,25-199,CLE,,NYK,L (-2),0,4:00,1,4,.250,0,0,,0,0,,0,0,0,1,0,0,0,0,2,0.3,1982,herroke01,https://www.basketball-reference.com/players/h/herroke01/gamelog/1982
2,2,1982-01-02,25-202,CLE,,BOS,L (-3),0,5:00,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,0,0,0.3,1982,herroke01,https://www.basketball-reference.com/players/h/herroke01/gamelog/1982
3,3,1982-01-05,25-205,CLE,@,ATL,L (-10),0,2:00,1,1,1.000,0,0,,2,2,1.000,0,0,0,0,0,0,0,1,4,3.3,1982,herroke01,https://www.basketball-reference.com/players/h/herroke01/gamelog/1982
4,4,1982-01-08,25-208,CLE,@,NJN,L (-10),0,8:00,1,6,.167,0,0,,0,0,,1,0,1,1,2,0,1,0,2,0.6,1982,herroke01,https://www.basketball-reference.com/players/h/herroke01/gamelog/1982
5,5,1982-01-13,25-213,CLE,@,KCK,L (-13),0,2:00,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,1982,herroke01,https://www.basketball-reference.com/players/h/herroke01/gamelog/1982
6,6,1982-01-27,25-227,CLE,,GSW,W (+4),0,9:00,3,4,.750,0,0,,0,0,,0,0,0,0,1,0,0,0,6,5.4,1982,herroke01,https://www.basketball-reference.com/players/h/herroke01/gamelog/1982
7,7,1982-01-28,25-228,CLE,,BOS,L (-12),0,14:00,3,10,.300,0,0,,0,0,,0,2,2,0,1,0,0,1,6,1.4,1982,herroke01,https://www.basketball-reference.com/players/h/herroke01/gamelog/1982
8,8,1982-02-02,25-233,CLE,@,WSB,W (+1),0,8:00,2,5,.400,0,0,,0,0,,2,1,3,0,0,0,0,1,4,2.6,1982,herroke01,https://www.basketball-reference.com/players/h/herroke01/gamelog/1982
9,9,1982-02-03,25-234,CLE,,IND,W (+4),0,18:00,6,10,.600,0,0,,0,0,,0,0,0,2,0,0,2,4,12,5.2,1982,herroke01,https://www.basketball-reference.com/players/h/herroke01/gamelog/1982
10,10,1982-02-06,25-237,CLE,@,ATL,W (+1),0,25:00,5,8,.625,0,0,,0,0,,0,1,1,4,0,0,0,1,10,9.1,1982,herroke01,https://www.basketball-reference.com/players/h/herroke01/gamelog/1982
11,11,1982-02-07,25-238,CLE,,NJN,L (-16),0,20:00,1,7,.143,0,0,,0,0,,1,2,3,0,1,0,1,2,2,-2.0,1982,herroke01,https://www.basketball-reference.com/players/h/herroke01/gamelog/1982
12,12,1982-02-10,25-241,CLE,,POR,L (-14),0,9:00,0,4,.000,0,0,,2,2,1.000,1,0,1,1,0,0,2,0,2,-1.4,1982,herroke01,https://www.basketball-reference.com/players/h/herroke01/gamelog/1982
13,13,1982-02-11,25-242,CLE,@,DET,L (-10),0,25:00,3,7,.429,0,0,,0,0,,0,2,2,2,1,0,2,4,6,1.7,1982,herroke01,https://www.basketball-reference.com/players/h/herroke01/gamelog/1982
14,14,1982-02-14,25-245,CLE,,MIL,L (-28),0,18:00,4,9,.444,0,1,.000,2,2,1.000,0,0,0,3,1,0,1,4,10,5.8,1982,herroke01,https://www.basketball-reference.com/players/h/herroke01/gamelog/1982
15,15,1982-02-17,25-248,CLE,,HOU,L (-8),0,17:00,3,7,.429,0,0,,1,2,.500,0,1,1,2,0,0,0,3,7,3.4,1982,herroke01,https://www.basketball-reference.com/players/h/herroke01/gamelog/1982
16,16,1982-02-19,25-250,CLE,@,MIL,L (-18),0,12:00,1,6,.167,0,0,,0,0,,1,0,1,0,0,0,1,0,2,-2.1,1982,herroke01,https://www.basketball-reference.com/players/h/herroke01/gamelog/1982
17,17,1982-02-24,25-255,CLE,@,PHO,L (-34),0,4:00,1,2,.500,0,0,,0,0,,1,0,1,0,0,0,1,0,2,0.7,1982,herroke01,https://www.basketball-reference.com/players/h/herroke01/gamelog/1982
