Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,FT,FTA,FT%,TRB,AST,PF,PTS,session,player,gamelog_url
1,1,1949-11-02,24-204,BLB,@,WSC,L (-5),,,5,,,7,9,.778,,,,17,1950,hoffmpa01,https://www.basketball-reference.com/players/h/hoffmpa01/gamelog/1950
2,2,1949-11-03,24-205,BLB,,STB,L (-16),,,5,,,7,9,.778,,,,17,1950,hoffmpa01,https://www.basketball-reference.com/players/h/hoffmpa01/gamelog/1950
3,3,1949-11-05,24-207,BLB,,MNL,L (-15),,,5,,,6,10,.600,,,4,16,1950,hoffmpa01,https://www.basketball-reference.com/players/h/hoffmpa01/gamelog/1950
4,4,1949-11-10,24-212,BLB,,WSC,L (-16),,,4,,,6,10,.600,,,,14,1950,hoffmpa01,https://www.basketball-reference.com/players/h/hoffmpa01/gamelog/1950
5,5,1949-11-12,24-214,BLB,,FTW,W (+7),,,6,,,12,13,.923,,,,24,1950,hoffmpa01,https://www.basketball-reference.com/players/h/hoffmpa01/gamelog/1950
6,6,1949-11-15,24-217,BLB,@,BOS,W (+5),,,12,,,3,7,.429,,,,27,1950,hoffmpa01,https://www.basketball-reference.com/players/h/hoffmpa01/gamelog/1950
7,7,1949-11-17,24-219,BLB,,DNN,W (+15),,,6,,,3,6,.500,,,,15,1950,hoffmpa01,https://www.basketball-reference.com/players/h/hoffmpa01/gamelog/1950
8,8,1949-11-19,24-221,BLB,,BOS,L (-9),,,6,,,2,4,.500,,,,14,1950,hoffmpa01,https://www.basketball-reference.com/players/h/hoffmpa01/gamelog/1950
9,9,1949-11-20,24-222,BLB,@,SHE,W (+5),,,8,24,.333,3,7,.429,,8,5,19,1950,hoffmpa01,https://www.basketball-reference.com/players/h/hoffmpa01/gamelog/1950
10,10,1949-11-23,24-225,BLB,@,MNL,L (-13),,,6,18,.333,7,10,.700,,4,2,19,1950,hoffmpa01,https://www.basketball-reference.com/players/h/hoffmpa01/gamelog/1950
11,11,1949-11-24,24-226,BLB,@,STB,W (+2),,,5,,,1,3,.333,,,,11,1950,hoffmpa01,https://www.basketball-reference.com/players/h/hoffmpa01/gamelog/1950
12,12,1949-11-27,24-229,BLB,@,DNN,L (-7),,,5,,,4,8,.500,,,,14,1950,hoffmpa01,https://www.basketball-reference.com/players/h/hoffmpa01/gamelog/1950
13,13,1949-11-30,24-232,BLB,@,CHS,L (-7),,,6,,,6,9,.667,,,,18,1950,hoffmpa01,https://www.basketball-reference.com/players/h/hoffmpa01/gamelog/1950
14,14,1949-12-01,24-233,BLB,,ROC,W (+6),,,2,,,0,0,,,,,4,1950,hoffmpa01,https://www.basketball-reference.com/players/h/hoffmpa01/gamelog/1950
15,15,1949-12-03,24-235,BLB,@,NYK,L (-30),,,2,,,5,8,.625,,,,9,1950,hoffmpa01,https://www.basketball-reference.com/players/h/hoffmpa01/gamelog/1950
16,16,1949-12-07,24-239,BLB,,CHS,L (-12),,,3,,,7,13,.538,,,,13,1950,hoffmpa01,https://www.basketball-reference.com/players/h/hoffmpa01/gamelog/1950
17,17,1949-12-08,24-240,BLB,,NYK,L (-22),,,2,,,4,6,.667,,,,8,1950,hoffmpa01,https://www.basketball-reference.com/players/h/hoffmpa01/gamelog/1950
18,18,1949-12-10,24-242,BLB,,STB,W (+3),,,0,,,1,1,1.000,,,,1,1950,hoffmpa01,https://www.basketball-reference.com/players/h/hoffmpa01/gamelog/1950
19,19,1949-12-15,24-247,BLB,,MNL,W (+19),,,7,,,4,5,.800,,,3,18,1950,hoffmpa01,https://www.basketball-reference.com/players/h/hoffmpa01/gamelog/1950
20,20,1949-12-16,24-248,BLB,,WAT,L (-2),,,4,,,2,3,.667,,,,10,1950,hoffmpa01,https://www.basketball-reference.com/players/h/hoffmpa01/gamelog/1950
21,21,1949-12-17,24-249,BLB,@,WSC,W (+17),,,7,,,4,5,.800,,,,18,1950,hoffmpa01,https://www.basketball-reference.com/players/h/hoffmpa01/gamelog/1950
22,22,1949-12-18,24-250,BLB,@,FTW,L (-11),,,7,,,11,12,.917,,,,25,1950,hoffmpa01,https://www.basketball-reference.com/players/h/hoffmpa01/gamelog/1950
23,23,1949-12-20,24-252,BLB,@,INO,W (+9),,,7,,,9,12,.750,,,,23,1950,hoffmpa01,https://www.basketball-reference.com/players/h/hoffmpa01/gamelog/1950
24,24,1950-01-05,24-268,BLB,,ROC,W (+3),,,2,,,4,4,1.000,,,,8,1950,hoffmpa01,https://www.basketball-reference.com/players/h/hoffmpa01/gamelog/1950
25,25,1950-01-06,24-269,BLB,@,BOS,L (-21),,,3,,,1,5,.200,,,,7,1950,hoffmpa01,https://www.basketball-reference.com/players/h/hoffmpa01/gamelog/1950
26,26,1950-01-07,24-270,BLB,,INO,L (-24),,,5,,,1,2,.500,,,,11,1950,hoffmpa01,https://www.basketball-reference.com/players/h/hoffmpa01/gamelog/1950
27,27,1950-01-10,24-273,BLB,@,ROC,L (-18),,,6,,,0,0,,,,,12,1950,hoffmpa01,https://www.basketball-reference.com/players/h/hoffmpa01/gamelog/1950
28,28,1950-01-14,24-277,BLB,,CHS,L (-5),,,6,,,5,6,.833,,,,17,1950,hoffmpa01,https://www.basketball-reference.com/players/h/hoffmpa01/gamelog/1950
29,29,1950-01-19,24-282,BLB,,WSC,L (-13),,,6,,,5,8,.625,,,,17,1950,hoffmpa01,https://www.basketball-reference.com/players/h/hoffmpa01/gamelog/1950
30,30,1950-01-21,24-284,BLB,,PHW,W (+10),,,5,23,.217,6,10,.600,,,3,16,1950,hoffmpa01,https://www.basketball-reference.com/players/h/hoffmpa01/gamelog/1950
31,31,1950-01-22,24-285,BLB,,SHE,W (+7),,,6,18,.333,6,8,.750,,6,3,18,1950,hoffmpa01,https://www.basketball-reference.com/players/h/hoffmpa01/gamelog/1950
