Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,session,player,gamelog_url
1,1,2002-10-30,30-015,CHI,@,BOS,W (+3),0,12:22,0,2,.000,0,0,,4,4,1.000,1,0,1,1,0,0,1,0,4,3.0,-9,2003,hoibefr01,https://www.basketball-reference.com/players/h/hoibefr01/gamelog/2003
2,2,2002-11-01,30-017,CHI,,NOH,W (+5),0,20:21,2,4,.500,1,2,.500,0,0,,0,3,3,2,0,0,0,1,5,4.9,+10,2003,hoibefr01,https://www.basketball-reference.com/players/h/hoibefr01/gamelog/2003
3,3,2002-11-02,30-018,CHI,@,ATL,L (-6),0,10:18,1,2,.500,0,0,,0,0,,0,1,1,0,2,0,0,0,2,3.3,0,2003,hoibefr01,https://www.basketball-reference.com/players/h/hoibefr01/gamelog/2003
4,4,2002-11-04,30-020,CHI,@,TOR,L (-4),0,27:33,1,5,.200,0,0,,0,0,,1,6,7,2,3,0,2,1,2,3.4,+8,2003,hoibefr01,https://www.basketball-reference.com/players/h/hoibefr01/gamelog/2003
5,5,2002-11-06,30-022,CHI,,BOS,L (-22),0,17:40,1,1,1.000,0,0,,2,3,.667,0,3,3,1,0,0,2,1,4,2.5,-5,2003,hoibefr01,https://www.basketball-reference.com/players/h/hoibefr01/gamelog/2003
6,6,2002-11-08,30-024,CHI,,DAL,L (-27),0,15:52,1,1,1.000,0,0,,0,0,,0,1,1,3,3,1,1,0,2,6.8,+3,2003,hoibefr01,https://www.basketball-reference.com/players/h/hoibefr01/gamelog/2003
7,7,2002-11-09,30-025,CHI,,NJN,W (+7),0,14:38,1,2,.500,0,0,,0,1,.000,0,1,1,0,1,0,1,0,2,0.9,+1,2003,hoibefr01,https://www.basketball-reference.com/players/h/hoibefr01/gamelog/2003
8,8,2002-11-13,30-029,CHI,@,MIL,L (-7),0,15:50,0,1,.000,0,0,,0,0,,0,2,2,2,0,0,0,2,0,0.5,-7,2003,hoibefr01,https://www.basketball-reference.com/players/h/hoibefr01/gamelog/2003
9,9,2002-11-15,30-031,CHI,@,NOH,L (-18),0,16:53,1,3,.333,1,1,1.000,0,0,,0,3,3,3,3,0,1,1,3,5.9,-4,2003,hoibefr01,https://www.basketball-reference.com/players/h/hoibefr01/gamelog/2003
10,10,2002-11-16,30-032,CHI,,MEM,W (+18),0,20:34,1,2,.500,0,0,,0,0,,0,1,1,4,1,0,0,0,2,5.1,+7,2003,hoibefr01,https://www.basketball-reference.com/players/h/hoibefr01/gamelog/2003
11,11,2002-11-19,30-035,CHI,@,SAC,L (-13),0,23:42,2,4,.500,0,0,,2,2,1.000,2,2,4,4,0,0,0,1,6,8.4,+12,2003,hoibefr01,https://www.basketball-reference.com/players/h/hoibefr01/gamelog/2003
