Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,session,player,gamelog_url
1,1,1982-10-29,29-010,SDC,,PHO,L (-14),0,40:00,4,12,.333,0,0,,3,6,.500,1,4,5,4,3,1,7,3,11,3.2,1983,hollili01,https://www.basketball-reference.com/players/h/hollili01/gamelog/1983
2,2,1982-10-31,29-012,SDC,,SEA,L (-18),1,42:00,4,16,.250,0,0,,1,2,.500,0,2,2,11,5,,2,3,9,,1983,hollili01,https://www.basketball-reference.com/players/h/hollili01/gamelog/1983
3,3,1982-11-02,29-014,SDC,@,NJN,L (-10),1,41:00,5,14,.357,0,2,.000,4,6,.667,0,0,0,6,0,0,3,3,14,5.4,1983,hollili01,https://www.basketball-reference.com/players/h/hollili01/gamelog/1983
4,4,1982-11-03,29-015,SDC,@,PHI,L (-19),1,33:00,8,12,.667,0,0,,2,2,1.000,0,2,2,3,2,0,3,1,18,14.1,1983,hollili01,https://www.basketball-reference.com/players/h/hollili01/gamelog/1983
5,5,1982-11-05,29-017,SDC,@,MIL,L (-31),1,31:00,2,10,.200,0,0,,3,4,.750,,,1,3,0,0,2,0,7,,1983,hollili01,https://www.basketball-reference.com/players/h/hollili01/gamelog/1983
6,6,1982-11-06,29-018,SDC,@,CHI,L (-5),1,36:00,9,20,.450,0,0,,3,5,.600,1,1,2,6,1,1,5,5,21,9.7,1983,hollili01,https://www.basketball-reference.com/players/h/hollili01/gamelog/1983
7,7,1982-11-09,29-021,SDC,@,IND,L (-5),1,24:00,2,8,.250,0,0,,0,0,,0,0,0,1,1,0,2,0,4,-1.1,1983,hollili01,https://www.basketball-reference.com/players/h/hollili01/gamelog/1983
8,8,1982-11-11,29-023,SDC,,SAS,W (+4),1,44:00,8,16,.500,0,0,,5,7,.714,1,3,4,9,4,0,3,3,21,19.9,1983,hollili01,https://www.basketball-reference.com/players/h/hollili01/gamelog/1983
9,9,1982-11-13,29-025,SDC,,KCK,L (-1),1,38:00,11,15,.733,1,,,2,2,1.000,,,4,9,1,0,6,4,25,,1983,hollili01,https://www.basketball-reference.com/players/h/hollili01/gamelog/1983
10,10,1982-11-16,29-028,SDC,,DEN,L (-6),1,30:00,5,12,.417,1,2,.500,0,2,.000,0,4,4,6,1,0,6,0,11,4.2,1983,hollili01,https://www.basketball-reference.com/players/h/hollili01/gamelog/1983
11,11,1982-11-18,29-030,SDC,,CLE,W (+9),1,40:00,5,15,.333,0,0,,1,2,.500,0,2,2,8,1,0,2,3,11,6.1,1983,hollili01,https://www.basketball-reference.com/players/h/hollili01/gamelog/1983
12,12,1982-11-20,29-032,SDC,,WSB,L (-8),1,23:00,3,5,.600,0,,,1,2,.500,,,2,2,1,,,1,7,,1983,hollili01,https://www.basketball-reference.com/players/h/hollili01/gamelog/1983
13,13,1982-11-24,29-036,SDC,,NJN,W (+5),1,35:00,9,18,.500,0,,,3,4,.750,0,0,0,5,,0,5,4,21,,1983,hollili01,https://www.basketball-reference.com/players/h/hollili01/gamelog/1983
14,14,1982-11-26,29-038,SDC,,LAL,L (-2),1,34:00,6,12,.500,0,0,,2,2,1.000,0,1,1,10,5,1,,2,14,,1983,hollili01,https://www.basketball-reference.com/players/h/hollili01/gamelog/1983
15,15,1982-11-27,29-039,SDC,@,DEN,L (-16),1,24:00,3,10,.300,0,,,0,0,,,,1,10,,0,3,3,6,,1983,hollili01,https://www.basketball-reference.com/players/h/hollili01/gamelog/1983
16,16,1982-11-30,29-042,SDC,@,POR,L (-7),1,35:00,10,20,.500,0,1,.000,3,7,.429,0,2,2,12,2,0,2,0,23,20.4,1983,hollili01,https://www.basketball-reference.com/players/h/hollili01/gamelog/1983
17,17,1982-12-01,29-043,SDC,@,SEA,L (-21),1,6:00,0,4,.000,0,0,,0,0,,0,1,1,1,0,0,1,0,0,-2.8,1983,hollili01,https://www.basketball-reference.com/players/h/hollili01/gamelog/1983
18,18,1983-01-05,29-078,SDC,@,UTA,W (+7),0,31:00,7,23,.304,0,0,,0,0,,1,2,3,8,3,0,2,5,14,6.6,1983,hollili01,https://www.basketball-reference.com/players/h/hollili01/gamelog/1983
19,19,1983-01-06,29-079,SDC,,HOU,L (-2),1,29:00,6,12,.500,0,1,.000,7,8,.875,0,2,2,8,3,0,4,3,19,16.6,1983,hollili01,https://www.basketball-reference.com/players/h/hollili01/gamelog/1983
20,20,1983-01-08,29-081,SDC,,DEN,W (+2),1,39:00,12,19,.632,0,0,,1,1,1.000,,,1,7,,0,5,3,25,,1983,hollili01,https://www.basketball-reference.com/players/h/hollili01/gamelog/1983
21,21,1983-01-11,29-084,SDC,@,HOU,W (+8),1,39:00,11,21,.524,0,0,,1,2,.500,1,2,3,5,4,0,2,1,23,18.7,1983,hollili01,https://www.basketball-reference.com/players/h/hollili01/gamelog/1983
22,22,1983-01-12,29-085,SDC,@,DAL,L (-2),1,39:00,10,19,.526,0,1,.000,0,0,,1,4,5,10,2,0,1,4,20,19.0,1983,hollili01,https://www.basketball-reference.com/players/h/hollili01/gamelog/1983
23,23,1983-01-14,29-087,SDC,,KCK,W (+7),1,37:00,9,20,.450,0,,,2,4,.500,,,4,9,3,0,,3,20,,1983,hollili01,https://www.basketball-reference.com/players/h/hollili01/gamelog/1983
24,24,1983-01-15,29-088,SDC,@,PHO,L (-13),1,35:00,6,15,.400,0,0,,1,2,.500,1,1,2,11,3,1,4,2,13,12.1,1983,hollili01,https://www.basketball-reference.com/players/h/hollili01/gamelog/1983
25,25,1983-01-16,29-089,SDC,,UTA,L (-4),1,14:00,2,8,.250,0,0,,0,0,,0,2,2,3,0,0,0,1,4,1.5,1983,hollili01,https://www.basketball-reference.com/players/h/hollili01/gamelog/1983
26,26,1983-01-19,29-092,SDC,@,LAL,L (-3),1,39:00,8,16,.500,0,2,.000,1,2,.500,0,0,0,9,4,0,2,3,17,15.7,1983,hollili01,https://www.basketball-reference.com/players/h/hollili01/gamelog/1983
27,27,1983-01-20,29-093,SDC,,IND,W (+5),1,33:00,6,15,.400,0,0,,2,2,1.000,0,1,1,9,2,0,4,0,14,10.5,1983,hollili01,https://www.basketball-reference.com/players/h/hollili01/gamelog/1983
28,28,1983-01-22,29-095,SDC,,GSW,W (+10),1,40:00,9,15,.600,0,1,.000,3,5,.600,3,2,5,6,1,1,4,3,21,16.7,1983,hollili01,https://www.basketball-reference.com/players/h/hollili01/gamelog/1983
29,29,1983-01-25,29-098,SDC,,MIL,L (-13),1,34:00,2,10,.200,0,0,,2,2,1.000,,,5,7,3,0,2,3,6,,1983,hollili01,https://www.basketball-reference.com/players/h/hollili01/gamelog/1983
30,30,1983-01-27,29-100,SDC,,ATL,W (+10),1,43:00,3,8,.375,0,0,,5,6,.833,1,3,4,11,0,0,2,3,11,12.3,1983,hollili01,https://www.basketball-reference.com/players/h/hollili01/gamelog/1983
31,31,1983-02-02,29-106,SDC,@,BOS,L (-10),1,33:00,4,9,.444,0,0,,5,6,.833,2,1,3,6,0,0,2,4,13,10.2,1983,hollili01,https://www.basketball-reference.com/players/h/hollili01/gamelog/1983
32,32,1983-02-03,29-107,SDC,@,DET,W (+7),1,32:00,4,5,.800,0,1,.000,7,9,.778,0,1,1,10,2,0,9,4,15,11.0,1983,hollili01,https://www.basketball-reference.com/players/h/hollili01/gamelog/1983
33,33,1983-02-04,29-108,SDC,@,WSB,L (-7),1,34:00,8,17,.471,1,,,2,2,1.000,,,2,5,6,,6,1,19,,1983,hollili01,https://www.basketball-reference.com/players/h/hollili01/gamelog/1983
34,34,1983-02-06,29-110,SDC,@,CLE,L (-3),1,41:00,3,12,.250,0,1,.000,1,2,.500,0,0,0,11,2,1,1,4,7,7.2,1983,hollili01,https://www.basketball-reference.com/players/h/hollili01/gamelog/1983
35,35,1983-02-08,29-112,SDC,,DEN,W (+27),1,30:00,2,7,.286,0,0,,3,3,1.000,1,1,2,7,0,1,5,4,7,2.9,1983,hollili01,https://www.basketball-reference.com/players/h/hollili01/gamelog/1983
36,36,1983-02-10,29-114,SDC,,PHO,W (+1),1,33:00,6,12,.500,0,0,,2,2,1.000,2,2,4,5,3,1,4,4,14,11.6,1983,hollili01,https://www.basketball-reference.com/players/h/hollili01/gamelog/1983
37,37,1983-02-15,29-119,SDC,@,POR,L (-9),1,28:00,4,12,.333,0,0,,5,6,.833,0,0,0,5,0,0,6,4,13,1.7,1983,hollili01,https://www.basketball-reference.com/players/h/hollili01/gamelog/1983
