Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,session,player,gamelog_url
1,,2019-10-22,24-292,TOR,,NOP,W (+8),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2020,holliro01,https://www.basketball-reference.com/players/h/holliro01/gamelog/2020
2,,2019-10-25,24-295,TOR,@,BOS,L (-6),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2020,holliro01,https://www.basketball-reference.com/players/h/holliro01/gamelog/2020
3,1,2019-10-26,24-296,TOR,@,CHI,W (+24),0,3:59,0,0,,0,0,,1,2,.500,0,0,0,0,0,0,0,1,1,0.2,+2,2020,holliro01,https://www.basketball-reference.com/players/h/holliro01/gamelog/2020
4,,2019-10-28,24-298,TOR,,ORL,W (+9),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2020,holliro01,https://www.basketball-reference.com/players/h/holliro01/gamelog/2020
5,,2019-10-30,24-300,TOR,,DET,W (+12),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2020,holliro01,https://www.basketball-reference.com/players/h/holliro01/gamelog/2020
6,,2019-11-02,24-303,TOR,@,MIL,L (-10),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2020,holliro01,https://www.basketball-reference.com/players/h/holliro01/gamelog/2020
7,,2019-11-06,24-307,TOR,,SAC,W (+4),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2020,holliro01,https://www.basketball-reference.com/players/h/holliro01/gamelog/2020
8,,2019-11-08,24-309,TOR,@,NOP,W (+18),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2020,holliro01,https://www.basketball-reference.com/players/h/holliro01/gamelog/2020
9,2,2019-11-10,24-311,TOR,@,LAL,W (+9),0,15:16,4,6,.667,0,0,,2,2,1.000,1,2,3,2,0,0,1,3,10,7.9,+6,2020,holliro01,https://www.basketball-reference.com/players/h/holliro01/gamelog/2020
10,3,2019-11-11,24-312,TOR,@,LAC,L (-10),0,28:48,4,11,.364,0,0,,1,2,.500,2,7,9,1,3,1,3,4,9,5.8,-1,2020,holliro01,https://www.basketball-reference.com/players/h/holliro01/gamelog/2020
11,4,2019-11-13,24-314,TOR,@,POR,W (+8),0,25:58,6,8,.750,0,0,,4,4,1.000,8,3,11,1,1,1,2,2,16,18.9,+10,2020,holliro01,https://www.basketball-reference.com/players/h/holliro01/gamelog/2020
12,5,2019-11-16,24-317,TOR,@,DAL,L (-8),0,25:17,4,6,.667,0,0,,0,0,,3,1,4,0,2,0,2,3,8,6.6,-8,2020,holliro01,https://www.basketball-reference.com/players/h/holliro01/gamelog/2020
13,6,2019-11-18,24-319,TOR,,CHO,W (+36),0,20:12,6,10,.600,0,0,,3,3,1.000,4,4,8,2,0,0,0,4,15,14.2,+11,2020,holliro01,https://www.basketball-reference.com/players/h/holliro01/gamelog/2020
14,7,2019-11-20,24-321,TOR,,ORL,W (+16),0,26:44,3,6,.500,0,1,.000,0,3,.000,1,4,5,2,1,0,2,2,6,3.3,+21,2020,holliro01,https://www.basketball-reference.com/players/h/holliro01/gamelog/2020
15,8,2019-11-23,24-324,TOR,@,ATL,W (+3),0,24:02,2,3,.667,0,1,.000,3,4,.750,4,5,9,4,1,1,1,2,7,12.3,-5,2020,holliro01,https://www.basketball-reference.com/players/h/holliro01/gamelog/2020
