Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,session,player,gamelog_url
1,1,1999-03-24,23-011,LAC,,GSW,L (-12),0,5:23,0,1,.000,0,0,,0,0,,1,2,3,1,0,0,1,0,0,0.3,-4,1999,hudsotr01,https://www.basketball-reference.com/players/h/hudsotr01/gamelog/1999
2,2,1999-03-26,23-013,LAC,@,SEA,L (-6),0,16:44,1,2,.500,1,2,.500,2,2,1.000,0,3,3,3,0,0,4,6,5,0.6,+3,1999,hudsotr01,https://www.basketball-reference.com/players/h/hudsotr01/gamelog/1999
3,3,1999-03-27,23-014,LAC,,UTA,W (+26),0,22:43,4,5,.800,0,0,,0,0,,2,1,3,3,1,0,4,1,8,6.5,+10,1999,hudsotr01,https://www.basketball-reference.com/players/h/hudsotr01/gamelog/1999
4,4,1999-03-29,23-016,LAC,@,DEN,L (-12),0,24:14,6,8,.750,1,2,.500,3,4,.750,0,2,2,3,0,0,0,0,16,15.1,-4,1999,hudsotr01,https://www.basketball-reference.com/players/h/hudsotr01/gamelog/1999
5,5,1999-03-30,23-017,LAC,,HOU,L (-9),0,8:01,1,1,1.000,1,1,1.000,0,0,,0,0,0,0,1,0,0,0,3,3.7,-5,1999,hudsotr01,https://www.basketball-reference.com/players/h/hudsotr01/gamelog/1999
6,6,1999-04-01,23-019,LAC,@,DAL,L (-9),0,38:03,4,10,.400,3,5,.600,0,0,,1,0,1,7,0,0,1,1,11,9.8,+11,1999,hudsotr01,https://www.basketball-reference.com/players/h/hudsotr01/gamelog/1999
7,7,1999-04-03,23-021,LAC,@,SAS,L (-21),0,7:46,2,3,.667,1,2,.500,0,0,,0,0,0,1,0,0,1,3,5,2.2,-1,1999,hudsotr01,https://www.basketball-reference.com/players/h/hudsotr01/gamelog/1999
8,8,1999-04-04,23-022,LAC,@,DEN,L (-2),0,5:50,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0,-0.7,-7,1999,hudsotr01,https://www.basketball-reference.com/players/h/hudsotr01/gamelog/1999
9,9,1999-04-06,23-024,LAC,,PHO,L (-5),0,5:58,2,4,.500,0,0,,0,0,,0,0,0,1,0,0,1,0,4,1.7,+1,1999,hudsotr01,https://www.basketball-reference.com/players/h/hudsotr01/gamelog/1999
10,10,1999-04-08,23-026,LAC,,MIN,W (+8),0,0:33,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,+3,1999,hudsotr01,https://www.basketball-reference.com/players/h/hudsotr01/gamelog/1999
11,11,1999-04-10,23-028,LAC,,POR,L (-27),0,11:26,0,3,.000,0,1,.000,0,0,,0,0,0,0,1,0,3,1,0,-4.5,-15,1999,hudsotr01,https://www.basketball-reference.com/players/h/hudsotr01/gamelog/1999
12,,1999-04-11,23-029,LAC,@,POR,W (+6),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,1999,hudsotr01,https://www.basketball-reference.com/players/h/hudsotr01/gamelog/1999
13,12,1999-04-13,23-031,LAC,,NJN,W (+8),0,4:53,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-0.7,-9,1999,hudsotr01,https://www.basketball-reference.com/players/h/hudsotr01/gamelog/1999
14,13,1999-04-15,23-033,LAC,,UTA,L (-14),0,10:11,0,2,.000,0,0,,1,2,.500,0,1,1,1,0,0,0,1,1,-0.2,+4,1999,hudsotr01,https://www.basketball-reference.com/players/h/hudsotr01/gamelog/1999
15,14,1999-04-16,23-034,LAC,@,GSW,W (+3),0,11:54,3,5,.600,0,1,.000,0,0,,1,0,1,1,0,0,0,1,6,4.7,+5,1999,hudsotr01,https://www.basketball-reference.com/players/h/hudsotr01/gamelog/1999
