Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,session,player,gamelog_url
1,1,1988-03-24,27-303,UTA,,SAC,W (+20),0,2:00,0,0,,0,0,,0,0,,1,0,1,2,0,0,0,0,0,2.1,1988,hugheed01,https://www.basketball-reference.com/players/h/hugheed01/gamelog/1988
2,2,1988-03-26,27-305,UTA,,MIL,L (-2),0,1:00,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,1988,hugheed01,https://www.basketball-reference.com/players/h/hugheed01/gamelog/1988
3,3,1988-03-29,27-308,UTA,@,LAL,L (-11),0,3:00,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-0.4,1988,hugheed01,https://www.basketball-reference.com/players/h/hugheed01/gamelog/1988
4,4,1988-03-31,27-310,UTA,,GSW,W (+23),0,6:00,1,2,0.5,0,1,0.0,0,0,,0,0,0,1,0,0,0,0,2,1.7,1988,hugheed01,https://www.basketball-reference.com/players/h/hugheed01/gamelog/1988
5,5,1988-04-05,27-315,UTA,@,PHO,L (-5),0,10:00,2,5,0.4,0,2,0.0,2,2,1.0,1,0,1,2,0,0,1,1,6,4.0,1988,hugheed01,https://www.basketball-reference.com/players/h/hugheed01/gamelog/1988
6,6,1988-04-07,27-317,UTA,@,HOU,L (-6),0,2:00,1,1,1.0,1,1,1.0,0,0,,0,0,0,0,0,0,1,0,3,1.7,1988,hugheed01,https://www.basketball-reference.com/players/h/hugheed01/gamelog/1988
7,7,1988-04-08,27-318,UTA,@,DAL,L (-23),0,11:00,1,4,0.25,0,1,0.0,2,2,1.0,1,0,1,3,0,0,4,3,4,-0.8,1988,hugheed01,https://www.basketball-reference.com/players/h/hugheed01/gamelog/1988
8,8,1988-04-12,27-322,UTA,,LAC,W (+7),0,1:00,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,1988,hugheed01,https://www.basketball-reference.com/players/h/hugheed01/gamelog/1988
9,9,1988-04-14,27-324,UTA,,POR,L (-5),0,1:00,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,1988,hugheed01,https://www.basketball-reference.com/players/h/hugheed01/gamelog/1988
10,10,1988-04-16,27-326,UTA,,SAS,W (+25),0,4:00,0,1,0.0,0,1,0.0,2,2,1.0,0,1,1,0,0,0,0,0,2,1.6,1988,hugheed01,https://www.basketball-reference.com/players/h/hugheed01/gamelog/1988
11,11,1988-04-23,27-333,UTA,,HOU,W (+18),0,1:00,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,1988,hugheed01,https://www.basketball-reference.com/players/h/hugheed01/gamelog/1988
