Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,session,player,gamelog_url
1,1,2002-10-30,23-280,WAS,@,TOR,L (-6),1,39:21,5,14,.357,0,0,,2,2,1.000,1,4,5,4,1,0,2,4,12,6.3,-10,2003,hughela01,https://www.basketball-reference.com/players/h/hughela01/gamelog/2003
2,2,2002-10-31,23-281,WAS,,BOS,W (+45),1,15:45,0,2,.000,0,0,,0,0,,1,3,4,0,0,0,4,4,0,-5.4,0,2003,hughela01,https://www.basketball-reference.com/players/h/hughela01/gamelog/2003
3,3,2002-11-02,23-283,WAS,,NJN,L (-8),1,25:00,3,8,.375,0,0,,0,0,,1,1,2,1,0,0,2,3,6,0.1,-12,2003,hughela01,https://www.basketball-reference.com/players/h/hughela01/gamelog/2003
4,4,2002-11-05,23-286,WAS,@,MIN,L (-4),1,24:36,4,10,.400,0,0,,0,0,,4,2,6,2,1,0,3,2,8,4.6,-5,2003,hughela01,https://www.basketball-reference.com/players/h/hughela01/gamelog/2003
5,5,2002-11-06,23-287,WAS,,CLE,W (+7),1,34:30,6,15,.400,0,1,.000,1,2,.500,0,4,4,5,1,0,2,3,13,7.0,+3,2003,hughela01,https://www.basketball-reference.com/players/h/hughela01/gamelog/2003
6,6,2002-11-08,23-289,WAS,,LAL,W (+1),1,40:41,5,11,.455,0,0,,3,4,.750,0,5,5,6,1,0,0,2,13,12.8,+5,2003,hughela01,https://www.basketball-reference.com/players/h/hughela01/gamelog/2003
7,7,2002-11-09,23-290,WAS,@,CLE,W (+14),1,22:18,3,10,.300,0,0,,1,2,.500,1,1,2,3,3,1,0,2,7,6.8,+8,2003,hughela01,https://www.basketball-reference.com/players/h/hughela01/gamelog/2003
8,8,2002-11-12,23-293,WAS,,SEA,L (-6),1,41:39,9,14,.643,0,0,,1,2,.500,2,2,4,5,4,0,2,3,19,18.7,-4,2003,hughela01,https://www.basketball-reference.com/players/h/hughela01/gamelog/2003
9,9,2002-11-14,23-295,WAS,,UTA,W (+3),1,18:41,4,9,.444,0,0,,1,2,.500,0,1,1,1,1,0,3,1,9,2.5,-7,2003,hughela01,https://www.basketball-reference.com/players/h/hughela01/gamelog/2003
10,10,2002-11-16,23-297,WAS,,MIA,W (+30),1,30:22,5,8,.625,0,0,,4,4,1.000,0,7,7,1,1,0,2,1,14,11.8,+17,2003,hughela01,https://www.basketball-reference.com/players/h/hughela01/gamelog/2003
11,11,2002-11-17,23-298,WAS,@,PHI,L (-16),1,23:59,1,8,.125,0,0,,5,6,.833,0,1,1,1,1,2,3,2,7,1.0,-5,2003,hughela01,https://www.basketball-reference.com/players/h/hughela01/gamelog/2003
12,12,2002-11-22,23-303,WAS,@,HOU,L (-7),1,40:01,11,19,.579,0,1,.000,0,0,,0,6,6,3,1,0,1,5,22,15.0,-5,2003,hughela01,https://www.basketball-reference.com/players/h/hughela01/gamelog/2003
13,13,2002-11-23,23-304,WAS,@,MEM,L (-11),1,20:11,1,7,.143,0,0,,0,0,,1,1,2,1,0,0,1,1,2,-2.2,+3,2003,hughela01,https://www.basketball-reference.com/players/h/hughela01/gamelog/2003
14,,2002-11-26,23-307,WAS,,IND,L (-4),Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,2003,hughela01,https://www.basketball-reference.com/players/h/hughela01/gamelog/2003
15,14,2002-11-29,23-310,WAS,@,IND,L (-16),1,25:31,3,6,.500,1,1,1.000,1,2,.500,0,1,1,4,2,3,2,4,8,8.2,+7,2003,hughela01,https://www.basketball-reference.com/players/h/hughela01/gamelog/2003
16,15,2002-11-30,23-311,WAS,,PHI,L (-1),1,22:19,3,3,1.000,0,0,,0,0,,1,3,4,1,2,0,2,3,6,6.2,+5,2003,hughela01,https://www.basketball-reference.com/players/h/hughela01/gamelog/2003
17,16,2002-12-03,23-314,WAS,,MIL,W (+25),1,28:17,5,9,.556,0,0,,3,3,1.000,1,7,8,4,0,0,2,3,13,11.1,+11,2003,hughela01,https://www.basketball-reference.com/players/h/hughela01/gamelog/2003
18,17,2002-12-04,23-315,WAS,@,DET,W (+5),1,36:12,8,11,.727,1,2,.500,0,1,.000,2,8,10,2,1,0,2,0,17,16.3,+9,2003,hughela01,https://www.basketball-reference.com/players/h/hughela01/gamelog/2003
19,18,2002-12-06,23-317,WAS,@,ORL,L (-10),1,46:09,6,18,.333,1,2,.500,2,3,.667,4,7,11,2,2,0,0,4,15,11.1,-9,2003,hughela01,https://www.basketball-reference.com/players/h/hughela01/gamelog/2003
20,19,2002-12-07,23-318,WAS,,NYK,W (+3),1,31:44,8,10,.800,2,2,1.000,4,4,1.000,0,10,10,6,1,0,2,1,22,24.0,+1,2003,hughela01,https://www.basketball-reference.com/players/h/hughela01/gamelog/2003
21,20,2002-12-10,23-321,WAS,,POR,L (-19),1,43:38,8,17,.471,0,2,.000,1,2,.500,2,9,11,6,3,0,4,4,17,13.6,-15,2003,hughela01,https://www.basketball-reference.com/players/h/hughela01/gamelog/2003
22,21,2002-12-13,23-324,WAS,@,NJN,L (-14),1,39:47,9,14,.643,0,2,.000,1,2,.500,1,9,10,2,1,0,2,3,19,15.0,-6,2003,hughela01,https://www.basketball-reference.com/players/h/hughela01/gamelog/2003
23,22,2002-12-15,23-326,WAS,@,TOR,W (+13),1,34:16,7,13,.538,0,1,.000,0,0,,0,5,5,3,3,0,3,1,14,10.9,+16,2003,hughela01,https://www.basketball-reference.com/players/h/hughela01/gamelog/2003
24,23,2002-12-17,23-328,WAS,@,ATL,W (+10),1,32:54,5,11,.455,0,1,.000,10,12,.833,1,7,8,4,3,0,3,3,20,17.9,-5,2003,hughela01,https://www.basketball-reference.com/players/h/hughela01/gamelog/2003
25,24,2002-12-18,23-329,WAS,,MEM,W (+18),1,25:30,6,8,.750,0,0,,2,2,1.000,1,1,2,6,1,0,2,2,14,14.2,+10,2003,hughela01,https://www.basketball-reference.com/players/h/hughela01/gamelog/2003
26,25,2002-12-21,23-332,WAS,@,SAS,L (-11),1,35:27,2,7,.286,1,1,1.000,0,0,,0,5,5,3,0,0,0,1,5,4.1,-16,2003,hughela01,https://www.basketball-reference.com/players/h/hughela01/gamelog/2003
