Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,session,player,gamelog_url
1,1,2012-11-01,23-044,OKC,@,SAS,L (-2),1,31:02,2,7,.286,0,1,.000,0,0,,1,8,9,0,0,2,1,5,4,1.4,-8,2013,ibakase01,https://www.basketball-reference.com/players/i/ibakase01/gamelog/2013
2,2,2012-11-02,23-045,OKC,,POR,W (+14),1,26:40,3,11,.273,0,0,,1,2,.500,1,4,5,0,0,2,1,4,7,0.8,+3,2013,ibakase01,https://www.basketball-reference.com/players/i/ibakase01/gamelog/2013
3,3,2012-11-04,23-047,OKC,,ATL,L (-9),1,36:39,6,9,.667,0,1,.000,2,2,1.000,2,3,5,0,0,3,1,3,14,12.3,-4,2013,ibakase01,https://www.basketball-reference.com/players/i/ibakase01/gamelog/2013
4,4,2012-11-06,23-049,OKC,,TOR,W (+20),1,23:18,8,9,.889,0,0,,1,1,1.000,0,4,4,2,1,2,2,1,17,16.5,+14,2013,ibakase01,https://www.basketball-reference.com/players/i/ibakase01/gamelog/2013
5,5,2012-11-08,23-051,OKC,@,CHI,W (+6),1,36:52,8,15,.533,1,1,1.000,4,4,1.000,4,5,9,0,1,4,3,3,21,17.6,-2,2013,ibakase01,https://www.basketball-reference.com/players/i/ibakase01/gamelog/2013
6,6,2012-11-09,23-052,OKC,,DET,W (+11),1,35:26,9,13,.692,0,2,.000,7,8,.875,2,5,7,0,0,3,2,5,25,20.1,+3,2013,ibakase01,https://www.basketball-reference.com/players/i/ibakase01/gamelog/2013
7,7,2012-11-11,23-054,OKC,,CLE,W (+15),1,33:54,5,11,.455,0,2,.000,4,4,1.000,0,7,7,0,0,7,2,3,14,12.1,+20,2013,ibakase01,https://www.basketball-reference.com/players/i/ibakase01/gamelog/2013
8,8,2012-11-12,23-055,OKC,@,DET,W (+2),1,38:15,4,9,.444,0,0,,3,3,1.000,3,4,7,0,0,6,3,4,11,9.2,-1,2013,ibakase01,https://www.basketball-reference.com/players/i/ibakase01/gamelog/2013
9,9,2012-11-14,23-057,OKC,,MEM,L (-10),1,39:27,7,10,.700,0,1,.000,3,4,.750,2,6,8,0,1,4,2,2,17,16.6,-4,2013,ibakase01,https://www.basketball-reference.com/players/i/ibakase01/gamelog/2013
10,10,2012-11-16,23-059,OKC,@,NOH,W (+15),1,26:28,7,9,.778,0,0,,1,1,1.000,0,4,4,0,0,3,0,2,15,14.0,+16,2013,ibakase01,https://www.basketball-reference.com/players/i/ibakase01/gamelog/2013
