Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,session,player,gamelog_url
1,1,2013-10-30,29-275,GSW,,LAL,W (+31),1,27:49,3,7,.429,1,3,.333,0,0,,0,4,4,4,2,1,2,1,7,7.6,+28,2014,iguodan01,https://www.basketball-reference.com/players/i/iguodan01/gamelog/2014
2,2,2013-10-31,29-276,GSW,@,LAC,L (-11),1,42:49,5,8,.625,1,3,.333,3,6,.500,1,3,4,11,2,0,3,1,14,17.1,-7,2014,iguodan01,https://www.basketball-reference.com/players/i/iguodan01/gamelog/2014
3,3,2013-11-02,29-278,GSW,,SAC,W (+11),1,39:20,2,5,.400,1,3,.333,0,0,,1,5,6,5,0,1,2,2,5,5.9,+19,2014,iguodan01,https://www.basketball-reference.com/players/i/iguodan01/gamelog/2014
4,4,2013-11-04,29-280,GSW,@,PHI,W (+20),1,32:39,11,18,.611,7,11,.636,3,4,.750,1,2,3,3,3,1,1,2,32,28.7,+35,2014,iguodan01,https://www.basketball-reference.com/players/i/iguodan01/gamelog/2014
5,5,2013-11-06,29-282,GSW,@,MIN,W (+13),1,41:39,8,13,.615,1,3,.333,3,6,.500,1,2,3,6,3,0,3,5,20,16.4,+11,2014,iguodan01,https://www.basketball-reference.com/players/i/iguodan01/gamelog/2014
6,6,2013-11-08,29-284,GSW,@,SAS,L (-2),1,44:03,4,7,.571,0,2,.000,1,2,.500,0,6,6,2,4,0,6,0,9,6.5,+3,2014,iguodan01,https://www.basketball-reference.com/players/i/iguodan01/gamelog/2014
7,7,2013-11-09,29-285,GSW,@,MEM,L (-18),1,33:02,8,10,.800,2,4,.500,1,5,.200,1,4,5,4,1,0,0,2,19,18.5,-15,2014,iguodan01,https://www.basketball-reference.com/players/i/iguodan01/gamelog/2014
8,8,2013-11-12,29-288,GSW,,DET,W (+18),1,31:57,2,6,.333,2,3,.667,2,2,1.000,1,2,3,11,2,0,3,2,8,11.8,+26,2014,iguodan01,https://www.basketball-reference.com/players/i/iguodan01/gamelog/2014
9,9,2013-11-14,29-290,GSW,,OKC,W (+1),1,37:25,5,6,.833,2,2,1.000,2,2,1.000,0,1,1,9,1,1,0,5,14,18.1,+5,2014,iguodan01,https://www.basketball-reference.com/players/i/iguodan01/gamelog/2014
10,10,2013-11-16,29-292,GSW,,UTA,W (+14),1,37:51,6,8,.750,3,5,.600,1,2,.500,0,6,6,3,4,0,2,3,16,17.1,+14,2014,iguodan01,https://www.basketball-reference.com/players/i/iguodan01/gamelog/2014
11,11,2013-11-18,29-294,GSW,@,UTA,W (+11),1,38:16,2,4,.500,2,3,.667,5,6,.833,0,7,7,4,1,0,0,1,11,14.1,+10,2014,iguodan01,https://www.basketball-reference.com/players/i/iguodan01/gamelog/2014
12,12,2013-11-20,29-296,GSW,,MEM,L (-7),1,47:45,3,14,.214,0,4,.000,1,2,.500,0,4,4,14,2,0,4,2,7,6.2,-4,2014,iguodan01,https://www.basketball-reference.com/players/i/iguodan01/gamelog/2014
13,13,2013-11-22,29-298,GSW,@,LAL,L (-7),1,27:56,1,4,.250,1,2,.500,3,4,.750,1,2,3,6,0,0,6,1,6,2.3,+5,2014,iguodan01,https://www.basketball-reference.com/players/i/iguodan01/gamelog/2014
14,,2013-11-23,29-299,GSW,,POR,L (-12),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2014,iguodan01,https://www.basketball-reference.com/players/i/iguodan01/gamelog/2014
15,,2013-11-26,29-302,GSW,@,NOP,W (+1),Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,2014,iguodan01,https://www.basketball-reference.com/players/i/iguodan01/gamelog/2014
16,,2013-11-27,29-303,GSW,@,DAL,L (-4),Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,2014,iguodan01,https://www.basketball-reference.com/players/i/iguodan01/gamelog/2014
17,,2013-11-29,29-305,GSW,@,OKC,L (-1),Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,2014,iguodan01,https://www.basketball-reference.com/players/i/iguodan01/gamelog/2014
18,,2013-12-01,29-307,GSW,@,SAC,W (+2),Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,2014,iguodan01,https://www.basketball-reference.com/players/i/iguodan01/gamelog/2014
19,,2013-12-03,29-309,GSW,,TOR,W (+9),Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,2014,iguodan01,https://www.basketball-reference.com/players/i/iguodan01/gamelog/2014
20,,2013-12-06,29-312,GSW,@,HOU,L (-22),Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,2014,iguodan01,https://www.basketball-reference.com/players/i/iguodan01/gamelog/2014
21,,2013-12-07,29-313,GSW,@,MEM,W (+26),Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,2014,iguodan01,https://www.basketball-reference.com/players/i/iguodan01/gamelog/2014
22,,2013-12-09,29-315,GSW,@,CHA,L (-4),Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,2014,iguodan01,https://www.basketball-reference.com/players/i/iguodan01/gamelog/2014
23,,2013-12-11,29-317,GSW,,DAL,W (+2),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2014,iguodan01,https://www.basketball-reference.com/players/i/iguodan01/gamelog/2014
24,,2013-12-13,29-319,GSW,,HOU,L (-4),Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,2014,iguodan01,https://www.basketball-reference.com/players/i/iguodan01/gamelog/2014
25,,2013-12-15,29-321,GSW,@,PHO,L (-4),Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,2014,iguodan01,https://www.basketball-reference.com/players/i/iguodan01/gamelog/2014
26,14,2013-12-17,29-323,GSW,,NOP,W (+11),1,17:23,1,4,.250,0,2,.000,0,0,,0,0,0,3,0,0,1,3,2,-0.5,+20,2014,iguodan01,https://www.basketball-reference.com/players/i/iguodan01/gamelog/2014
27,15,2013-12-19,29-325,GSW,,SAS,L (-2),1,31:02,3,4,.750,0,1,.000,0,0,,1,4,5,2,2,0,4,1,6,5.3,-3,2014,iguodan01,https://www.basketball-reference.com/players/i/iguodan01/gamelog/2014
28,16,2013-12-21,29-327,GSW,,LAL,W (+19),1,24:27,1,6,.167,0,3,.000,1,2,.500,1,1,2,1,2,0,3,4,3,-2.1,+8,2014,iguodan01,https://www.basketball-reference.com/players/i/iguodan01/gamelog/2014
29,17,2013-12-23,29-329,GSW,@,DEN,W (+8),1,30:51,5,10,.500,2,4,.500,0,0,,1,5,6,2,0,1,3,0,12,8.3,+11,2014,iguodan01,https://www.basketball-reference.com/players/i/iguodan01/gamelog/2014
30,18,2013-12-25,29-331,GSW,,LAC,W (+2),1,33:19,3,5,.600,3,3,1.000,0,2,.000,2,2,4,4,2,0,1,0,9,11.7,+13,2014,iguodan01,https://www.basketball-reference.com/players/i/iguodan01/gamelog/2014
31,19,2013-12-27,29-333,GSW,,PHO,W (+29),1,25:00,3,4,.750,2,2,1.000,0,0,,1,2,3,0,0,0,2,0,8,5.7,+15,2014,iguodan01,https://www.basketball-reference.com/players/i/iguodan01/gamelog/2014
32,20,2013-12-29,29-335,GSW,@,CLE,W (+4),1,39:25,3,7,.429,0,3,.000,2,3,.667,1,6,7,10,3,2,2,3,8,14.6,+3,2014,iguodan01,https://www.basketball-reference.com/players/i/iguodan01/gamelog/2014
33,21,2013-12-31,29-337,GSW,@,ORL,W (+13),1,21:33,3,6,.500,2,5,.400,0,0,,0,2,2,2,0,0,1,0,8,6.0,+22,2014,iguodan01,https://www.basketball-reference.com/players/i/iguodan01/gamelog/2014
34,22,2014-01-02,29-339,GSW,@,MIA,W (+9),1,33:51,3,6,.500,2,2,1.000,0,0,,0,6,6,6,2,0,3,2,8,9.2,+16,2014,iguodan01,https://www.basketball-reference.com/players/i/iguodan01/gamelog/2014
35,23,2014-01-03,29-340,GSW,@,ATL,W (+1),1,26:48,3,5,.600,1,3,.333,0,0,,1,2,3,5,1,0,0,0,7,10.5,+14,2014,iguodan01,https://www.basketball-reference.com/players/i/iguodan01/gamelog/2014
36,24,2014-01-05,29-342,GSW,@,WAS,W (+16),1,28:03,3,5,.600,0,0,,3,4,.750,0,4,4,3,1,1,1,0,9,10.3,+26,2014,iguodan01,https://www.basketball-reference.com/players/i/iguodan01/gamelog/2014
37,25,2014-01-07,29-344,GSW,@,MIL,W (+21),1,29:04,3,3,1.000,3,3,1.000,2,4,.500,0,7,7,5,0,0,0,2,11,14.1,+13,2014,iguodan01,https://www.basketball-reference.com/players/i/iguodan01/gamelog/2014
38,26,2014-01-08,29-345,GSW,@,BRK,L (-4),1,30:16,1,5,.200,1,3,.333,0,0,,1,7,8,3,1,1,1,4,3,3.9,+1,2014,iguodan01,https://www.basketball-reference.com/players/i/iguodan01/gamelog/2014
39,27,2014-01-10,29-347,GSW,,BOS,W (+2),1,38:07,9,14,.643,2,5,.400,2,3,.667,1,4,5,7,3,0,0,1,22,24.8,+10,2014,iguodan01,https://www.basketball-reference.com/players/i/iguodan01/gamelog/2014
40,28,2014-01-15,29-352,GSW,,DEN,L (-7),1,36:24,1,7,.143,0,4,.000,1,2,.500,0,2,2,6,3,0,1,1,3,4.5,+2,2014,iguodan01,https://www.basketball-reference.com/players/i/iguodan01/gamelog/2014
41,29,2014-01-17,29-354,GSW,@,OKC,L (-6),1,29:33,1,8,.125,0,3,.000,0,2,.000,2,1,3,2,2,0,0,0,2,1.1,+3,2014,iguodan01,https://www.basketball-reference.com/players/i/iguodan01/gamelog/2014
