Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,session,player,gamelog_url
1,1,2013-10-30,30-002,CLE,,BRK,W (+4),0,22:30,3,6,.500,1,1,1.000,5,6,.833,0,3,3,3,1,0,1,1,12,11.2,+1,2014,jackja01,https://www.basketball-reference.com/players/j/jackja01/gamelog/2014
2,2,2013-11-01,30-004,CLE,@,CHA,L (-6),0,27:40,7,13,.538,1,3,.333,0,0,,0,3,3,3,0,0,3,0,15,8.7,-5,2014,jackja01,https://www.basketball-reference.com/players/j/jackja01/gamelog/2014
3,3,2013-11-02,30-005,CLE,@,IND,L (-15),0,24:28,4,8,.500,0,2,.000,0,0,,0,2,2,3,2,0,4,3,8,3.5,-15,2014,jackja01,https://www.basketball-reference.com/players/j/jackja01/gamelog/2014
4,4,2013-11-04,30-007,CLE,,MIN,W (+1),0,26:49,1,7,.143,0,2,.000,0,0,,0,4,4,5,0,1,3,3,2,-1.3,-3,2014,jackja01,https://www.basketball-reference.com/players/j/jackja01/gamelog/2014
5,5,2013-11-06,30-009,CLE,@,MIL,L (-5),0,18:54,3,8,.375,0,1,.000,0,0,,0,0,0,2,0,0,2,3,6,-0.2,-19,2014,jackja01,https://www.basketball-reference.com/players/j/jackja01/gamelog/2014
6,6,2013-11-08,30-011,CLE,@,PHI,L (-15),0,25:09,3,10,.300,3,4,.750,4,4,1.000,1,3,4,3,2,0,3,1,13,9.5,-6,2014,jackja01,https://www.basketball-reference.com/players/j/jackja01/gamelog/2014
7,7,2013-11-09,30-012,CLE,,PHI,W (+2),0,36:36,7,14,.500,3,6,.500,3,4,.750,1,3,4,5,3,3,3,1,20,19.4,+11,2014,jackja01,https://www.basketball-reference.com/players/j/jackja01/gamelog/2014
8,8,2013-11-11,30-014,CLE,@,CHI,L (-15),0,25:12,0,6,.000,0,1,.000,2,2,1.000,0,0,0,1,1,0,1,1,2,-1.9,-3,2014,jackja01,https://www.basketball-reference.com/players/j/jackja01/gamelog/2014
9,9,2013-11-13,30-016,CLE,@,MIN,L (-29),0,23:30,3,9,.333,0,1,.000,0,0,,0,1,1,5,0,0,1,1,6,3.3,-30,2014,jackja01,https://www.basketball-reference.com/players/j/jackja01/gamelog/2014
10,10,2013-11-15,30-018,CLE,,CHA,L (-6),0,23:49,5,9,.556,0,1,.000,1,2,.500,0,4,4,3,2,1,2,0,11,10.3,-10,2014,jackja01,https://www.basketball-reference.com/players/j/jackja01/gamelog/2014
11,11,2013-11-16,30-019,CLE,@,WAS,W (+7),0,33:39,5,13,.385,1,4,.250,2,2,1.000,1,4,5,4,1,0,5,1,13,6.2,+8,2014,jackja01,https://www.basketball-reference.com/players/j/jackja01/gamelog/2014
12,12,2013-11-20,30-023,CLE,,WAS,L (-7),0,28:23,6,10,.600,2,4,.500,0,0,,0,1,1,6,1,0,1,0,14,13.9,+4,2014,jackja01,https://www.basketball-reference.com/players/j/jackja01/gamelog/2014
13,13,2013-11-22,30-025,CLE,@,NOP,L (-4),0,32:42,9,13,.692,1,3,.333,0,0,,0,1,1,4,0,0,3,1,19,13.2,-7,2014,jackja01,https://www.basketball-reference.com/players/j/jackja01/gamelog/2014
14,14,2013-11-23,30-026,CLE,@,SAS,L (-30),0,17:22,0,3,.000,0,0,,0,0,,0,0,0,5,0,0,0,1,0,1.0,-22,2014,jackja01,https://www.basketball-reference.com/players/j/jackja01/gamelog/2014
15,15,2013-11-27,30-030,CLE,,MIA,L (-11),0,37:13,3,6,.500,2,4,.500,0,0,,1,4,5,6,1,1,5,1,8,7.4,-7,2014,jackja01,https://www.basketball-reference.com/players/j/jackja01/gamelog/2014
16,16,2013-11-29,30-032,CLE,@,BOS,L (-17),0,21:58,4,9,.444,0,2,.000,1,1,1.000,0,1,1,2,0,0,1,2,9,4.2,-3,2014,jackja01,https://www.basketball-reference.com/players/j/jackja01/gamelog/2014
17,17,2013-11-30,30-033,CLE,,CHI,W (+4),0,23:50,2,6,.333,1,2,.500,0,0,,0,1,1,3,0,0,1,2,5,2.2,-12,2014,jackja01,https://www.basketball-reference.com/players/j/jackja01/gamelog/2014
18,18,2013-12-04,30-037,CLE,,DEN,W (+10),0,32:05,2,7,.286,1,2,.500,1,1,1.000,0,2,2,4,1,3,2,2,6,5.6,+13,2014,jackja01,https://www.basketball-reference.com/players/j/jackja01/gamelog/2014
19,19,2013-12-06,30-039,CLE,@,ATL,L (-19),0,28:56,4,10,.400,2,4,.500,2,2,1.000,0,3,3,3,1,0,1,2,12,8.8,-6,2014,jackja01,https://www.basketball-reference.com/players/j/jackja01/gamelog/2014
20,20,2013-12-07,30-040,CLE,,LAC,W (+6),0,31:58,3,7,.429,1,2,.500,4,5,.800,0,9,9,3,1,0,2,3,11,9.5,+1,2014,jackja01,https://www.basketball-reference.com/players/j/jackja01/gamelog/2014
21,21,2013-12-10,30-043,CLE,,NYK,W (+15),0,24:05,6,8,.750,3,5,.600,2,3,.667,0,0,0,1,0,0,2,0,17,12.1,-13,2014,jackja01,https://www.basketball-reference.com/players/j/jackja01/gamelog/2014
22,22,2013-12-13,30-046,CLE,@,ORL,W (+9),0,20:13,1,5,.200,0,1,.000,3,3,1.000,0,4,4,6,0,0,1,1,5,5.9,+7,2014,jackja01,https://www.basketball-reference.com/players/j/jackja01/gamelog/2014
23,23,2013-12-14,30-047,CLE,@,MIA,L (-7),0,21:42,6,11,.545,0,3,.000,2,2,1.000,1,4,5,4,1,0,1,0,14,13.4,-1,2014,jackja01,https://www.basketball-reference.com/players/j/jackja01/gamelog/2014
24,24,2013-12-17,30-050,CLE,,POR,L (-3),0,27:43,5,14,.357,1,1,1.000,1,1,1.000,0,5,5,4,1,0,0,2,12,8.7,+9,2014,jackja01,https://www.basketball-reference.com/players/j/jackja01/gamelog/2014
25,25,2013-12-20,30-053,CLE,,MIL,W (+3),0,37:38,6,17,.353,2,4,.500,3,3,1.000,1,3,4,5,0,0,0,1,17,12.2,+1,2014,jackja01,https://www.basketball-reference.com/players/j/jackja01/gamelog/2014
26,26,2013-12-21,30-054,CLE,@,CHI,L (-16),0,30:32,4,13,.308,1,3,.333,2,2,1.000,0,3,3,6,0,0,2,1,11,6.2,-5,2014,jackja01,https://www.basketball-reference.com/players/j/jackja01/gamelog/2014
27,27,2013-12-23,30-056,CLE,,DET,L (-23),0,20:13,0,6,.000,0,2,.000,0,0,,0,1,1,1,0,0,1,2,0,-5.0,-24,2014,jackja01,https://www.basketball-reference.com/players/j/jackja01/gamelog/2014
28,28,2013-12-26,30-059,CLE,,ATL,L (-2),0,32:21,2,5,.400,0,1,.000,5,8,.625,1,4,5,3,0,0,2,2,9,6.3,0,2014,jackja01,https://www.basketball-reference.com/players/j/jackja01/gamelog/2014
29,29,2013-12-28,30-061,CLE,@,BOS,L (-3),0,30:56,5,8,.625,2,2,1.000,2,2,1.000,0,1,1,4,0,0,0,3,14,12.3,+1,2014,jackja01,https://www.basketball-reference.com/players/j/jackja01/gamelog/2014
30,30,2013-12-29,30-062,CLE,,GSW,L (-4),0,34:08,5,11,.455,2,3,.667,0,0,,0,4,4,4,2,1,2,4,12,9.4,-9,2014,jackja01,https://www.basketball-reference.com/players/j/jackja01/gamelog/2014
31,31,2013-12-31,30-064,CLE,@,IND,L (-15),0,24:45,4,9,.444,0,2,.000,0,0,,0,3,3,6,0,0,2,3,8,5.2,-17,2014,jackja01,https://www.basketball-reference.com/players/j/jackja01/gamelog/2014
32,32,2014-01-02,30-066,CLE,,ORL,W (+6),1,42:02,5,16,.313,1,2,.500,3,3,1.000,1,6,7,7,0,0,1,3,14,10.0,+12,2014,jackja01,https://www.basketball-reference.com/players/j/jackja01/gamelog/2014
33,33,2014-01-04,30-068,CLE,@,BRK,L (-7),1,38:25,1,8,.125,0,1,.000,0,0,,1,3,4,7,0,0,1,2,2,1.5,-9,2014,jackja01,https://www.basketball-reference.com/players/j/jackja01/gamelog/2014
34,,2014-01-05,30-069,CLE,,IND,L (-4),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2014,jackja01,https://www.basketball-reference.com/players/j/jackja01/gamelog/2014
35,,2014-01-07,30-071,CLE,,PHI,W (+18),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2014,jackja01,https://www.basketball-reference.com/players/j/jackja01/gamelog/2014
36,34,2014-01-10,30-074,CLE,@,UTA,W (+11),0,25:57,5,6,.833,1,2,.500,1,1,1.000,0,0,0,2,0,0,0,1,12,10.8,+1,2014,jackja01,https://www.basketball-reference.com/players/j/jackja01/gamelog/2014
37,35,2014-01-12,30-076,CLE,@,SAC,L (-44),0,18:50,1,6,.167,0,2,.000,0,0,,0,1,1,2,1,0,3,4,2,-3.7,-28,2014,jackja01,https://www.basketball-reference.com/players/j/jackja01/gamelog/2014
38,36,2014-01-14,30-078,CLE,@,LAL,W (+2),0,18:28,1,5,.200,0,1,.000,2,2,1.000,0,2,2,5,1,0,1,1,4,4.6,-8,2014,jackja01,https://www.basketball-reference.com/players/j/jackja01/gamelog/2014
39,37,2014-01-15,30-079,CLE,@,POR,L (-12),0,12:21,1,3,.333,1,1,1.000,0,0,,0,2,2,3,0,0,0,0,3,4.0,-3,2014,jackja01,https://www.basketball-reference.com/players/j/jackja01/gamelog/2014
40,38,2014-01-17,30-081,CLE,@,DEN,W (+8),0,14:48,5,7,.714,0,1,.000,3,3,1.000,0,4,4,1,1,0,1,2,13,11.2,-1,2014,jackja01,https://www.basketball-reference.com/players/j/jackja01/gamelog/2014
41,39,2014-01-20,30-084,CLE,,DAL,L (-5),0,21:31,2,4,.500,1,2,.500,1,2,.500,0,2,2,2,0,0,2,1,6,3.2,-7,2014,jackja01,https://www.basketball-reference.com/players/j/jackja01/gamelog/2014
42,40,2014-01-22,30-086,CLE,,CHI,L (-11),0,22:00,0,4,.000,0,0,,2,2,1.000,0,3,3,5,0,0,0,1,2,3.2,+11,2014,jackja01,https://www.basketball-reference.com/players/j/jackja01/gamelog/2014
43,41,2014-01-24,30-088,CLE,,MIL,W (+15),0,22:26,3,8,.375,1,3,.333,3,3,1.000,0,0,0,3,0,0,0,1,10,7.3,0,2014,jackja01,https://www.basketball-reference.com/players/j/jackja01/gamelog/2014
44,42,2014-01-26,30-090,CLE,,PHO,L (-9),0,28:10,3,8,.375,2,2,1.000,0,0,,1,2,3,2,1,1,0,1,8,7.6,0,2014,jackja01,https://www.basketball-reference.com/players/j/jackja01/gamelog/2014
45,43,2014-01-28,30-092,CLE,,NOP,L (-11),0,20:39,0,4,.000,0,1,.000,2,2,1.000,0,3,3,3,2,0,0,0,2,4.2,+12,2014,jackja01,https://www.basketball-reference.com/players/j/jackja01/gamelog/2014
46,44,2014-01-30,30-094,CLE,@,NYK,L (-31),0,20:01,1,8,.125,1,3,.333,1,2,.500,0,0,0,1,2,0,3,1,4,-2.3,-23,2014,jackja01,https://www.basketball-reference.com/players/j/jackja01/gamelog/2014
47,45,2014-02-01,30-096,CLE,@,HOU,L (-14),1,30:59,3,9,.333,1,6,.167,0,0,,0,0,0,6,0,0,1,2,7,4.3,-16,2014,jackja01,https://www.basketball-reference.com/players/j/jackja01/gamelog/2014
48,46,2014-02-03,30-098,CLE,@,DAL,L (-17),1,39:42,5,7,.714,1,2,.500,1,2,.500,0,3,3,8,0,0,3,3,12,11.0,-12,2014,jackja01,https://www.basketball-reference.com/players/j/jackja01/gamelog/2014
49,47,2014-02-05,30-100,CLE,,LAL,L (-11),1,17:27,2,5,.400,0,2,.000,3,4,.750,2,2,4,1,0,1,1,2,7,5.5,-21,2014,jackja01,https://www.basketball-reference.com/players/j/jackja01/gamelog/2014
50,48,2014-02-07,30-102,CLE,@,WAS,W (+2),1,12:15,0,3,.000,0,0,,0,2,.000,0,0,0,0,0,0,0,0,0,-2.9,+3,2014,jackja01,https://www.basketball-reference.com/players/j/jackja01/gamelog/2014
