Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,session,player,gamelog_url
1,,2000-10-31,25-289,GSW,,PHO,W (+2),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2001,jacksma02,https://www.basketball-reference.com/players/j/jacksma02/gamelog/2001
2,1,2000-11-02,25-291,GSW,@,DEN,L (-4),0,6:49,1,3,.333,0,0,,0,0,,0,0,0,1,0,0,2,1,2,-1.4,-4,2001,jacksma02,https://www.basketball-reference.com/players/j/jacksma02/gamelog/2001
3,,2000-11-04,25-293,GSW,,SAS,L (-12),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2001,jacksma02,https://www.basketball-reference.com/players/j/jacksma02/gamelog/2001
4,2,2000-11-08,25-297,GSW,@,SAC,L (-31),0,12:00,2,5,.400,0,0,,0,0,,0,4,4,0,0,0,1,1,4,1.1,-5,2001,jacksma02,https://www.basketball-reference.com/players/j/jacksma02/gamelog/2001
5,3,2000-11-10,25-299,GSW,,SAC,L (-7),0,10:41,4,7,.571,0,0,,1,2,.500,1,0,1,0,0,0,1,2,9,4.2,-14,2001,jacksma02,https://www.basketball-reference.com/players/j/jacksma02/gamelog/2001
6,,2000-11-12,25-301,GSW,,ORL,L (-6),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2001,jacksma02,https://www.basketball-reference.com/players/j/jacksma02/gamelog/2001
7,4,2000-11-14,25-303,GSW,@,CLE,L (-10),0,12:13,1,5,.200,0,0,,0,0,,0,0,0,1,0,0,0,2,2,-1.2,-2,2001,jacksma02,https://www.basketball-reference.com/players/j/jacksma02/gamelog/2001
8,5,2000-11-15,25-304,GSW,@,MIN,L (-2),0,4:04,0,1,.000,0,0,,0,0,,0,2,2,0,0,1,0,0,0,0.6,-4,2001,jacksma02,https://www.basketball-reference.com/players/j/jacksma02/gamelog/2001
9,6,2000-11-17,25-306,GSW,@,IND,W (+2),0,2:14,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,0,0,0.3,0,2001,jacksma02,https://www.basketball-reference.com/players/j/jacksma02/gamelog/2001
10,,2000-11-19,25-308,GSW,@,NYK,L (-17),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2001,jacksma02,https://www.basketball-reference.com/players/j/jacksma02/gamelog/2001
11,,2000-11-21,25-310,GSW,,CHI,W (+12),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2001,jacksma02,https://www.basketball-reference.com/players/j/jacksma02/gamelog/2001
12,7,2000-11-22,25-311,GSW,@,LAL,L (-20),0,8:57,1,1,1.000,0,0,,0,0,,0,1,1,0,1,0,2,3,2,-0.2,-11,2001,jacksma02,https://www.basketball-reference.com/players/j/jacksma02/gamelog/2001
13,,2000-11-24,25-313,GSW,@,PHO,L (-6),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2001,jacksma02,https://www.basketball-reference.com/players/j/jacksma02/gamelog/2001
14,8,2000-11-25,25-314,GSW,,MIN,W (+21),0,4:08,2,3,.667,0,0,,0,0,,1,0,1,0,0,0,0,2,4,2.6,0,2001,jacksma02,https://www.basketball-reference.com/players/j/jacksma02/gamelog/2001
15,9,2000-11-29,25-318,GSW,@,LAC,L (-23),0,5:32,0,1,.000,0,0,,2,2,1.000,1,0,1,0,0,0,2,0,2,0.0,-9,2001,jacksma02,https://www.basketball-reference.com/players/j/jacksma02/gamelog/2001
16,,2000-11-30,25-319,GSW,,IND,W (+4),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2001,jacksma02,https://www.basketball-reference.com/players/j/jacksma02/gamelog/2001
17,10,2000-12-02,25-321,GSW,,DAL,L (-19),0,16:54,4,8,.500,1,1,1.000,0,0,,1,5,6,1,0,0,1,4,9,5.3,-1,2001,jacksma02,https://www.basketball-reference.com/players/j/jacksma02/gamelog/2001
18,11,2000-12-03,25-322,GSW,@,SEA,L (-16),0,8:10,0,2,.000,0,0,,0,0,,1,0,1,1,0,0,1,3,0,-2.2,-10,2001,jacksma02,https://www.basketball-reference.com/players/j/jacksma02/gamelog/2001
19,12,2000-12-06,25-325,GSW,,LAL,W (+3),0,18:09,2,8,.250,0,0,,2,2,1.000,1,2,3,0,0,2,0,4,6,2.3,+1,2001,jacksma02,https://www.basketball-reference.com/players/j/jacksma02/gamelog/2001
20,13,2000-12-08,25-327,GSW,,TOR,L (-16),1,34:49,5,10,.500,0,0,,1,2,.500,3,3,6,0,1,2,0,3,11,9.8,-2,2001,jacksma02,https://www.basketball-reference.com/players/j/jacksma02/gamelog/2001
21,14,2000-12-09,25-328,GSW,@,UTA,L (-11),1,37:44,9,13,.692,0,1,.000,2,2,1.000,3,3,6,1,0,0,2,3,20,15.0,-10,2001,jacksma02,https://www.basketball-reference.com/players/j/jacksma02/gamelog/2001
22,15,2000-12-12,25-331,GSW,,POR,L (-8),1,39:29,11,15,.733,1,2,.500,4,5,.800,4,3,7,1,0,0,3,5,27,19.9,-6,2001,jacksma02,https://www.basketball-reference.com/players/j/jacksma02/gamelog/2001
23,16,2000-12-14,25-333,GSW,,HOU,L (-3),1,43:57,5,10,.500,0,3,.000,5,5,1.000,4,6,10,2,0,1,2,2,15,13.9,0,2001,jacksma02,https://www.basketball-reference.com/players/j/jacksma02/gamelog/2001
24,17,2000-12-16,25-335,GSW,,MIA,L (-8),1,43:44,12,14,.857,0,1,.000,2,2,1.000,2,8,10,1,2,2,1,0,26,27.9,-8,2001,jacksma02,https://www.basketball-reference.com/players/j/jacksma02/gamelog/2001
25,18,2000-12-19,25-338,GSW,,MIN,W (+21),1,42:45,11,17,.647,1,2,.500,8,11,.727,4,6,10,2,3,5,3,3,31,30.6,+10,2001,jacksma02,https://www.basketball-reference.com/players/j/jacksma02/gamelog/2001
26,19,2000-12-22,25-341,GSW,@,SAS,L (-18),1,40:25,4,16,.250,0,0,,6,7,.857,7,6,13,2,0,2,2,2,14,10.7,-16,2001,jacksma02,https://www.basketball-reference.com/players/j/jacksma02/gamelog/2001
27,20,2000-12-23,25-342,GSW,@,HOU,W (+8),1,44:30,4,10,.400,0,0,,5,6,.833,5,8,13,0,2,0,3,3,13,10.9,+12,2001,jacksma02,https://www.basketball-reference.com/players/j/jacksma02/gamelog/2001
28,21,2000-12-27,25-346,GSW,,PHI,L (-8),1,34:16,2,5,.400,0,1,.000,0,0,,1,5,6,0,0,1,3,3,4,0.0,-22,2001,jacksma02,https://www.basketball-reference.com/players/j/jacksma02/gamelog/2001
