Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,session,player,gamelog_url
1,1,1977-10-18,28-304,NJN,@,DET,L (-17),1,36:00,3,9,.333,7,8,.875,,,10,1,,,,4,13,,1978,johnsge02,https://www.basketball-reference.com/players/j/johnsge02/gamelog/1978
2,2,1977-10-21,28-307,NJN,,NOJ,L (-8),1,17:00,0,4,.000,0,0,,,,1,0,,,,4,0,,1978,johnsge02,https://www.basketball-reference.com/players/j/johnsge02/gamelog/1978
3,3,1977-10-22,28-308,NJN,@,BUF,L (-5),1,25:00,3,7,.429,0,0,,,,7,0,,,,0,6,,1978,johnsge02,https://www.basketball-reference.com/players/j/johnsge02/gamelog/1978
4,4,1977-10-26,28-312,NJN,,ATL,L (-3),1,35:00,2,6,.333,3,3,1.000,,,12,3,,10,,6,7,,1978,johnsge02,https://www.basketball-reference.com/players/j/johnsge02/gamelog/1978
5,5,1977-10-28,28-314,NJN,,BOS,W (+7),1,38:00,2,7,.286,4,8,.500,,,8,3,,,,4,8,,1978,johnsge02,https://www.basketball-reference.com/players/j/johnsge02/gamelog/1978
6,6,1977-11-02,28-319,NJN,,LAL,L (-5),1,44:00,4,10,.400,0,0,,5,11,16,6,1,8,6,2,8,13.4,1978,johnsge02,https://www.basketball-reference.com/players/j/johnsge02/gamelog/1978
7,7,1977-11-04,28-321,NJN,,PHI,L (-3),1,36:00,3,12,.250,3,6,.500,,,15,1,,,,6,9,,1978,johnsge02,https://www.basketball-reference.com/players/j/johnsge02/gamelog/1978
8,8,1977-11-05,28-322,NJN,@,CLE,L (-12),1,27:00,1,7,.143,2,2,1.000,4,9,13,2,0,4,5,4,4,2.6,1978,johnsge02,https://www.basketball-reference.com/players/j/johnsge02/gamelog/1978
9,9,1977-11-09,28-326,NJN,@,PHI,L (-23),1,26:00,9,14,.643,2,2,1.000,,,7,0,,,,6,20,,1978,johnsge02,https://www.basketball-reference.com/players/j/johnsge02/gamelog/1978
10,10,1977-11-11,28-328,NJN,,CHI,W (+2),1,16:00,0,7,.000,0,0,,1,1,2,1,1,1,0,6,0,-3.9,1978,johnsge02,https://www.basketball-reference.com/players/j/johnsge02/gamelog/1978
11,11,1977-11-12,28-329,NJN,@,NYK,L (-11),1,41:00,5,15,.333,3,5,.600,,,14,1,,,,4,13,,1978,johnsge02,https://www.basketball-reference.com/players/j/johnsge02/gamelog/1978
12,12,1977-11-16,28-333,NJN,,MIL,L (-10),1,28:00,2,8,.250,0,0,,,,5,2,0,5,,3,4,,1978,johnsge02,https://www.basketball-reference.com/players/j/johnsge02/gamelog/1978
13,13,1977-11-18,28-335,NJN,,IND,L (-8),1,27:00,2,8,.250,0,0,,,,10,1,,2,,4,4,,1978,johnsge02,https://www.basketball-reference.com/players/j/johnsge02/gamelog/1978
14,14,1977-11-19,28-336,NJN,@,ATL,L (-15),1,23:00,2,5,.400,0,0,,,,9,1,,,,6,4,,1978,johnsge02,https://www.basketball-reference.com/players/j/johnsge02/gamelog/1978
15,15,1977-11-20,28-337,NJN,,DEN,L (-7),0,24:00,2,5,.400,4,5,.800,3,6,9,2,1,7,2,3,8,12.9,1978,johnsge02,https://www.basketball-reference.com/players/j/johnsge02/gamelog/1978
16,16,1977-11-23,28-340,NJN,@,SAS,L (-13),1,11:00,2,5,.400,0,0,,,,2,1,0,1,0,1,4,,1978,johnsge02,https://www.basketball-reference.com/players/j/johnsge02/gamelog/1978
17,17,1977-11-25,28-342,NJN,@,LAL,L (-12),1,16:00,3,5,.600,0,0,,,,2,0,,,,6,6,,1978,johnsge02,https://www.basketball-reference.com/players/j/johnsge02/gamelog/1978
18,18,1977-11-26,28-343,NJN,@,POR,L (-12),1,38:00,4,10,.400,3,5,.600,3,13,16,2,1,6,0,4,11,15.8,1978,johnsge02,https://www.basketball-reference.com/players/j/johnsge02/gamelog/1978
19,19,1977-11-27,28-344,NJN,@,SEA,W (+3),1,35:00,5,6,.833,1,2,.500,1,14,15,0,,8,,5,11,,1978,johnsge02,https://www.basketball-reference.com/players/j/johnsge02/gamelog/1978
20,20,1977-11-29,28-346,NJN,@,GSW,L (-9),1,34:00,2,5,.400,3,4,.750,4,7,11,1,1,5,4,6,7,7.6,1978,johnsge02,https://www.basketball-reference.com/players/j/johnsge02/gamelog/1978
21,21,1977-12-02,28-349,NJN,@,DEN,L (-34),1,23:00,2,6,.333,0,0,,4,2,6,0,0,1,1,3,4,2.5,1978,johnsge02,https://www.basketball-reference.com/players/j/johnsge02/gamelog/1978
22,22,1977-12-03,28-350,NJN,@,KCK,L (-3),1,22:00,0,6,.000,0,0,,,,5,1,0,0,,3,0,,1978,johnsge02,https://www.basketball-reference.com/players/j/johnsge02/gamelog/1978
23,23,1977-12-04,28-351,NJN,@,MIL,L (-16),1,41:00,6,10,.600,2,2,1.000,,,15,1,,2,,3,14,,1978,johnsge02,https://www.basketball-reference.com/players/j/johnsge02/gamelog/1978
24,24,1977-12-07,28-354,NJN,,SAS,L (-3),1,36:00,7,12,.583,2,4,.500,,,14,1,0,6,3,3,16,,1978,johnsge02,https://www.basketball-reference.com/players/j/johnsge02/gamelog/1978
25,25,1977-12-08,28-355,NJN,@,CHI,L (-26),1,28:00,4,10,.400,0,0,,5,5,10,0,0,2,3,6,8,3.6,1978,johnsge02,https://www.basketball-reference.com/players/j/johnsge02/gamelog/1978
