Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,session,player,gamelog_url
1,1,1980-10-10,30-067,PHI,,MIL,L (-3),1,37:00,3,6,.500,0,0,,0,0,,,,9,1,1,3,2,5,6,,1981,jonesca01,https://www.basketball-reference.com/players/j/jonesca01/gamelog/1981
2,2,1980-10-11,30-068,PHI,@,WSB,W (+6),1,34:00,2,5,.400,0,0,,4,6,.667,,,7,0,,1,,4,8,,1981,jonesca01,https://www.basketball-reference.com/players/j/jonesca01/gamelog/1981
3,3,1980-10-14,30-071,PHI,@,NYK,L (-20),1,26:00,1,4,.250,0,0,,2,4,.500,,,8,1,,1,,3,4,,1981,jonesca01,https://www.basketball-reference.com/players/j/jonesca01/gamelog/1981
4,4,1980-10-15,30-072,PHI,@,NJN,W (+8),1,41:00,4,9,.444,0,0,,0,0,,,,7,2,,1,,3,8,,1981,jonesca01,https://www.basketball-reference.com/players/j/jonesca01/gamelog/1981
5,5,1980-10-18,30-075,PHI,,WSB,W (+16),1,19:00,0,2,.000,0,0,,0,0,,,,6,1,,1,,5,0,,1981,jonesca01,https://www.basketball-reference.com/players/j/jonesca01/gamelog/1981
6,6,1980-10-22,30-079,PHI,@,DET,W (+1),1,35:00,1,2,.500,0,0,,1,2,.500,,,10,0,,,,2,3,,1981,jonesca01,https://www.basketball-reference.com/players/j/jonesca01/gamelog/1981
7,7,1980-10-25,30-082,PHI,@,ATL,W (+13),1,25:00,0,5,.000,0,0,,4,4,1.000,,,9,1,,2,,2,4,,1981,jonesca01,https://www.basketball-reference.com/players/j/jonesca01/gamelog/1981
8,8,1980-10-28,30-085,PHI,@,CLE,W (+18),1,39:00,4,12,.333,0,0,,5,6,.833,9,7,16,4,2,1,2,5,13,15.7,1981,jonesca01,https://www.basketball-reference.com/players/j/jonesca01/gamelog/1981
9,9,1980-10-29,30-086,PHI,,CHI,W (+13),1,37:00,2,6,.333,0,0,,3,6,.500,3,8,11,0,1,3,2,2,7,7.2,1981,jonesca01,https://www.basketball-reference.com/players/j/jonesca01/gamelog/1981
10,10,1980-10-31,30-088,PHI,,ATL,W (+11),1,32:00,2,4,.500,0,0,,0,0,,,,10,0,,4,3,3,4,,1981,jonesca01,https://www.basketball-reference.com/players/j/jonesca01/gamelog/1981
11,11,1980-11-01,30-089,PHI,,BOS,W (+4),1,33:00,0,5,.000,0,0,,0,0,,,,12,1,,0,,2,0,,1981,jonesca01,https://www.basketball-reference.com/players/j/jonesca01/gamelog/1981
12,12,1980-11-05,30-093,PHI,,DET,W (+4),1,34:00,0,2,.000,0,0,,0,0,,,,11,0,,3,,2,0,,1981,jonesca01,https://www.basketball-reference.com/players/j/jonesca01/gamelog/1981
13,13,1980-11-07,30-095,PHI,,KCK,W (+17),1,26:00,4,10,.400,0,0,,0,1,.000,,,7,2,0,1,,2,8,,1981,jonesca01,https://www.basketball-reference.com/players/j/jonesca01/gamelog/1981
14,14,1980-11-09,30-097,PHI,@,MIL,W (+15),1,35:00,5,10,.500,0,0,,4,6,.667,,,10,3,0,2,1,3,14,,1981,jonesca01,https://www.basketball-reference.com/players/j/jonesca01/gamelog/1981
15,15,1980-11-11,30-099,PHI,@,CHI,W (+41),1,28:00,2,4,.500,0,0,,8,11,.727,2,6,8,0,1,1,4,4,12,8.1,1981,jonesca01,https://www.basketball-reference.com/players/j/jonesca01/gamelog/1981
16,16,1980-11-12,30-100,PHI,,NYK,L (-12),1,40:00,2,8,.250,0,0,,4,4,1.000,,,13,1,,2,,3,8,,1981,jonesca01,https://www.basketball-reference.com/players/j/jonesca01/gamelog/1981
17,17,1980-11-13,30-101,PHI,@,IND,W (+27),1,32:00,4,11,.364,0,0,,0,0,,,,8,2,,1,,2,8,,1981,jonesca01,https://www.basketball-reference.com/players/j/jonesca01/gamelog/1981
18,18,1980-11-15,30-103,PHI,,NJN,W (+7),1,36:00,4,9,.444,0,0,,0,1,.000,,,10,1,,3,,4,8,,1981,jonesca01,https://www.basketball-reference.com/players/j/jonesca01/gamelog/1981
19,19,1980-11-18,30-106,PHI,@,NYK,W (+14),1,39:00,4,8,.500,0,0,,0,2,.000,,,12,3,,1,,2,8,,1981,jonesca01,https://www.basketball-reference.com/players/j/jonesca01/gamelog/1981
20,20,1980-11-19,30-107,PHI,,GSW,W (+9),1,39:00,2,8,.250,0,0,,4,4,1.000,4,13,17,2,2,3,3,0,8,12.4,1981,jonesca01,https://www.basketball-reference.com/players/j/jonesca01/gamelog/1981
21,21,1980-11-21,30-109,PHI,,IND,W (+9),1,27:00,1,2,.500,0,0,,4,4,1.000,,,9,0,,0,4,3,6,,1981,jonesca01,https://www.basketball-reference.com/players/j/jonesca01/gamelog/1981
22,22,1980-11-22,30-110,PHI,@,SAS,W (+7),1,26:00,2,5,.400,0,0,,0,0,,,,5,3,0,1,,3,4,,1981,jonesca01,https://www.basketball-reference.com/players/j/jonesca01/gamelog/1981
23,23,1980-11-25,30-113,PHI,@,DAL,W (+16),1,33:00,3,3,1.000,0,0,,1,3,.333,,,9,2,,1,2,2,7,,1981,jonesca01,https://www.basketball-reference.com/players/j/jonesca01/gamelog/1981
24,24,1980-11-26,30-114,PHI,@,HOU,W (+1),1,25:00,2,5,.400,0,0,,0,0,,,,7,1,0,,,6,4,,1981,jonesca01,https://www.basketball-reference.com/players/j/jonesca01/gamelog/1981
25,25,1980-11-28,30-116,PHI,,POR,W (+13),1,34:00,4,6,.667,0,0,,4,4,1.000,1,10,11,4,0,4,1,5,12,15.7,1981,jonesca01,https://www.basketball-reference.com/players/j/jonesca01/gamelog/1981
26,26,1980-11-29,30-117,PHI,,UTA,W (+20),1,25:00,2,4,.500,0,0,,1,2,.500,,,9,3,0,2,,4,5,,1981,jonesca01,https://www.basketball-reference.com/players/j/jonesca01/gamelog/1981
27,27,1980-12-02,30-120,PHI,@,ATL,L (-4),1,36:00,1,2,.500,0,0,,1,1,1.000,,,4,1,,0,3,5,3,,1981,jonesca01,https://www.basketball-reference.com/players/j/jonesca01/gamelog/1981
28,28,1980-12-03,30-121,PHI,,NYK,W (+6),1,38:00,1,4,.250,0,0,,4,4,1.000,,,14,2,,4,,3,6,,1981,jonesca01,https://www.basketball-reference.com/players/j/jonesca01/gamelog/1981
29,29,1980-12-05,30-123,PHI,,ATL,W (+4),1,38:00,3,3,1.000,0,0,,3,4,.750,,,13,0,,1,2,4,9,,1981,jonesca01,https://www.basketball-reference.com/players/j/jonesca01/gamelog/1981
30,30,1980-12-09,30-127,PHI,@,CLE,W (+13),1,34:00,3,6,.500,0,0,,2,2,1.000,0,6,6,2,0,0,5,2,8,2.4,1981,jonesca01,https://www.basketball-reference.com/players/j/jonesca01/gamelog/1981
31,31,1980-12-10,30-128,PHI,,CHI,W (+13),1,35:00,1,6,.167,0,0,,0,0,,4,6,10,3,1,1,1,2,2,4.8,1981,jonesca01,https://www.basketball-reference.com/players/j/jonesca01/gamelog/1981
32,32,1980-12-12,30-130,PHI,,WSB,W (+16),1,33:00,4,6,.667,0,0,,4,4,1.000,,,8,3,,6,,3,12,,1981,jonesca01,https://www.basketball-reference.com/players/j/jonesca01/gamelog/1981
33,33,1980-12-14,30-132,PHI,@,NJN,W (+7),1,40:00,4,7,.571,0,0,,4,4,1.000,,,14,3,,6,,5,12,,1981,jonesca01,https://www.basketball-reference.com/players/j/jonesca01/gamelog/1981
34,34,1980-12-16,30-134,PHI,@,IND,W (+2),1,34:00,4,8,.500,0,0,,7,8,.875,,,15,4,,3,,4,15,,1981,jonesca01,https://www.basketball-reference.com/players/j/jonesca01/gamelog/1981
35,35,1980-12-17,30-135,PHI,,CLE,W (+24),1,31:00,5,7,.714,0,4,.000,0,0,,1,8,9,1,0,4,2,2,10,10.9,1981,jonesca01,https://www.basketball-reference.com/players/j/jonesca01/gamelog/1981
36,36,1980-12-26,30-144,PHI,@,KCK,W (+10),1,26:00,1,5,.200,0,0,,0,0,,,,5,1,0,0,,4,2,,1981,jonesca01,https://www.basketball-reference.com/players/j/jonesca01/gamelog/1981
37,37,1980-12-27,30-145,PHI,@,DEN,L (-4),1,30:00,3,4,.750,0,0,,0,0,,0,6,6,2,2,0,2,3,6,6.4,1981,jonesca01,https://www.basketball-reference.com/players/j/jonesca01/gamelog/1981
38,38,1980-12-28,30-146,PHI,@,LAL,L (-6),1,30:00,3,10,.300,0,0,,0,0,,2,7,9,3,0,0,0,3,6,4.6,1981,jonesca01,https://www.basketball-reference.com/players/j/jonesca01/gamelog/1981
