Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,session,player,gamelog_url
1,1,1990-11-02,33-213,WSB,@,MIA,L (-24),1,30:00,2,4,.500,0,0,,0,0,,4,6,10,2,2,3,1,5,4,9.1,1991,jonesch01,https://www.basketball-reference.com/players/j/jonesch01/gamelog/1991
2,2,1990-11-03,33-214,WSB,,CHI,W (+1),1,37:00,1,2,.500,0,0,,2,4,.500,1,8,9,1,1,2,0,3,4,7.2,1991,jonesch01,https://www.basketball-reference.com/players/j/jonesch01/gamelog/1991
3,3,1990-11-08,33-219,WSB,@,NYK,L (-11),1,25:00,3,3,1.000,0,0,,2,3,.667,2,1,3,1,3,1,1,5,8,9.8,1991,jonesch01,https://www.basketball-reference.com/players/j/jonesch01/gamelog/1991
4,4,1990-11-09,33-220,WSB,,MIL,L (-8),1,29:00,0,1,.000,0,0,,0,0,,2,3,5,3,3,3,1,3,0,6.6,1991,jonesch01,https://www.basketball-reference.com/players/j/jonesch01/gamelog/1991
5,5,1990-11-12,33-223,WSB,@,NJN,W (+5),1,29:00,0,1,.000,0,0,,1,2,.500,1,4,5,2,0,3,2,3,1,2.1,1991,jonesch01,https://www.basketball-reference.com/players/j/jonesch01/gamelog/1991
6,6,1990-11-13,33-224,WSB,@,CHH,L (-15),1,22:00,1,1,1.000,0,0,,0,0,,0,4,4,0,0,2,0,3,2,3.1,1991,jonesch01,https://www.basketball-reference.com/players/j/jonesch01/gamelog/1991
7,7,1990-11-16,33-227,WSB,@,PHI,L (-13),1,25:00,0,3,.000,0,0,,2,4,.500,1,6,7,0,0,4,0,6,2,2.0,1991,jonesch01,https://www.basketball-reference.com/players/j/jonesch01/gamelog/1991
8,8,1990-11-17,33-228,WSB,,BOS,L (-12),1,21:00,3,3,1.000,0,0,,0,0,,3,4,7,0,0,0,0,3,6,7.2,1991,jonesch01,https://www.basketball-reference.com/players/j/jonesch01/gamelog/1991
9,9,1990-11-20,33-231,WSB,,SAC,L (-5),1,33:00,1,3,.333,0,0,,2,2,1.000,1,3,4,1,2,4,2,5,4,5.4,1991,jonesch01,https://www.basketball-reference.com/players/j/jonesch01/gamelog/1991
10,10,1990-11-23,33-234,WSB,@,DET,L (-9),1,28:00,5,7,.714,0,0,,0,1,.000,2,2,4,2,1,2,0,2,10,11.7,1991,jonesch01,https://www.basketball-reference.com/players/j/jonesch01/gamelog/1991
11,11,1990-11-24,33-235,WSB,,IND,W (+2),1,34:00,2,2,1.000,0,0,,0,2,.000,0,3,3,1,2,0,1,2,4,4.4,1991,jonesch01,https://www.basketball-reference.com/players/j/jonesch01/gamelog/1991
12,12,1990-11-27,33-238,WSB,,GSW,W (+2),1,21:00,2,3,.667,0,0,,0,0,,3,5,8,0,0,0,0,4,4,4.7,1991,jonesch01,https://www.basketball-reference.com/players/j/jonesch01/gamelog/1991
13,13,1990-11-28,33-239,WSB,@,CHI,L (-24),1,15:00,0,0,,0,0,,0,0,,2,2,4,2,0,0,2,3,0,0.2,1991,jonesch01,https://www.basketball-reference.com/players/j/jonesch01/gamelog/1991
14,14,1990-11-30,33-241,WSB,@,BOS,L (-28),1,42:00,2,4,.500,0,0,,1,2,.500,6,3,9,1,0,4,2,2,5,8.4,1991,jonesch01,https://www.basketball-reference.com/players/j/jonesch01/gamelog/1991
15,15,1990-12-01,33-242,WSB,,DET,W (+11),1,30:00,0,1,.000,0,0,,2,2,1.000,1,8,9,0,2,2,0,6,2,5.4,1991,jonesch01,https://www.basketball-reference.com/players/j/jonesch01/gamelog/1991
16,16,1990-12-03,33-244,WSB,@,UTA,L (-34),1,8:00,0,0,,0,0,,0,0,,0,0,0,0,1,0,0,2,0,0.2,1991,jonesch01,https://www.basketball-reference.com/players/j/jonesch01/gamelog/1991
17,17,1990-12-05,33-246,WSB,@,GSW,W (+6),1,28:00,0,2,.000,0,0,,0,0,,7,3,10,0,3,1,3,4,0,3.5,1991,jonesch01,https://www.basketball-reference.com/players/j/jonesch01/gamelog/1991
18,18,1990-12-06,33-247,WSB,@,SAC,L (-18),1,34:00,2,3,.667,0,0,,0,1,.000,2,4,6,2,0,4,3,4,4,4.5,1991,jonesch01,https://www.basketball-reference.com/players/j/jonesch01/gamelog/1991
19,19,1990-12-09,33-250,WSB,@,LAL,L (-7),1,34:00,1,2,.500,0,0,,0,0,,0,3,3,0,2,2,1,4,2,2.7,1991,jonesch01,https://www.basketball-reference.com/players/j/jonesch01/gamelog/1991
20,20,1990-12-11,33-252,WSB,@,DEN,L (-3),1,32:00,1,4,.250,0,0,,2,3,.667,1,5,6,1,0,5,2,3,4,4.4,1991,jonesch01,https://www.basketball-reference.com/players/j/jonesch01/gamelog/1991
21,21,1990-12-14,33-255,WSB,,HOU,W (+13),1,30:00,2,3,.667,0,0,,0,0,,4,4,8,0,1,1,0,3,4,7.2,1991,jonesch01,https://www.basketball-reference.com/players/j/jonesch01/gamelog/1991
22,22,1990-12-15,33-256,WSB,@,ATL,L (-12),1,28:00,2,2,1.000,0,0,,0,0,,1,6,7,2,0,3,0,1,4,9.0,1991,jonesch01,https://www.basketball-reference.com/players/j/jonesch01/gamelog/1991
23,23,1990-12-19,33-260,WSB,@,IND,W (+2),1,23:00,2,3,.667,0,0,,0,0,,1,3,4,0,1,3,1,3,4,5.2,1991,jonesch01,https://www.basketball-reference.com/players/j/jonesch01/gamelog/1991
24,24,1990-12-21,33-262,WSB,,NYK,W (+2),1,33:00,1,2,.500,0,0,,0,0,,3,3,6,1,3,0,1,5,2,4.7,1991,jonesch01,https://www.basketball-reference.com/players/j/jonesch01/gamelog/1991
25,25,1990-12-22,33-263,WSB,@,CLE,W (+20),1,23:00,0,0,,0,0,,0,0,,0,1,1,0,1,1,1,3,0,-0.2,1991,jonesch01,https://www.basketball-reference.com/players/j/jonesch01/gamelog/1991
26,26,1990-12-26,33-267,WSB,,PHI,L (-1),1,18:00,2,2,1.000,0,0,,0,0,,1,3,4,0,2,1,0,3,4,6.5,1991,jonesch01,https://www.basketball-reference.com/players/j/jonesch01/gamelog/1991
27,27,1990-12-27,33-268,WSB,,SEA,L (-5),1,13:00,0,2,.000,0,0,,0,0,,3,0,3,0,0,1,1,3,0,-0.8,1991,jonesch01,https://www.basketball-reference.com/players/j/jonesch01/gamelog/1991
28,28,1990-12-29,33-270,WSB,,DEN,W (+28),1,5:00,0,0,,0,0,,0,0,,0,3,3,0,0,1,1,3,0,-0.6,1991,jonesch01,https://www.basketball-reference.com/players/j/jonesch01/gamelog/1991
29,29,1991-01-03,33-275,WSB,,CHH,W (+10),1,18:00,0,1,.000,0,0,,0,0,,0,2,2,1,1,2,0,1,0,2.6,1991,jonesch01,https://www.basketball-reference.com/players/j/jonesch01/gamelog/1991
30,30,1991-01-04,33-276,WSB,@,MIN,W (+11),1,22:00,2,3,.667,0,0,,0,0,,6,2,8,2,0,1,1,1,4,8.2,1991,jonesch01,https://www.basketball-reference.com/players/j/jonesch01/gamelog/1991
31,31,1991-01-08,33-280,WSB,@,MIL,L (-3),1,26:00,2,3,.667,0,0,,1,1,1.000,1,0,1,0,0,1,2,2,5,2.3,1991,jonesch01,https://www.basketball-reference.com/players/j/jonesch01/gamelog/1991
32,32,1991-01-10,33-282,WSB,,LAC,W (+12),1,18:00,0,1,.000,0,0,,0,0,,3,4,7,1,1,4,0,5,0,5.1,1991,jonesch01,https://www.basketball-reference.com/players/j/jonesch01/gamelog/1991
33,33,1991-01-12,33-284,WSB,,BOS,W (+17),1,30:00,3,4,.750,0,0,,0,0,,5,5,10,0,1,1,1,3,6,8.9,1991,jonesch01,https://www.basketball-reference.com/players/j/jonesch01/gamelog/1991
34,34,1991-01-15,33-287,WSB,@,PHO,L (-30),1,17:00,1,1,1.000,0,0,,0,0,,1,3,4,1,0,2,0,2,2,4.6,1991,jonesch01,https://www.basketball-reference.com/players/j/jonesch01/gamelog/1991
35,35,1991-01-16,33-288,WSB,@,LAC,W (+2),1,32:00,2,3,.667,0,0,,1,2,.500,4,8,12,0,1,5,0,5,5,11.0,1991,jonesch01,https://www.basketball-reference.com/players/j/jonesch01/gamelog/1991
36,36,1991-01-18,33-290,WSB,@,POR,L (-24),1,19:00,0,0,,0,0,,0,0,,0,5,5,1,1,1,1,3,0,1.7,1991,jonesch01,https://www.basketball-reference.com/players/j/jonesch01/gamelog/1991
37,37,1991-01-19,33-291,WSB,@,SEA,L (-22),1,25:00,1,2,.500,0,0,,0,0,,0,5,5,0,0,5,0,1,2,5.6,1991,jonesch01,https://www.basketball-reference.com/players/j/jonesch01/gamelog/1991
38,38,1991-01-21,33-293,WSB,,ORL,W (+2),1,25:00,0,3,.000,0,0,,2,2,1.000,3,5,8,1,0,4,0,2,2,6.2,1991,jonesch01,https://www.basketball-reference.com/players/j/jonesch01/gamelog/1991
39,39,1991-01-23,33-295,WSB,,ATL,W (+5),1,28:00,1,3,.333,0,0,,0,0,,4,6,10,0,1,3,2,4,2,4.4,1991,jonesch01,https://www.basketball-reference.com/players/j/jonesch01/gamelog/1991
40,40,1991-01-25,33-297,WSB,,IND,L (-6),1,22:00,0,0,,0,0,,1,2,.500,1,3,4,0,1,3,0,5,1,3.3,1991,jonesch01,https://www.basketball-reference.com/players/j/jonesch01/gamelog/1991
41,41,1991-01-26,33-298,WSB,,DAL,L (-3),1,29:00,3,3,1.000,0,0,,0,0,,4,7,11,3,0,0,1,3,6,9.9,1991,jonesch01,https://www.basketball-reference.com/players/j/jonesch01/gamelog/1991
42,42,1991-01-28,33-300,WSB,@,DET,L (-6),1,25:00,4,5,.800,0,0,,0,0,,0,6,6,2,0,2,0,4,8,9.1,1991,jonesch01,https://www.basketball-reference.com/players/j/jonesch01/gamelog/1991
43,43,1991-01-29,33-301,WSB,,MIA,W (+4),1,22:00,0,1,.000,0,0,,1,2,.500,1,1,2,0,0,4,0,0,1,3.7,1991,jonesch01,https://www.basketball-reference.com/players/j/jonesch01/gamelog/1991
44,44,1991-01-31,33-303,WSB,@,NYK,W (+9),1,25:00,3,4,.750,0,0,,1,2,.500,4,3,7,1,0,1,0,5,7,8.1,1991,jonesch01,https://www.basketball-reference.com/players/j/jonesch01/gamelog/1991
45,45,1991-02-01,33-304,WSB,,DET,L (-5),1,19:00,1,2,.500,0,0,,0,0,,2,10,12,0,1,1,2,2,2,4.3,1991,jonesch01,https://www.basketball-reference.com/players/j/jonesch01/gamelog/1991
46,46,1991-02-06,33-309,WSB,@,PHI,L (-8),1,22:00,0,2,.000,0,0,,0,0,,4,3,7,3,2,3,3,3,0,4.3,1991,jonesch01,https://www.basketball-reference.com/players/j/jonesch01/gamelog/1991
47,47,1991-02-07,33-310,WSB,,NJN,W (+7),1,26:00,2,2,1.000,0,0,,1,1,1.000,0,7,7,0,2,5,0,2,5,11.2,1991,jonesch01,https://www.basketball-reference.com/players/j/jonesch01/gamelog/1991
48,48,1991-02-12,33-315,WSB,@,SAS,L (-10),1,29:00,0,1,.000,0,0,,0,0,,3,6,9,0,1,2,1,4,0,3.0,1991,jonesch01,https://www.basketball-reference.com/players/j/jonesch01/gamelog/1991
49,49,1991-02-14,33-317,WSB,@,HOU,L (-12),1,18:00,0,0,,0,0,,0,0,,2,4,6,1,0,0,0,4,0,1.7,1991,jonesch01,https://www.basketball-reference.com/players/j/jonesch01/gamelog/1991
50,50,1991-02-15,33-318,WSB,@,DAL,L (-25),0,11:00,1,2,.500,0,0,,0,0,,2,0,2,1,1,1,1,2,2,3.0,1991,jonesch01,https://www.basketball-reference.com/players/j/jonesch01/gamelog/1991
51,51,1991-02-17,33-320,WSB,,CLE,W (+4),0,19:00,1,3,.333,0,0,,2,2,1.000,4,2,6,0,1,3,1,5,4,5.8,1991,jonesch01,https://www.basketball-reference.com/players/j/jonesch01/gamelog/1991
52,52,1991-02-19,33-322,WSB,@,CHI,L (-5),0,13:00,0,0,,0,0,,0,0,,1,2,3,0,1,0,1,2,0,0.5,1991,jonesch01,https://www.basketball-reference.com/players/j/jonesch01/gamelog/1991
