Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,session,player,gamelog_url
1,1,2011-12-26,20-128,SAS,,MEM,W (+13),0,1:16,0,0,,0,0,,0,0,,0,0,0,1,0,0,0,0,0,0.7,-1,2012,josepco01,https://www.basketball-reference.com/players/j/josepco01/gamelog/2012
2,2,2011-12-28,20-130,SAS,,LAC,W (+25),0,3:39,0,2,.000,0,0,,0,0,,0,2,2,0,0,0,0,0,0,-0.8,-1,2012,josepco01,https://www.basketball-reference.com/players/j/josepco01/gamelog/2012
3,3,2011-12-29,20-131,SAS,@,HOU,L (-20),0,13:47,1,4,.250,0,0,,0,0,,1,0,1,2,0,1,0,0,2,2.4,-3,2012,josepco01,https://www.basketball-reference.com/players/j/josepco01/gamelog/2012
4,4,2011-12-31,20-133,SAS,,UTA,W (+15),0,3:00,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,1,0,0,-1.7,-3,2012,josepco01,https://www.basketball-reference.com/players/j/josepco01/gamelog/2012
5,,2012-01-02,20-135,SAS,@,MIN,L (-10),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2012,josepco01,https://www.basketball-reference.com/players/j/josepco01/gamelog/2012
6,,2012-01-04,20-137,SAS,,GSW,W (+6),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2012,josepco01,https://www.basketball-reference.com/players/j/josepco01/gamelog/2012
7,,2012-01-05,20-138,SAS,,DAL,W (+22),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2012,josepco01,https://www.basketball-reference.com/players/j/josepco01/gamelog/2012
8,,2012-01-07,20-140,SAS,,DEN,W (+4),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2012,josepco01,https://www.basketball-reference.com/players/j/josepco01/gamelog/2012
9,,2012-01-08,20-141,SAS,@,OKC,L (-12),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2012,josepco01,https://www.basketball-reference.com/players/j/josepco01/gamelog/2012
10,,2012-01-10,20-143,SAS,@,MIL,L (-3),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2012,josepco01,https://www.basketball-reference.com/players/j/josepco01/gamelog/2012
11,,2012-01-11,20-144,SAS,,HOU,W (+6),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2012,josepco01,https://www.basketball-reference.com/players/j/josepco01/gamelog/2012
