Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,session,player,gamelog_url
1,,1997-11-12,33-291,ORL,,SAC,L (-26),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,1998,kemptti01,https://www.basketball-reference.com/players/k/kemptti01/gamelog/1998
2,1,1997-11-14,33-293,ORL,,DEN,W (+18),0,4:35,0,1,.000,0,0,,0,0,,0,1,1,0,0,0,0,1,0,-0.8,-3,1998,kemptti01,https://www.basketball-reference.com/players/k/kemptti01/gamelog/1998
3,2,1997-11-15,33-294,ORL,@,WAS,W (+11),0,8:25,0,1,.000,0,0,,0,0,,0,0,0,1,0,0,0,2,0,-0.8,-1,1998,kemptti01,https://www.basketball-reference.com/players/k/kemptti01/gamelog/1998
4,3,1997-11-18,33-297,ORL,,LAC,W (+18),0,0:41,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,0,1998,kemptti01,https://www.basketball-reference.com/players/k/kemptti01/gamelog/1998
5,,1997-11-19,33-298,ORL,@,CLE,W (+3),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,1998,kemptti01,https://www.basketball-reference.com/players/k/kemptti01/gamelog/1998
6,4,1997-12-03,33-312,TOR,@,UTA,L (-17),0,13:09,1,3,.333,0,0,,0,0,,3,0,3,1,0,2,1,3,2,2.3,+3,1998,kemptti01,https://www.basketball-reference.com/players/k/kemptti01/gamelog/1998
7,5,1997-12-05,33-314,TOR,@,PHO,L (-19),0,7:14,0,0,,0,0,,0,0,,1,0,1,0,1,0,1,2,0,-0.1,-5,1998,kemptti01,https://www.basketball-reference.com/players/k/kemptti01/gamelog/1998
8,6,1997-12-07,33-316,TOR,,DET,L (-10),0,2:37,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-5,1998,kemptti01,https://www.basketball-reference.com/players/k/kemptti01/gamelog/1998
9,,1997-12-09,33-318,TOR,,CHH,L (-13),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,1998,kemptti01,https://www.basketball-reference.com/players/k/kemptti01/gamelog/1998
10,,1997-12-10,33-319,TOR,@,PHI,W (+7),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,1998,kemptti01,https://www.basketball-reference.com/players/k/kemptti01/gamelog/1998
