Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,FT,FTA,FT%,TRB,AST,PF,PTS,session,player,gamelog_url
1,1,1966-10-15,25-250,SFW,@,BOS,L (-8),,24:00,2,5,.400,1,3,.333,2,4,3,5,1967,kingji01,https://www.basketball-reference.com/players/k/kingji01/gamelog/1967
2,2,1966-10-18,25-253,SFW,@,CHI,L (-3),,18:00,2,10,.200,0,1,.000,6,0,3,4,1967,kingji01,https://www.basketball-reference.com/players/k/kingji01/gamelog/1967
3,3,1966-10-20,25-255,SFW,,CHI,W (+10),,26:00,2,6,.333,2,2,1.000,3,3,3,6,1967,kingji01,https://www.basketball-reference.com/players/k/kingji01/gamelog/1967
4,4,1966-10-21,25-256,SFW,,DET,W (+17),,12:00,1,4,.250,0,1,.000,0,2,2,2,1967,kingji01,https://www.basketball-reference.com/players/k/kingji01/gamelog/1967
5,5,1966-10-23,25-258,SFW,,DET,L (-9),,30:00,1,4,.250,0,0,,2,0,4,2,1967,kingji01,https://www.basketball-reference.com/players/k/kingji01/gamelog/1967
6,6,1966-10-28,25-263,SFW,@,BAL,W (+1),,28:00,6,12,.500,3,4,.750,5,4,1,15,1967,kingji01,https://www.basketball-reference.com/players/k/kingji01/gamelog/1967
7,7,1966-10-29,25-264,SFW,@,CIN,W (+12),,32:00,6,16,.375,3,3,1.000,5,0,6,15,1967,kingji01,https://www.basketball-reference.com/players/k/kingji01/gamelog/1967
8,8,1966-11-01,25-267,SFW,@,CHI,W (+16),,22:00,2,10,.200,6,8,.750,4,4,0,10,1967,kingji01,https://www.basketball-reference.com/players/k/kingji01/gamelog/1967
9,9,1966-11-03,25-269,SFW,@,NYK,L (-15),,28:00,12,13,.923,3,4,.750,8,4,4,27,1967,kingji01,https://www.basketball-reference.com/players/k/kingji01/gamelog/1967
10,10,1966-11-04,25-270,SFW,@,PHI,L (-5),,27:00,3,11,.273,6,8,.750,10,2,6,12,1967,kingji01,https://www.basketball-reference.com/players/k/kingji01/gamelog/1967
11,11,1966-11-05,25-271,SFW,@,STL,L (-2),,39:00,4,10,.400,6,6,1.000,9,1,2,14,1967,kingji01,https://www.basketball-reference.com/players/k/kingji01/gamelog/1967
12,12,1966-11-06,25-272,SFW,,BAL,W (+3),,33:00,2,10,.200,0,0,,13,8,4,4,1967,kingji01,https://www.basketball-reference.com/players/k/kingji01/gamelog/1967
13,13,1966-11-09,25-275,SFW,,BAL,W (+6),,27:00,3,6,.500,3,4,.750,9,3,1,9,1967,kingji01,https://www.basketball-reference.com/players/k/kingji01/gamelog/1967
14,14,1966-11-11,25-277,SFW,,LAL,W (+39),,24:00,4,11,.364,3,4,.750,2,7,4,11,1967,kingji01,https://www.basketball-reference.com/players/k/kingji01/gamelog/1967
15,15,1966-11-13,25-279,SFW,,DET,W (+39),,24:00,5,10,.500,1,1,1.000,2,1,1,11,1967,kingji01,https://www.basketball-reference.com/players/k/kingji01/gamelog/1967
16,16,1966-11-14,25-280,SFW,,DET,W (+11),,27:00,3,10,.300,1,1,1.000,4,4,3,7,1967,kingji01,https://www.basketball-reference.com/players/k/kingji01/gamelog/1967
