Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,session,player,gamelog_url
1,1,1991-11-01,24-276,CHI,,PHI,W (+20),0,23:00,3,8,.375,0,0,,0,0,,1,5,6,2,1,0,4,3,6,1.0,1992,kingst01,https://www.basketball-reference.com/players/k/kingst01/gamelog/1992
2,2,1991-11-02,24-277,CHI,@,MIL,L (-2),0,12:00,1,1,1.000,0,0,,0,0,,0,0,0,0,0,0,0,2,2,0.9,1992,kingst01,https://www.basketball-reference.com/players/k/kingst01/gamelog/1992
3,3,1991-11-05,24-280,CHI,,GSW,L (-8),0,14:00,2,5,.400,0,0,,2,2,1.000,1,2,3,2,1,0,0,2,6,6.2,1992,kingst01,https://www.basketball-reference.com/players/k/kingst01/gamelog/1992
4,4,1991-11-06,24-281,CHI,@,BOS,W (+19),0,7:00,0,0,,0,0,,2,2,1.000,0,6,6,1,0,0,2,1,2,2.1,1992,kingst01,https://www.basketball-reference.com/players/k/kingst01/gamelog/1992
5,5,1991-11-08,24-283,CHI,,DAL,W (+16),0,17:00,5,9,.556,0,0,,0,0,,3,0,3,0,0,0,2,2,10,5.0,1992,kingst01,https://www.basketball-reference.com/players/k/kingst01/gamelog/1992
6,6,1991-11-09,24-284,CHI,,ORL,W (+31),0,17:00,4,8,.500,0,0,,2,2,1.000,0,2,2,1,0,0,1,2,10,5.5,1992,kingst01,https://www.basketball-reference.com/players/k/kingst01/gamelog/1992
7,7,1991-11-12,24-287,CHI,,DET,W (+17),0,13:00,4,5,.800,0,0,,2,2,1.000,2,0,2,0,0,0,0,0,10,9.5,1992,kingst01,https://www.basketball-reference.com/players/k/kingst01/gamelog/1992
8,8,1991-11-13,24-288,CHI,@,CHH,W (+22),0,25:00,6,10,.600,0,0,,3,4,.750,2,2,4,2,0,1,3,4,15,9.5,1992,kingst01,https://www.basketball-reference.com/players/k/kingst01/gamelog/1992
9,9,1991-11-15,24-290,CHI,,MIL,W (+13),0,19:00,3,6,.500,0,0,,2,4,.500,0,3,3,0,0,1,5,4,8,-0.8,1992,kingst01,https://www.basketball-reference.com/players/k/kingst01/gamelog/1992
10,10,1991-11-20,24-295,CHI,@,GSW,W (+4),0,24:00,6,7,.857,0,0,,1,1,1.000,1,3,4,0,0,1,1,4,13,10.2,1992,kingst01,https://www.basketball-reference.com/players/k/kingst01/gamelog/1992
11,11,1991-11-22,24-297,CHI,@,SEA,W (+3),0,30:00,7,11,.636,0,0,,4,4,1.000,0,7,7,0,1,2,2,3,18,14.4,1992,kingst01,https://www.basketball-reference.com/players/k/kingst01/gamelog/1992
12,12,1991-11-23,24-298,CHI,@,DEN,W (+7),0,30:00,7,13,.538,0,0,,2,2,1.000,3,6,9,2,1,0,0,3,16,14.8,1992,kingst01,https://www.basketball-reference.com/players/k/kingst01/gamelog/1992
13,13,1991-11-26,24-301,CHI,@,LAC,W (+37),0,28:00,5,8,.625,0,0,,2,2,1.000,1,4,5,1,0,1,3,4,12,7.1,1992,kingst01,https://www.basketball-reference.com/players/k/kingst01/gamelog/1992
14,14,1991-11-29,24-304,CHI,@,POR,W (+2),0,29:00,6,10,.600,0,0,,0,3,.000,0,4,4,2,0,0,0,1,12,8.4,1992,kingst01,https://www.basketball-reference.com/players/k/kingst01/gamelog/1992
15,15,1991-11-30,24-305,CHI,@,SAC,W (+16),1,29:00,3,8,.375,0,0,,3,4,.750,1,4,5,0,0,0,1,1,9,4.7,1992,kingst01,https://www.basketball-reference.com/players/k/kingst01/gamelog/1992
16,16,1991-12-04,24-309,CHI,,CLE,W (+6),0,27:00,3,8,.375,0,0,,5,6,.833,2,3,5,2,1,0,1,3,11,8.7,1992,kingst01,https://www.basketball-reference.com/players/k/kingst01/gamelog/1992
17,17,1991-12-06,24-311,CHI,,CHH,W (+18),1,19:00,5,6,.833,0,0,,4,6,.667,1,1,2,2,0,0,0,2,14,12.6,1992,kingst01,https://www.basketball-reference.com/players/k/kingst01/gamelog/1992
18,18,1991-12-07,24-312,CHI,@,PHI,L (-3),1,40:00,7,16,.438,0,0,,0,1,.000,0,2,2,1,1,0,3,3,14,3.3,1992,kingst01,https://www.basketball-reference.com/players/k/kingst01/gamelog/1992
19,19,1991-12-10,24-315,CHI,,SEA,W (+5),1,31:00,9,12,.750,0,0,,4,5,.800,2,0,2,1,0,0,1,4,22,16.3,1992,kingst01,https://www.basketball-reference.com/players/k/kingst01/gamelog/1992
20,20,1991-12-13,24-318,CHI,,NYK,W (+10),1,33:00,8,12,.667,0,0,,7,7,1.000,0,4,4,3,0,0,2,4,23,17.5,1992,kingst01,https://www.basketball-reference.com/players/k/kingst01/gamelog/1992
21,21,1991-12-14,24-319,CHI,@,WSB,W (+13),1,34:00,4,6,.667,0,0,,4,4,1.000,3,3,6,3,0,0,3,5,12,9.5,1992,kingst01,https://www.basketball-reference.com/players/k/kingst01/gamelog/1992
22,22,1991-12-17,24-322,CHI,,LAL,L (-13),1,37:00,4,8,.500,0,0,,0,0,,2,1,3,2,0,0,0,1,8,6.7,1992,kingst01,https://www.basketball-reference.com/players/k/kingst01/gamelog/1992
23,23,1991-12-20,24-325,CHI,@,NJN,W (+17),1,24:00,3,6,.500,0,0,,5,5,1.000,0,1,1,2,1,1,0,1,11,11.0,1992,kingst01,https://www.basketball-reference.com/players/k/kingst01/gamelog/1992
24,24,1991-12-21,24-326,CHI,,ATL,W (+14),1,28:00,3,6,.500,0,0,,3,4,.750,1,1,2,1,1,0,2,3,9,5.1,1992,kingst01,https://www.basketball-reference.com/players/k/kingst01/gamelog/1992
25,25,1991-12-25,24-330,CHI,,BOS,W (+22),1,16:00,4,9,.444,0,0,,1,2,.500,0,2,2,2,1,0,1,2,9,5.1,1992,kingst01,https://www.basketball-reference.com/players/k/kingst01/gamelog/1992
26,26,1991-12-26,24-331,CHI,@,ATL,W (+11),1,28:00,6,8,.750,0,0,,6,7,.857,3,3,6,1,0,0,3,1,18,14.7,1992,kingst01,https://www.basketball-reference.com/players/k/kingst01/gamelog/1992
27,27,1991-12-28,24-333,CHI,,SAC,W (+9),0,17:00,4,6,.667,0,0,,2,2,1.000,2,1,3,1,1,1,1,3,10,9.3,1992,kingst01,https://www.basketball-reference.com/players/k/kingst01/gamelog/1992
28,28,1991-12-30,24-335,CHI,@,IND,W (+5),0,18:00,0,3,.000,0,0,,5,6,.833,2,1,3,1,1,2,0,4,5,5.7,1992,kingst01,https://www.basketball-reference.com/players/k/kingst01/gamelog/1992
29,29,1992-01-03,24-339,CHI,@,MIL,L (-5),0,22:00,4,6,.667,0,0,,5,5,1.000,1,1,2,1,0,0,4,3,13,6.9,1992,kingst01,https://www.basketball-reference.com/players/k/kingst01/gamelog/1992
30,30,1992-01-04,24-340,CHI,,NJN,W (+44),0,14:00,5,9,.556,0,0,,2,4,.500,3,1,4,1,0,0,1,1,12,8.6,1992,kingst01,https://www.basketball-reference.com/players/k/kingst01/gamelog/1992
31,31,1992-01-07,24-343,CHI,,WSB,W (+13),0,12:00,2,3,.667,0,0,,0,0,,0,0,0,1,0,0,2,1,4,1.0,1992,kingst01,https://www.basketball-reference.com/players/k/kingst01/gamelog/1992
32,32,1992-01-08,24-344,CHI,@,MIA,W (+2),0,14:00,1,3,.333,0,0,,0,0,,0,3,3,0,1,0,1,3,2,0.0,1992,kingst01,https://www.basketball-reference.com/players/k/kingst01/gamelog/1992
