Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,session,player,gamelog_url
1,1,1993-11-05,32-092,ORL,@,MIA,W (+20),0,14:00,2,4,.500,0,0,,0,0,,1,1,2,1,0,0,0,2,4,2.9,1994,kitegr01,https://www.basketball-reference.com/players/k/kitegr01/gamelog/1994
2,2,1993-11-06,32-093,ORL,,PHI,W (+25),0,12:00,0,1,.000,0,0,,0,0,,0,2,2,0,0,1,1,3,0,-1.6,1994,kitegr01,https://www.basketball-reference.com/players/k/kitegr01/gamelog/1994
3,3,1993-11-09,32-096,ORL,,IND,W (+6),0,12:00,0,0,,0,0,,0,0,,2,0,2,0,0,0,1,0,0,0.4,1994,kitegr01,https://www.basketball-reference.com/players/k/kitegr01/gamelog/1994
4,4,1993-11-11,32-098,ORL,@,CHH,L (-33),0,13:00,2,3,.667,0,0,,0,1,.000,4,2,6,0,0,0,2,2,4,2.9,1994,kitegr01,https://www.basketball-reference.com/players/k/kitegr01/gamelog/1994
5,5,1993-11-12,32-099,ORL,,MIA,L (-15),0,13:00,0,2,.000,0,0,,0,0,,1,1,2,0,0,0,0,3,0,-1.6,1994,kitegr01,https://www.basketball-reference.com/players/k/kitegr01/gamelog/1994
6,6,1993-11-16,32-103,ORL,,UTA,W (+18),0,14:00,1,1,1.000,0,0,,2,2,1.000,0,2,2,0,0,0,1,5,4,1.3,1994,kitegr01,https://www.basketball-reference.com/players/k/kitegr01/gamelog/1994
7,7,1993-11-17,32-104,ORL,@,DET,L (-6),0,8:00,0,0,,0,0,,0,0,,0,3,3,0,0,1,0,1,0,1.2,1994,kitegr01,https://www.basketball-reference.com/players/k/kitegr01/gamelog/1994
8,8,1993-11-19,32-106,ORL,@,BOS,L (-9),0,9:00,0,0,,0,0,,0,0,,1,3,4,0,0,0,0,2,0,0.8,1994,kitegr01,https://www.basketball-reference.com/players/k/kitegr01/gamelog/1994
9,9,1993-11-20,32-107,ORL,@,NJN,W (+2),0,16:00,1,3,.333,0,0,,0,0,,3,7,10,2,0,0,1,1,2,4.5,1994,kitegr01,https://www.basketball-reference.com/players/k/kitegr01/gamelog/1994
10,10,1993-11-23,32-110,ORL,,GSW,W (+13),0,13:00,0,0,,0,0,,0,1,.000,1,1,2,0,0,0,1,3,0,-1.6,1994,kitegr01,https://www.basketball-reference.com/players/k/kitegr01/gamelog/1994
11,11,1993-11-27,32-114,ORL,@,WSB,L (-2),0,7:00,0,0,,0,0,,0,0,,2,1,3,0,0,1,1,2,0,0.6,1994,kitegr01,https://www.basketball-reference.com/players/k/kitegr01/gamelog/1994
12,12,1993-12-01,32-118,ORL,,POR,W (+8),0,9:00,1,1,1.000,0,0,,0,0,,0,3,3,0,0,1,3,5,2,-1.7,1994,kitegr01,https://www.basketball-reference.com/players/k/kitegr01/gamelog/1994
13,13,1993-12-03,32-120,ORL,,SAS,L (-10),0,5:00,0,0,,0,0,,0,2,.000,0,0,0,0,0,0,0,1,0,-1.2,1994,kitegr01,https://www.basketball-reference.com/players/k/kitegr01/gamelog/1994
14,14,1993-12-04,32-121,ORL,@,CLE,W (+4),0,11:00,2,3,.667,0,0,,0,0,,1,2,3,0,0,2,1,1,4,4.0,1994,kitegr01,https://www.basketball-reference.com/players/k/kitegr01/gamelog/1994
15,15,1993-12-07,32-124,ORL,,DET,W (+2),0,8:00,1,1,1.000,0,0,,0,0,,0,0,0,0,0,0,0,0,2,1.7,1994,kitegr01,https://www.basketball-reference.com/players/k/kitegr01/gamelog/1994
16,16,1993-12-09,32-126,ORL,@,IND,L (-6),0,8:00,0,0,,0,0,,1,4,.250,0,0,0,0,0,0,0,2,1,-1.0,1994,kitegr01,https://www.basketball-reference.com/players/k/kitegr01/gamelog/1994
17,17,1993-12-10,32-127,ORL,,BOS,W (+15),0,8:00,1,2,.500,0,0,,1,2,.500,0,0,0,0,0,0,1,2,3,-0.2,1994,kitegr01,https://www.basketball-reference.com/players/k/kitegr01/gamelog/1994
18,18,1993-12-12,32-129,ORL,@,POR,W (+15),0,9:00,0,2,.000,0,0,,0,0,,1,1,2,1,0,1,1,2,0,-0.8,1994,kitegr01,https://www.basketball-reference.com/players/k/kitegr01/gamelog/1994
19,19,1993-12-14,32-131,ORL,@,SEA,L (-24),0,3:00,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-1.1,1994,kitegr01,https://www.basketball-reference.com/players/k/kitegr01/gamelog/1994
20,20,1993-12-15,32-132,ORL,@,LAC,L (-1),0,7:00,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-0.4,1994,kitegr01,https://www.basketball-reference.com/players/k/kitegr01/gamelog/1994
21,21,1993-12-17,32-134,ORL,@,PHO,W (+3),0,15:00,0,2,.000,0,0,,3,4,.750,1,2,3,0,1,0,0,2,3,2.7,1994,kitegr01,https://www.basketball-reference.com/players/k/kitegr01/gamelog/1994
22,22,1993-12-19,32-136,ORL,@,SAC,W (+6),0,13:00,0,2,.000,0,0,,0,0,,0,2,2,0,0,1,1,3,0,-2.3,1994,kitegr01,https://www.basketball-reference.com/players/k/kitegr01/gamelog/1994
23,23,1993-12-21,32-138,ORL,,LAL,L (-7),0,16:00,0,3,.000,0,0,,1,4,.250,2,1,3,0,1,0,0,2,1,-0.4,1994,kitegr01,https://www.basketball-reference.com/players/k/kitegr01/gamelog/1994
24,24,1993-12-23,32-140,ORL,,NJN,W (+10),0,15:00,0,1,.000,0,0,,0,0,,0,3,3,0,0,1,0,4,0,-0.7,1994,kitegr01,https://www.basketball-reference.com/players/k/kitegr01/gamelog/1994
25,25,1993-12-25,32-142,ORL,@,CHI,L (-2),0,10:00,1,1,1.000,0,0,,0,0,,0,1,1,0,0,0,0,1,2,1.6,1994,kitegr01,https://www.basketball-reference.com/players/k/kitegr01/gamelog/1994
26,26,1993-12-27,32-144,ORL,,SAC,W (+12),0,7:00,0,0,,0,0,,0,2,.000,1,3,4,0,0,1,0,0,0,1.5,1994,kitegr01,https://www.basketball-reference.com/players/k/kitegr01/gamelog/1994
27,27,1993-12-29,32-146,ORL,,ATL,L (-2),0,18:00,0,0,,0,0,,0,0,,0,6,6,0,0,0,2,5,0,-2.2,1994,kitegr01,https://www.basketball-reference.com/players/k/kitegr01/gamelog/1994
28,28,1993-12-30,32-147,ORL,@,MIA,W (+8),0,8:00,1,2,.500,0,0,,0,0,,1,1,2,0,0,1,0,5,2,0.7,1994,kitegr01,https://www.basketball-reference.com/players/k/kitegr01/gamelog/1994
29,29,1994-01-04,32-152,ORL,@,NYK,L (-5),0,8:00,0,0,,0,0,,0,0,,0,0,0,0,0,1,0,0,0,0.7,1994,kitegr01,https://www.basketball-reference.com/players/k/kitegr01/gamelog/1994
