Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,session,player,gamelog_url
1,1,2003-10-29,29-139,NJN,@,TOR,L (-3),1,39:30,6,13,.462,1,3,.333,0,0,,1,4,5,2,2,0,0,3,13,10.4,-1,2004,kittlke01,https://www.basketball-reference.com/players/k/kittlke01/gamelog/2004
2,2,2003-10-31,29-141,NJN,,MIN,W (+23),1,30:36,2,10,.200,0,5,.000,0,0,,0,5,5,4,3,0,0,2,4,4.3,+28,2004,kittlke01,https://www.basketball-reference.com/players/k/kittlke01/gamelog/2004
3,3,2003-11-01,29-142,NJN,@,WAS,W (+13),1,37:31,2,13,.154,1,2,.500,1,1,1.000,1,2,3,1,2,1,1,1,6,1.0,+16,2004,kittlke01,https://www.basketball-reference.com/players/k/kittlke01/gamelog/2004
4,4,2003-11-04,29-145,NJN,,HOU,L (-11),1,41:07,3,9,.333,2,4,.500,3,4,.750,1,2,3,2,5,0,1,2,11,11.4,-10,2004,kittlke01,https://www.basketball-reference.com/players/k/kittlke01/gamelog/2004
5,5,2003-11-06,29-147,NJN,,IND,L (-6),1,42:27,9,20,.450,2,3,.667,3,4,.750,6,3,9,5,4,1,4,2,23,20.7,-2,2004,kittlke01,https://www.basketball-reference.com/players/k/kittlke01/gamelog/2004
6,6,2003-11-07,29-148,NJN,@,BOS,W (+7),1,39:44,6,14,.429,1,5,.200,0,0,,1,0,1,4,5,0,1,0,13,13.1,+6,2004,kittlke01,https://www.basketball-reference.com/players/k/kittlke01/gamelog/2004
7,7,2003-11-09,29-150,NJN,@,DET,L (-14),1,38:15,8,15,.533,1,3,.333,0,0,,2,2,4,3,2,1,3,1,17,13.1,+6,2004,kittlke01,https://www.basketball-reference.com/players/k/kittlke01/gamelog/2004
8,8,2003-11-12,29-153,NJN,,SAS,L (-14),1,39:49,6,10,.600,1,1,1.000,0,0,,0,0,0,3,2,0,1,4,13,9.9,-13,2004,kittlke01,https://www.basketball-reference.com/players/k/kittlke01/gamelog/2004
9,9,2003-11-14,29-155,NJN,,NYK,W (+5),1,40:04,6,11,.545,2,3,.667,1,2,.500,0,2,2,2,3,0,4,2,15,9.5,-4,2004,kittlke01,https://www.basketball-reference.com/players/k/kittlke01/gamelog/2004
10,10,2003-11-15,29-156,NJN,@,ATL,W (+15),1,33:13,4,9,.444,0,0,,0,0,,0,3,3,4,1,1,0,1,8,8.3,+15,2004,kittlke01,https://www.basketball-reference.com/players/k/kittlke01/gamelog/2004
11,11,2003-11-18,29-159,NJN,,NOH,L (-3),1,33:10,5,15,.333,2,6,.333,2,2,1.000,0,3,3,1,1,0,1,3,14,5.9,-12,2004,kittlke01,https://www.basketball-reference.com/players/k/kittlke01/gamelog/2004
12,12,2003-11-22,29-163,NJN,,TOR,L (-1),1,43:19,4,11,.364,1,3,.333,2,2,1.000,0,3,3,4,0,0,0,3,11,7.4,+8,2004,kittlke01,https://www.basketball-reference.com/players/k/kittlke01/gamelog/2004
13,13,2003-11-25,29-166,NJN,@,SEA,W (+23),1,32:08,4,10,.400,1,5,.200,2,2,1.000,0,5,5,0,1,0,1,2,11,6.3,+13,2004,kittlke01,https://www.basketball-reference.com/players/k/kittlke01/gamelog/2004
14,14,2003-11-27,29-168,NJN,@,LAC,W (+6),1,39:36,7,11,.636,1,2,.500,7,8,.875,1,5,6,3,0,0,1,2,22,19.2,+9,2004,kittlke01,https://www.basketball-reference.com/players/k/kittlke01/gamelog/2004
15,15,2003-11-28,29-169,NJN,@,POR,L (-4),1,34:37,2,9,.222,0,1,.000,0,2,.000,1,2,3,4,0,0,0,0,4,1.8,-12,2004,kittlke01,https://www.basketball-reference.com/players/k/kittlke01/gamelog/2004
