Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,session,player,gamelog_url
1,1,2007-11-02,31-359,LAC,,GSW,W (+6),0,25:03,0,3,.000,0,0,,2,2,1.000,0,2,2,9,1,0,3,4,2,3.2,+3,2008,knighbr01,https://www.basketball-reference.com/players/k/knighbr01/gamelog/2008
2,2,2007-11-04,31-361,LAC,,SEA,W (+14),0,15:21,1,3,.333,0,1,.000,0,0,,1,1,2,4,2,0,2,1,2,3.7,-2,2008,knighbr01,https://www.basketball-reference.com/players/k/knighbr01/gamelog/2008
3,3,2007-11-06,31-363,LAC,@,CHI,W (+6),1,31:02,1,3,.333,0,0,,0,0,,0,0,0,6,3,0,3,5,2,2.5,+7,2008,knighbr01,https://www.basketball-reference.com/players/k/knighbr01/gamelog/2008
4,,2007-11-07,31-364,LAC,@,IND,W (+15),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2008,knighbr01,https://www.basketball-reference.com/players/k/knighbr01/gamelog/2008
5,4,2007-11-09,32-001,LAC,@,DET,L (-24),0,13:25,1,5,.200,0,0,,0,0,,0,1,1,1,0,0,1,1,2,-1.5,-22,2008,knighbr01,https://www.basketball-reference.com/players/k/knighbr01/gamelog/2008
6,5,2007-11-11,32-003,LAC,,CLE,L (-8),0,13:30,0,1,.000,0,0,,1,2,.500,0,2,2,3,0,0,2,0,1,0.6,+2,2008,knighbr01,https://www.basketball-reference.com/players/k/knighbr01/gamelog/2008
7,6,2007-11-14,32-006,LAC,,NYK,W (+3),0,19:44,1,3,.333,0,0,,3,4,.750,0,2,2,4,1,0,1,2,5,5.5,-3,2008,knighbr01,https://www.basketball-reference.com/players/k/knighbr01/gamelog/2008
8,7,2007-11-16,32-008,LAC,@,GSW,L (-17),0,17:51,2,4,.500,0,0,,1,2,.500,0,0,0,3,1,0,1,1,5,4.3,-3,2008,knighbr01,https://www.basketball-reference.com/players/k/knighbr01/gamelog/2008
9,8,2007-11-17,32-009,LAC,,CHI,L (-19),1,21:29,4,8,.500,0,0,,0,0,,0,3,3,1,2,0,1,4,8,5.0,-19,2008,knighbr01,https://www.basketball-reference.com/players/k/knighbr01/gamelog/2008
10,9,2007-11-21,32-013,LAC,,DEN,W (+11),1,14:14,1,3,.333,0,0,,0,0,,0,0,0,7,1,0,2,1,2,3.8,-3,2008,knighbr01,https://www.basketball-reference.com/players/k/knighbr01/gamelog/2008
11,,2007-11-23,32-015,LAC,@,PHO,L (-19),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2008,knighbr01,https://www.basketball-reference.com/players/k/knighbr01/gamelog/2008
12,,2007-11-24,32-016,LAC,,NOH,L (-9),Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,2008,knighbr01,https://www.basketball-reference.com/players/k/knighbr01/gamelog/2008
13,10,2007-11-26,32-018,LAC,,HOU,L (-17),0,13:21,0,6,.000,0,0,,0,0,,2,2,4,1,0,0,1,2,0,-3.3,-2,2008,knighbr01,https://www.basketball-reference.com/players/k/knighbr01/gamelog/2008
