Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,session,player,gamelog_url
1,,2019-10-23,23-215,MEM,@,MIA,L (-19),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2020,konchjo01,https://www.basketball-reference.com/players/k/konchjo01/gamelog/2020
2,,2019-10-25,23-217,MEM,,CHI,L (-8),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2020,konchjo01,https://www.basketball-reference.com/players/k/konchjo01/gamelog/2020
3,,2019-10-27,23-219,MEM,,BRK,W (+1),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2020,konchjo01,https://www.basketball-reference.com/players/k/konchjo01/gamelog/2020
4,,2019-10-29,23-221,MEM,@,LAL,L (-29),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2020,konchjo01,https://www.basketball-reference.com/players/k/konchjo01/gamelog/2020
5,,2019-11-02,23-225,MEM,,PHO,L (-9),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2020,konchjo01,https://www.basketball-reference.com/players/k/konchjo01/gamelog/2020
6,,2019-11-04,23-227,MEM,,HOU,L (-7),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2020,konchjo01,https://www.basketball-reference.com/players/k/konchjo01/gamelog/2020
7,,2019-11-06,23-229,MEM,,MIN,W (+16),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2020,konchjo01,https://www.basketball-reference.com/players/k/konchjo01/gamelog/2020
8,,2019-11-08,23-231,MEM,@,ORL,L (-32),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2020,konchjo01,https://www.basketball-reference.com/players/k/konchjo01/gamelog/2020
9,1,2019-11-09,23-232,MEM,,DAL,L (-16),0,6:47,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-3,2020,konchjo01,https://www.basketball-reference.com/players/k/konchjo01/gamelog/2020
10,,2019-11-11,23-234,MEM,@,SAS,W (+4),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2020,konchjo01,https://www.basketball-reference.com/players/k/konchjo01/gamelog/2020
