Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,session,player,gamelog_url
1,1,2008-10-29,27-226,UTA,,DEN,W (+4),0,24:25,3,6,.500,1,2,.500,4,4,1.000,0,2,2,0,1,0,2,0,11,7.6,-3,2009,korveky01,https://www.basketball-reference.com/players/k/korveky01/gamelog/2009
2,2,2008-11-01,27-229,UTA,,LAC,W (+22),0,19:08,2,5,.400,0,1,.000,0,0,,1,1,2,2,1,0,0,1,4,4.3,+6,2009,korveky01,https://www.basketball-reference.com/players/k/korveky01/gamelog/2009
3,3,2008-11-03,27-231,UTA,@,LAC,W (+16),0,22:56,2,6,.333,0,3,.000,3,5,.600,1,4,5,1,3,0,0,1,7,8.0,+14,2009,korveky01,https://www.basketball-reference.com/players/k/korveky01/gamelog/2009
4,4,2008-11-05,27-233,UTA,,POR,W (+7),0,17:56,2,4,.500,2,2,1.000,0,0,,0,3,3,2,0,0,1,3,6,4.1,+1,2009,korveky01,https://www.basketball-reference.com/players/k/korveky01/gamelog/2009
5,5,2008-11-07,27-235,UTA,,OKC,W (+7),0,23:27,5,7,.714,1,2,.500,2,3,.667,1,3,4,2,1,0,0,3,13,12.5,+4,2009,korveky01,https://www.basketball-reference.com/players/k/korveky01/gamelog/2009
6,6,2008-11-09,27-237,UTA,@,NYK,L (-8),0,13:47,2,3,.667,0,0,,0,0,,0,2,2,3,0,0,2,3,4,2.2,-5,2009,korveky01,https://www.basketball-reference.com/players/k/korveky01/gamelog/2009
7,7,2008-11-11,27-239,UTA,@,PHI,W (+13),0,17:53,1,7,.143,1,5,.200,0,0,,0,2,2,1,0,0,1,2,3,-2.0,+15,2009,korveky01,https://www.basketball-reference.com/players/k/korveky01/gamelog/2009
8,8,2008-11-12,27-240,UTA,@,WAS,L (-8),0,23:49,3,9,.333,1,4,.250,0,0,,1,2,3,2,0,1,1,1,7,3.9,-17,2009,korveky01,https://www.basketball-reference.com/players/k/korveky01/gamelog/2009
9,9,2008-11-14,27-242,UTA,@,CHA,L (-8),0,14:01,2,4,.500,2,2,1.000,1,1,1.000,0,1,1,1,0,0,3,1,7,2.6,-8,2009,korveky01,https://www.basketball-reference.com/players/k/korveky01/gamelog/2009
10,10,2008-11-15,27-243,UTA,@,CLE,L (-12),0,24:00,3,8,.375,3,4,.750,0,1,.000,0,3,3,0,1,1,1,0,9,5.8,+3,2009,korveky01,https://www.basketball-reference.com/players/k/korveky01/gamelog/2009
11,11,2008-11-17,27-245,UTA,,PHO,W (+12),0,22:54,3,7,.429,1,2,.500,4,5,.800,1,2,3,3,1,0,1,4,11,8.7,+18,2009,korveky01,https://www.basketball-reference.com/players/k/korveky01/gamelog/2009
12,12,2008-11-19,27-247,UTA,,MIL,W (+11),0,15:31,1,1,1.000,0,0,,3,3,1.000,0,0,0,2,0,0,0,0,5,6.1,-8,2009,korveky01,https://www.basketball-reference.com/players/k/korveky01/gamelog/2009
13,,2008-11-21,27-249,UTA,@,SAS,L (-25),Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,2009,korveky01,https://www.basketball-reference.com/players/k/korveky01/gamelog/2009
14,,2008-11-22,27-250,UTA,@,MEM,W (+9),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2009,korveky01,https://www.basketball-reference.com/players/k/korveky01/gamelog/2009
15,,2008-11-24,27-252,UTA,,CHI,L (-1),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2009,korveky01,https://www.basketball-reference.com/players/k/korveky01/gamelog/2009
16,,2008-11-26,27-254,UTA,,MEM,W (+17),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2009,korveky01,https://www.basketball-reference.com/players/k/korveky01/gamelog/2009
17,13,2008-11-28,27-256,UTA,,SAC,W (+26),0,24:49,4,10,.400,2,3,.667,2,2,1.000,0,2,2,2,1,0,1,0,12,8.6,-2,2009,korveky01,https://www.basketball-reference.com/players/k/korveky01/gamelog/2009
18,14,2008-11-29,27-257,UTA,,NJN,L (-17),0,24:40,4,7,.571,2,3,.667,1,1,1.000,0,3,3,0,0,0,0,2,11,7.8,-11,2009,korveky01,https://www.basketball-reference.com/players/k/korveky01/gamelog/2009
19,15,2008-12-02,27-260,UTA,@,SAC,W (+5),0,28:28,4,9,.444,1,3,.333,6,7,.857,0,4,4,1,0,0,3,4,15,7.2,+13,2009,korveky01,https://www.basketball-reference.com/players/k/korveky01/gamelog/2009
20,16,2008-12-03,27-261,UTA,,MIA,L (-4),0,18:01,3,5,.600,1,3,.333,0,0,,1,2,3,2,0,0,0,1,7,7.0,-11,2009,korveky01,https://www.basketball-reference.com/players/k/korveky01/gamelog/2009
21,17,2008-12-05,27-263,UTA,,TOR,W (+27),0,18:22,3,9,.333,2,3,.667,0,0,,1,3,4,1,0,0,1,0,8,4.2,+9,2009,korveky01,https://www.basketball-reference.com/players/k/korveky01/gamelog/2009
22,18,2008-12-06,27-264,UTA,@,PHO,L (-2),0,18:39,3,6,.500,0,3,.000,0,0,,1,1,2,1,1,0,0,2,6,4.9,+1,2009,korveky01,https://www.basketball-reference.com/players/k/korveky01/gamelog/2009
