Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,session,player,gamelog_url
1,,2017-10-19,28-000,NYK,@,OKC,L (-21),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2018,kuzmimi01,https://www.basketball-reference.com/players/k/kuzmimi01/gamelog/2018
2,,2017-10-21,28-002,NYK,,DET,L (-4),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2018,kuzmimi01,https://www.basketball-reference.com/players/k/kuzmimi01/gamelog/2018
3,,2017-10-24,28-005,NYK,@,BOS,L (-21),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2018,kuzmimi01,https://www.basketball-reference.com/players/k/kuzmimi01/gamelog/2018
4,,2017-10-27,28-008,NYK,,BRK,W (+21),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2018,kuzmimi01,https://www.basketball-reference.com/players/k/kuzmimi01/gamelog/2018
5,,2017-10-29,28-010,NYK,@,CLE,W (+19),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2018,kuzmimi01,https://www.basketball-reference.com/players/k/kuzmimi01/gamelog/2018
6,,2017-10-30,28-011,NYK,,DEN,W (+6),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2018,kuzmimi01,https://www.basketball-reference.com/players/k/kuzmimi01/gamelog/2018
7,,2017-11-01,28-013,NYK,,HOU,L (-22),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2018,kuzmimi01,https://www.basketball-reference.com/players/k/kuzmimi01/gamelog/2018
8,,2017-11-03,28-015,NYK,,PHO,W (+13),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2018,kuzmimi01,https://www.basketball-reference.com/players/k/kuzmimi01/gamelog/2018
9,,2017-11-05,28-017,NYK,,IND,W (+7),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2018,kuzmimi01,https://www.basketball-reference.com/players/k/kuzmimi01/gamelog/2018
10,,2017-11-07,28-019,NYK,,CHO,W (+5),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2018,kuzmimi01,https://www.basketball-reference.com/players/k/kuzmimi01/gamelog/2018
11,1.0,2017-11-08,28-020,NYK,@,ORL,L (-13),0,1:51,0,2,.000,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-1.4,0,2018,kuzmimi01,https://www.basketball-reference.com/players/k/kuzmimi01/gamelog/2018
12,,2017-11-11,28-023,NYK,,SAC,W (+27),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2018,kuzmimi01,https://www.basketball-reference.com/players/k/kuzmimi01/gamelog/2018
