Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,PF,PTS,session,player,gamelog_url
1,1,1975-10-24,27-044,DET,@,NOJ,L (-8),1,32:00,12,29,.414,5,9,.556,,,17,1,,,5,29,1976,laniebo01,https://www.basketball-reference.com/players/l/laniebo01/gamelog/1976
2,2,1975-10-25,27-045,DET,@,ATL,W (+6),1,44:00,11,18,.611,6,10,.600,,,13,3,,,4,28,1976,laniebo01,https://www.basketball-reference.com/players/l/laniebo01/gamelog/1976
3,3,1975-10-29,27-049,DET,,LAL,W (+13),1,41:00,16,25,.640,9,11,.818,,,16,3,4,,3,41,1976,laniebo01,https://www.basketball-reference.com/players/l/laniebo01/gamelog/1976
4,4,1975-10-31,27-051,DET,,HOU,W (+4),1,38:00,11,12,.917,2,2,1.000,,,9,8,,,3,24,1976,laniebo01,https://www.basketball-reference.com/players/l/laniebo01/gamelog/1976
5,5,1975-11-01,27-052,DET,@,BUF,L (-4),1,39:00,7,21,.333,7,8,.875,,,21,0,,,4,21,1976,laniebo01,https://www.basketball-reference.com/players/l/laniebo01/gamelog/1976
6,6,1975-11-04,27-055,DET,@,MIL,L (-2),1,38:00,10,18,.556,2,3,.667,,,8,2,0,2,3,22,1976,laniebo01,https://www.basketball-reference.com/players/l/laniebo01/gamelog/1976
7,7,1975-11-05,27-056,DET,,SEA,W (+17),1,44:00,9,17,.529,4,7,.571,,,10,4,3,5,5,22,1976,laniebo01,https://www.basketball-reference.com/players/l/laniebo01/gamelog/1976
8,8,1975-11-08,27-059,DET,,BOS,L (-14),1,39:00,14,21,.667,0,0,,,,10,2,,,1,28,1976,laniebo01,https://www.basketball-reference.com/players/l/laniebo01/gamelog/1976
9,9,1975-11-12,27-063,DET,,ATL,L (-3),1,39:00,11,20,.550,8,13,.615,,,18,4,,,5,30,1976,laniebo01,https://www.basketball-reference.com/players/l/laniebo01/gamelog/1976
10,10,1975-11-15,27-066,DET,,MIL,W (+12),1,42:00,4,18,.222,6,6,1.000,8,18,26,4,4,2,3,14,1976,laniebo01,https://www.basketball-reference.com/players/l/laniebo01/gamelog/1976
11,11,1975-11-19,27-070,DET,,POR,W (+6),1,40:00,13,22,.591,3,5,.600,2,8,10,4,3,1,5,29,1976,laniebo01,https://www.basketball-reference.com/players/l/laniebo01/gamelog/1976
12,12,1975-11-26,27-077,DET,,KCK,W (+16),1,30:00,8,21,.381,3,4,.750,,,13,5,,,2,19,1976,laniebo01,https://www.basketball-reference.com/players/l/laniebo01/gamelog/1976
