Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,PF,PTS,session,player,gamelog_url
1,1,1973-10-09,27-088,DET,@,NYK,L (-1),,44:00,4,11,.364,7,8,.875,,,7,1,,,4,15,1974,lantzst01,https://www.basketball-reference.com/players/l/lantzst01/gamelog/1974
2,2,1973-10-12,27-091,DET,,ATL,W (+17),,,4,,,0,0,,,,,,,,,8,1974,lantzst01,https://www.basketball-reference.com/players/l/lantzst01/gamelog/1974
3,3,1973-10-13,27-092,DET,@,CHI,L (-7),0,,1,5,.200,1,2,.500,0,0,0,1,,,0,3,1974,lantzst01,https://www.basketball-reference.com/players/l/lantzst01/gamelog/1974
4,4,1973-10-14,27-093,DET,@,CLE,W (+12),0,27:00,5,5,1.000,2,2,1.000,1,0,1,2,2,0,3,12,1974,lantzst01,https://www.basketball-reference.com/players/l/lantzst01/gamelog/1974
5,5,1973-10-19,27-098,DET,,MIL,L (-2),0,11:00,0,3,.000,2,2,1.000,0,0,0,0,,0,0,2,1974,lantzst01,https://www.basketball-reference.com/players/l/lantzst01/gamelog/1974
6,6,1973-10-24,27-103,DET,@,PHO,W (+16),0,19:00,6,8,.750,0,0,,1,2,3,2,2,1,1,12,1974,lantzst01,https://www.basketball-reference.com/players/l/lantzst01/gamelog/1974
7,7,1973-10-26,27-105,DET,@,LAL,L (-2),0,29:00,7,13,.538,2,2,1.000,0,3,3,2,1,,4,16,1974,lantzst01,https://www.basketball-reference.com/players/l/lantzst01/gamelog/1974
8,8,1973-10-27,27-106,DET,@,POR,W (+13),0,25:00,3,8,.375,3,3,1.000,1,1,2,5,2,0,3,9,1974,lantzst01,https://www.basketball-reference.com/players/l/lantzst01/gamelog/1974
9,9,1973-10-28,27-107,DET,@,SEA,W (+22),,31:00,5,12,.417,10,12,.833,,,3,4,,,1,20,1974,lantzst01,https://www.basketball-reference.com/players/l/lantzst01/gamelog/1974
10,10,1973-10-31,27-110,DET,,SEA,W (+7),,16:00,5,11,.455,3,3,1.000,,,3,2,,,1,13,1974,lantzst01,https://www.basketball-reference.com/players/l/lantzst01/gamelog/1974
11,11,1973-11-02,27-112,DET,,PHO,W (+7),0,14:00,1,5,.200,2,2,1.000,0,1,1,1,0,0,3,4,1974,lantzst01,https://www.basketball-reference.com/players/l/lantzst01/gamelog/1974
12,12,1973-11-03,27-113,DET,@,MIL,L (-8),0,39:00,9,20,.450,4,4,1.000,,,4,1,,0,4,22,1974,lantzst01,https://www.basketball-reference.com/players/l/lantzst01/gamelog/1974
13,13,1973-11-08,27-118,DET,@,ATL,W (+14),,22:00,7,11,.636,3,4,.750,,,1,4,,,3,17,1974,lantzst01,https://www.basketball-reference.com/players/l/lantzst01/gamelog/1974
14,14,1973-11-10,27-120,DET,,BOS,L (-5),,26:00,3,8,.375,5,5,1.000,,,5,6,,,1,11,1974,lantzst01,https://www.basketball-reference.com/players/l/lantzst01/gamelog/1974
