Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,FT,FTA,FT%,TRB,AST,PF,PTS,session,player,gamelog_url
1,1,1971-10-14,22-294,PHO,,MIL,L (-13),0,29:00,1,8,.125,1,1,1.000,3,4,2,3,1972,laytomo01,https://www.basketball-reference.com/players/l/laytomo01/gamelog/1972
2,2,1971-10-16,22-296,PHO,,HOU,W (+20),0,23:00,5,8,.625,2,3,.667,1,2,3,12,1972,laytomo01,https://www.basketball-reference.com/players/l/laytomo01/gamelog/1972
3,3,1971-10-22,22-302,PHO,,DET,L (-7),0,24:00,5,11,.455,1,2,.500,4,5,5,11,1972,laytomo01,https://www.basketball-reference.com/players/l/laytomo01/gamelog/1972
4,4,1971-10-24,22-304,PHO,,CHI,L (-1),1,26:00,5,5,1.000,1,1,1.000,3,3,1,11,1972,laytomo01,https://www.basketball-reference.com/players/l/laytomo01/gamelog/1972
5,5,1971-10-26,22-306,PHO,,CIN,W (+27),0,20:00,1,4,.250,0,0,,0,6,2,2,1972,laytomo01,https://www.basketball-reference.com/players/l/laytomo01/gamelog/1972
6,6,1971-10-29,22-309,PHO,@,PHI,W (+2),0,23:00,2,6,.333,6,7,.857,4,3,3,10,1972,laytomo01,https://www.basketball-reference.com/players/l/laytomo01/gamelog/1972
7,7,1971-10-30,22-310,PHO,@,BAL,L (-7),0,15:00,0,5,.000,0,0,,0,3,3,0,1972,laytomo01,https://www.basketball-reference.com/players/l/laytomo01/gamelog/1972
8,8,1971-11-02,22-313,PHO,@,CHI,L (-7),0,8:00,1,4,.250,0,0,,0,0,2,2,1972,laytomo01,https://www.basketball-reference.com/players/l/laytomo01/gamelog/1972
9,9,1971-11-03,22-314,PHO,@,BUF,W (+2),0,23:00,4,10,.400,0,0,,5,2,3,8,1972,laytomo01,https://www.basketball-reference.com/players/l/laytomo01/gamelog/1972
10,10,1971-11-05,22-316,PHO,@,CLE,W (+20),0,24:00,4,8,.500,2,2,1.000,1,6,5,10,1972,laytomo01,https://www.basketball-reference.com/players/l/laytomo01/gamelog/1972
11,11,1971-11-06,22-317,PHO,@,CIN,L (-15),0,13:00,0,7,.000,1,2,.500,5,0,3,1,1972,laytomo01,https://www.basketball-reference.com/players/l/laytomo01/gamelog/1972
12,12,1971-11-09,22-320,PHO,@,MIL,L (-5),0,5:00,0,0,,1,2,.500,0,0,0,1,1972,laytomo01,https://www.basketball-reference.com/players/l/laytomo01/gamelog/1972
13,13,1971-11-12,22-323,PHO,,BOS,W (+9),,13:00,1,3,.333,3,4,.750,2,5,2,5,1972,laytomo01,https://www.basketball-reference.com/players/l/laytomo01/gamelog/1972
14,14,1971-11-14,22-325,PHO,,CLE,W (+14),0,20:00,4,12,.333,2,3,.667,2,5,3,10,1972,laytomo01,https://www.basketball-reference.com/players/l/laytomo01/gamelog/1972
15,15,1971-11-16,22-327,PHO,@,NYK,L (-1),0,14:00,1,4,.250,0,0,,0,1,2,2,1972,laytomo01,https://www.basketball-reference.com/players/l/laytomo01/gamelog/1972
16,16,1971-11-17,22-328,PHO,@,BOS,L (-19),0,30:00,2,11,.182,0,0,,4,4,3,4,1972,laytomo01,https://www.basketball-reference.com/players/l/laytomo01/gamelog/1972
17,17,1971-11-20,22-331,PHO,@,ATL,L (-6),0,19:00,4,8,.500,0,0,,4,3,3,8,1972,laytomo01,https://www.basketball-reference.com/players/l/laytomo01/gamelog/1972
18,18,1971-11-23,22-334,PHO,,PHI,W (+21),1,42:00,10,16,.625,7,8,.875,5,7,2,27,1972,laytomo01,https://www.basketball-reference.com/players/l/laytomo01/gamelog/1972
19,19,1971-11-25,22-336,PHO,,DET,W (+19),1,36:00,10,19,.526,1,2,.500,4,8,4,21,1972,laytomo01,https://www.basketball-reference.com/players/l/laytomo01/gamelog/1972
20,20,1971-11-28,22-339,PHO,@,HOU,W (+6),1,40:00,9,15,.600,7,11,.636,5,2,2,25,1972,laytomo01,https://www.basketball-reference.com/players/l/laytomo01/gamelog/1972
21,21,1971-11-30,22-341,PHO,@,POR,W (+10),1,43:00,7,18,.389,1,2,.500,4,7,4,15,1972,laytomo01,https://www.basketball-reference.com/players/l/laytomo01/gamelog/1972
22,22,1971-12-01,22-342,PHO,,POR,W (+36),1,35:00,10,14,.714,2,2,1.000,2,3,5,22,1972,laytomo01,https://www.basketball-reference.com/players/l/laytomo01/gamelog/1972
23,23,1971-12-04,22-345,PHO,@,GSW,W (+36),1,39:00,7,17,.412,0,0,,1,5,4,14,1972,laytomo01,https://www.basketball-reference.com/players/l/laytomo01/gamelog/1972
