Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,FT,FTA,FT%,TRB,AST,PF,PTS,session,player,gamelog_url
1,1,1961-10-21,24-332,DET,@,BOS,L (-35),,25:00,0,4,.000,2,2,1.000,,1,2,2,1962,leege01,https://www.basketball-reference.com/players/l/leege01/gamelog/1962
2,2,1961-10-25,24-336,DET,,LAL,L (-4),,,0,,,2,3,.667,,,1,2,1962,leege01,https://www.basketball-reference.com/players/l/leege01/gamelog/1962
3,3,1961-10-27,24-338,DET,@,LAL,L (-10),,,5,19,.263,12,17,.706,9,,5,22,1962,leege01,https://www.basketball-reference.com/players/l/leege01/gamelog/1962
4,4,1961-10-28,24-339,DET,@,LAL,L (-9),,,5,11,.455,2,4,.500,7,,3,12,1962,leege01,https://www.basketball-reference.com/players/l/leege01/gamelog/1962
5,5,1961-11-01,24-343,DET,,NYK,W (+16),,,1,,,3,5,.600,,,4,5,1962,leege01,https://www.basketball-reference.com/players/l/leege01/gamelog/1962
6,6,1961-11-04,24-346,DET,@,PHW,L (-3),,,2,4,.500,3,5,.600,4,0,0,7,1962,leege01,https://www.basketball-reference.com/players/l/leege01/gamelog/1962
7,7,1961-11-08,24-350,DET,,PHW,L (-4),,,7,11,.636,5,8,.625,9,3,4,19,1962,leege01,https://www.basketball-reference.com/players/l/leege01/gamelog/1962
8,8,1961-11-09,24-351,DET,,BOS,W (+6),,,3,,,5,10,.500,,,4,11,1962,leege01,https://www.basketball-reference.com/players/l/leege01/gamelog/1962
9,9,1961-11-10,24-352,DET,@,NYK,W (+6),,,4,,,7,10,.700,,,2,15,1962,leege01,https://www.basketball-reference.com/players/l/leege01/gamelog/1962
10,10,1961-11-11,24-353,DET,@,STL,L (-13),,,1,3,.333,1,1,1.000,1,,0,3,1962,leege01,https://www.basketball-reference.com/players/l/leege01/gamelog/1962
11,11,1961-11-15,24-357,DET,,STL,W (+5),,20:00,5,12,.417,6,9,.667,3,,3,16,1962,leege01,https://www.basketball-reference.com/players/l/leege01/gamelog/1962
12,12,1961-11-18,24-360,DET,,CHP,W (+7),,,4,,,7,8,.875,,,1,15,1962,leege01,https://www.basketball-reference.com/players/l/leege01/gamelog/1962
13,13,1961-11-19,24-361,DET,,CIN,L (-16),,,4,10,.400,1,3,.333,4,,3,9,1962,leege01,https://www.basketball-reference.com/players/l/leege01/gamelog/1962
14,14,1961-11-24,25-001,DET,,STL,W (+7),,,3,,,3,4,.750,,,6,9,1962,leege01,https://www.basketball-reference.com/players/l/leege01/gamelog/1962
15,15,1961-11-25,25-002,DET,,LAL,W (+1),,,2,,,2,3,.667,,,1,6,1962,leege01,https://www.basketball-reference.com/players/l/leege01/gamelog/1962
16,16,1961-11-26,25-003,DET,,BOS,L (-6),,,2,,,3,3,1.000,,,2,7,1962,leege01,https://www.basketball-reference.com/players/l/leege01/gamelog/1962
17,17,1961-11-28,25-005,DET,,BOS,L (-8),,,2,,,2,2,1.000,,,4,6,1962,leege01,https://www.basketball-reference.com/players/l/leege01/gamelog/1962
18,18,1961-12-01,25-008,DET,@,STL,L (-3),,14:00,1,4,.250,0,0,,2,,3,2,1962,leege01,https://www.basketball-reference.com/players/l/leege01/gamelog/1962
19,19,1961-12-02,25-009,DET,,STL,W (+9),,,0,,,2,2,1.000,,,0,2,1962,leege01,https://www.basketball-reference.com/players/l/leege01/gamelog/1962
20,20,1961-12-06,25-013,DET,,NYK,W (+36),,,4,,,5,5,1.000,,,0,13,1962,leege01,https://www.basketball-reference.com/players/l/leege01/gamelog/1962
21,21,1961-12-08,25-015,DET,,CHP,W (+26),,,5,,,4,6,.667,,,2,14,1962,leege01,https://www.basketball-reference.com/players/l/leege01/gamelog/1962
22,22,1961-12-09,25-016,DET,,LAL,L (-7),,,2,,,5,5,1.000,,,1,9,1962,leege01,https://www.basketball-reference.com/players/l/leege01/gamelog/1962
23,23,1961-12-12,25-019,DET,,PHW,L (-23),,,3,6,.500,0,0,,7,1,1,6,1962,leege01,https://www.basketball-reference.com/players/l/leege01/gamelog/1962
24,24,1961-12-14,25-021,DET,@,CIN,W (+4),,,5,9,.556,3,3,1.000,8,3,4,13,1962,leege01,https://www.basketball-reference.com/players/l/leege01/gamelog/1962
25,25,1961-12-16,25-023,DET,,CIN,L (-11),,,4,7,.571,2,2,1.000,6,,0,10,1962,leege01,https://www.basketball-reference.com/players/l/leege01/gamelog/1962
26,26,1961-12-17,25-024,DET,,LAL,L (-6),,,2,,,9,10,.900,,,2,13,1962,leege01,https://www.basketball-reference.com/players/l/leege01/gamelog/1962
27,27,1961-12-19,25-026,DET,,SYR,L (-13),,,6,,,8,9,.889,,,2,20,1962,leege01,https://www.basketball-reference.com/players/l/leege01/gamelog/1962
28,28,1961-12-20,25-027,DET,,PHW,L (-15),,,1,3,.333,5,5,1.000,3,0,3,7,1962,leege01,https://www.basketball-reference.com/players/l/leege01/gamelog/1962
