Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,session,player,gamelog_url
1,1,1984-10-27,24-070,DEN,,GSW,W (+4),1,36:00,5,16,.313,0,0,,4,5,.800,2,2,4,12,2,0,4,3,14,11.6,1985,leverfa01,https://www.basketball-reference.com/players/l/leverfa01/gamelog/1985
2,2,1984-10-30,24-073,DEN,@,SAS,L (-8),1,33:00,6,13,.462,0,1,.000,4,5,.800,1,2,3,7,2,0,7,5,16,8.1,1985,leverfa01,https://www.basketball-reference.com/players/l/leverfa01/gamelog/1985
3,3,1984-11-01,24-075,DEN,,CHI,W (+16),1,26:00,2,9,.222,0,0,,3,4,.750,3,2,5,5,3,2,4,3,7,6.5,1985,leverfa01,https://www.basketball-reference.com/players/l/leverfa01/gamelog/1985
4,4,1984-11-03,24-077,DEN,@,KCK,W (+14),1,34:00,4,12,.333,0,0,,2,2,1.000,4,0,4,6,3,0,2,4,10,9.6,1985,leverfa01,https://www.basketball-reference.com/players/l/leverfa01/gamelog/1985
5,5,1984-11-05,24-079,DEN,@,LAC,L (-3),1,35:00,9,18,.500,1,1,1.000,0,1,.000,1,3,4,7,1,0,0,2,19,16.3,1985,leverfa01,https://www.basketball-reference.com/players/l/leverfa01/gamelog/1985
6,6,1984-11-06,24-080,DEN,@,LAL,W (+16),1,37:00,11,18,.611,0,0,,2,2,1.000,1,5,6,18,4,0,2,3,24,31.4,1985,leverfa01,https://www.basketball-reference.com/players/l/leverfa01/gamelog/1985
7,7,1984-11-08,24-082,DEN,,POR,W (+3),1,23:00,7,16,.438,0,0,,1,1,1.000,4,1,5,4,0,0,0,4,15,10.9,1985,leverfa01,https://www.basketball-reference.com/players/l/leverfa01/gamelog/1985
8,8,1984-11-10,24-084,DEN,,UTA,W (+12),1,32:00,8,12,.667,0,0,,3,4,.750,1,3,4,6,3,1,3,4,19,18.3,1985,leverfa01,https://www.basketball-reference.com/players/l/leverfa01/gamelog/1985
9,9,1984-11-13,24-087,DEN,,PHO,W (+12),1,32:00,8,18,.444,0,0,,3,5,.600,3,4,7,4,2,0,1,1,19,15.5,1985,leverfa01,https://www.basketball-reference.com/players/l/leverfa01/gamelog/1985
10,10,1984-11-16,24-090,DEN,,HOU,W (+17),1,32:00,3,11,.273,0,0,,0,1,.000,1,7,8,7,2,1,3,2,6,5.7,1985,leverfa01,https://www.basketball-reference.com/players/l/leverfa01/gamelog/1985
11,11,1984-11-20,24-094,DEN,@,SEA,W (+10),1,32:00,5,9,.556,0,0,,4,4,1.000,1,2,3,13,3,0,2,1,14,20.7,1985,leverfa01,https://www.basketball-reference.com/players/l/leverfa01/gamelog/1985
12,12,1984-11-21,24-095,DEN,@,LAC,W (+6),1,37:00,8,15,.533,0,0,,0,0,,1,3,4,11,2,0,2,3,16,16.8,1985,leverfa01,https://www.basketball-reference.com/players/l/leverfa01/gamelog/1985
13,13,1984-11-24,24-098,DEN,,PHI,W (+4),1,30:00,2,9,.222,0,0,,0,0,,1,3,4,10,2,0,3,4,4,4.5,1985,leverfa01,https://www.basketball-reference.com/players/l/leverfa01/gamelog/1985
14,14,1984-11-27,24-101,DEN,,LAC,W (+29),1,25:00,5,9,.556,0,1,.000,3,5,.600,1,6,7,16,3,0,2,1,13,22.2,1985,leverfa01,https://www.basketball-reference.com/players/l/leverfa01/gamelog/1985
15,15,1984-11-30,24-104,DEN,@,UTA,L (-19),1,30:00,4,13,.308,0,1,.000,1,2,.500,1,1,2,5,3,0,4,3,9,3.4,1985,leverfa01,https://www.basketball-reference.com/players/l/leverfa01/gamelog/1985
16,16,1984-12-01,24-105,DEN,,UTA,W (+7),1,33:00,6,12,.500,0,0,,3,4,.750,0,6,6,3,3,1,2,4,15,12.6,1985,leverfa01,https://www.basketball-reference.com/players/l/leverfa01/gamelog/1985
17,17,1984-12-04,24-108,DEN,@,NYK,L (-2),1,34:00,7,12,.583,0,0,,3,5,.600,1,4,5,8,5,1,2,1,17,21.4,1985,leverfa01,https://www.basketball-reference.com/players/l/leverfa01/gamelog/1985
18,18,1984-12-05,24-109,DEN,@,BOS,L (-16),1,38:00,10,19,.526,0,1,.000,5,7,.714,2,0,2,7,3,0,2,3,25,21.0,1985,leverfa01,https://www.basketball-reference.com/players/l/leverfa01/gamelog/1985
19,19,1984-12-07,24-111,DEN,@,DET,L (-7),1,42:00,9,15,.600,1,1,1.000,5,6,.833,2,3,5,9,3,0,3,4,24,23.7,1985,leverfa01,https://www.basketball-reference.com/players/l/leverfa01/gamelog/1985
20,20,1984-12-08,24-112,DEN,@,CLE,W (+6),1,43:00,6,16,.375,0,0,,4,4,1.000,2,3,5,15,0,0,5,2,16,14.2,1985,leverfa01,https://www.basketball-reference.com/players/l/leverfa01/gamelog/1985
21,21,1984-12-11,24-115,DEN,,POR,W (+1),1,26:00,4,10,.400,0,0,,4,5,.800,2,2,4,4,2,0,3,5,12,8.0,1985,leverfa01,https://www.basketball-reference.com/players/l/leverfa01/gamelog/1985
22,22,1984-12-12,24-116,DEN,@,SAS,L (-21),1,30:00,7,12,.583,0,0,,3,4,.750,4,0,4,4,2,0,3,2,17,14.8,1985,leverfa01,https://www.basketball-reference.com/players/l/leverfa01/gamelog/1985
23,23,1984-12-14,24-118,DEN,,KCK,L (-6),1,34:00,2,10,.200,0,0,,2,2,1.000,1,1,2,8,3,0,4,5,6,3.4,1985,leverfa01,https://www.basketball-reference.com/players/l/leverfa01/gamelog/1985
24,24,1984-12-16,24-120,DEN,,SEA,L (-11),1,33:00,5,16,.313,1,2,.500,1,2,.500,6,1,7,8,2,0,4,4,12,8.9,1985,leverfa01,https://www.basketball-reference.com/players/l/leverfa01/gamelog/1985
25,25,1984-12-18,24-122,DEN,@,GSW,W (+4),1,34:00,7,11,.636,0,0,,0,0,,2,5,7,9,4,0,3,3,14,18.1,1985,leverfa01,https://www.basketball-reference.com/players/l/leverfa01/gamelog/1985
26,26,1984-12-19,24-123,DEN,,DET,L (-19),1,27:00,5,12,.417,0,1,.000,0,0,,0,2,2,5,5,0,0,4,10,11.1,1985,leverfa01,https://www.basketball-reference.com/players/l/leverfa01/gamelog/1985
27,27,1984-12-21,24-125,DEN,,DAL,W (+23),1,24:00,8,14,.571,0,0,,0,0,,2,0,2,6,0,0,0,1,16,14.6,1985,leverfa01,https://www.basketball-reference.com/players/l/leverfa01/gamelog/1985
28,28,1984-12-22,24-126,DEN,@,HOU,L (-18),1,33:00,6,15,.400,1,1,1.000,2,2,1.000,0,0,0,2,6,1,5,4,15,8.4,1985,leverfa01,https://www.basketball-reference.com/players/l/leverfa01/gamelog/1985
