Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,session,player,gamelog_url
1,,1997-01-07,21-254,TOR,,LAC,L (-7),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,1997,lewisma01,https://www.basketball-reference.com/players/l/lewisma01/gamelog/1997
2,,1997-01-09,21-256,TOR,,UTA,W (+14),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,1997,lewisma01,https://www.basketball-reference.com/players/l/lewisma01/gamelog/1997
3,1,1997-01-11,21-258,TOR,@,NJN,W (+17),0,1:38,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-4,1997,lewisma01,https://www.basketball-reference.com/players/l/lewisma01/gamelog/1997
4,,1997-01-12,21-259,TOR,,ORL,L (-3),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,1997,lewisma01,https://www.basketball-reference.com/players/l/lewisma01/gamelog/1997
5,2,1997-01-15,21-262,TOR,@,SEA,L (-44),0,2:46,1,3,.333,0,0,,0,0,,1,0,1,0,0,0,0,2,2,0.2,0,1997,lewisma01,https://www.basketball-reference.com/players/l/lewisma01/gamelog/1997
6,,1997-01-17,21-264,TOR,@,POR,W (+2),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,1997,lewisma01,https://www.basketball-reference.com/players/l/lewisma01/gamelog/1997
7,,1997-01-19,21-266,TOR,@,VAN,L (-8),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,1997,lewisma01,https://www.basketball-reference.com/players/l/lewisma01/gamelog/1997
8,3,1997-01-21,21-268,TOR,,MIN,W (+12),0,2:48,0,0,,0,0,,0,0,,0,0,0,1,0,0,0,1,0,0.3,-11,1997,lewisma01,https://www.basketball-reference.com/players/l/lewisma01/gamelog/1997
9,,1997-01-23,21-270,TOR,,MIA,L (-12),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,1997,lewisma01,https://www.basketball-reference.com/players/l/lewisma01/gamelog/1997
10,4,1997-01-28,21-275,TOR,,POR,W (+36),0,7:36,2,3,.667,1,2,.500,0,0,,1,0,1,0,0,0,0,1,5,4.0,+2,1997,lewisma01,https://www.basketball-reference.com/players/l/lewisma01/gamelog/1997
